<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.006	-0.0098	0.0041	0.006	0.68	0.25	0.49	14.25	1.27
0.011	0.0004	0.0022	0.011	0.49	0.24	0.48	11.96	1.59
0.018	-0.0042	0.0019	0.018	0.37	0.25	0.46	10.20	1.94
0.028	-0.0017	0.0018	0.028	0.28	0.25	0.44	8.81	2.35
0.044	-0.0075	0.0019	0.044	0.25	0.25	0.43	8.16	3.24
0.073	-0.0022	0.0021	0.073	0.24	0.25	0.43	7.94	5.28
0.119	-0.0063	0.0031	0.119	0.23	0.25	0.43	7.61	8.33
0.174	-0.0113	0.0037	0.174	0.23	0.25	0.43	7.29	11.89
0.250	-0.0112	0.0051	0.250	0.23	0.25	0.43	6.94	17.04
0.376	-0.0211	0.0060	0.376	0.23	0.25	0.45	6.34	25.59
0.638	-0.0081	0.0175	0.638	0.22	0.27	0.61	4.81	42.57
