 # Mon Nov 10 22:32:32 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -15.
 # distance(t),tolerance(T) =   1.98681196  5.46770802
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -4.3439E+01  6.9450E-01  6.9923E-01  2.6255E-01  0.0000E+00  0.0000E+00  2.8406E-07  4.7336E-03 -6.1095E-04  0.0000E+00  0.0000E+00
 -4.7338E+01  5.0002E-01  5.0487E-01  7.1635E-02  0.0000E+00  0.0000E+00  2.2121E-05  4.8760E-03 -6.0648E-04  0.0000E+00  0.0000E+00
 -5.0107E+01  3.6948E-01  3.7441E-01 -5.6350E-02  0.0000E+00  0.0000E+00  3.8131E-05  4.9810E-03 -6.0371E-04  0.0000E+00  0.0000E+00
 -5.3341E+01  2.1833E-01  2.2337E-01 -2.0421E-01  0.0000E+00  0.0000E+00  5.9304E-05  5.1201E-03 -6.0068E-04  0.0000E+00  0.0000E+00
 -5.3190E+01  2.1915E-01  2.2420E-01 -2.0321E-01 -3.2112E-01  0.0000E+00  5.9924E-05  5.1268E-03 -6.0110E-04  2.3566E-11  0.0000E+00
 -5.4981E+01  1.2631E-01  1.3145E-01 -2.9351E-01 -4.2744E-01  0.0000E+00  7.7560E-05  5.2386E-03 -5.9879E-04  9.2074E-06  0.0000E+00
 -5.5980E+01  6.2941E-02  6.8165E-02 -3.5451E-01 -4.9814E-01  0.0000E+00  9.4254E-05  5.3452E-03 -5.9710E-04  1.7046E-05  0.0000E+00
 -5.6150E+01  3.1186E-02  3.6482E-02 -3.8430E-01 -5.3589E-01  0.0000E+00  1.0839E-04  5.4354E-03 -5.9597E-04  2.3351E-05  0.0000E+00
 -5.5602E+01  2.2548E-02  2.7913E-02 -3.9111E-01 -5.5001E-01  0.0000E+00  1.2175E-04  5.5207E-03 -5.9515E-04  2.9036E-05  0.0000E+00
 -5.4145E+01  3.8846E-02  4.4283E-02 -3.7294E-01 -5.3927E-01  0.0000E+00  1.3575E-04  5.6099E-03 -5.9453E-04  3.4712E-05  0.0000E+00
 -5.2067E+01  7.5754E-02  8.1254E-02 -3.3444E-01 -5.0699E-01  0.0000E+00  1.4779E-04  5.6866E-03 -5.9419E-04  3.9374E-05  0.0000E+00
 -4.9241E+01  1.3372E-01  1.3928E-01 -2.7499E-01 -4.5333E-01  0.0000E+00  1.5932E-04  5.7598E-03 -5.9402E-04  4.3647E-05  0.0000E+00
 -4.6402E+01  1.9570E-01  2.0130E-01 -2.1185E-01 -3.9464E-01  0.0000E+00  1.6840E-04  5.8172E-03 -5.9399E-04  4.6889E-05  0.0000E+00
 -3.3003E+01  5.0790E-01  5.1366E-01  1.0399E-01 -9.2557E-02  0.0000E+00  1.9786E-04  6.0024E-03 -5.9443E-04  5.6686E-05  0.0000E+00
 -3.1838E+01  5.0883E-01  5.1459E-01  1.0497E-01 -9.1827E-02 -4.5780E-01  1.9827E-04  6.0053E-03 -5.9456E-04  5.6723E-05  5.6000E-13
 -2.8428E+01  6.0185E-01  6.0764E-01  1.9871E-01 -7.6568E-04 -3.6237E-01  2.0447E-04  6.0433E-03 -5.9470E-04  5.8659E-05  1.6733E-06
 -1.5876E+01  9.2500E-01  9.3088E-01  5.2399E-01  3.1670E-01 -6.3347E-02  2.2300E-04  6.1563E-03 -5.9533E-04  6.4160E-05  5.7529E-06
  3.4013E-01  1.3472E+00  1.3532E+00  9.4834E-01  7.3330E-01  3.3609E-01  2.4235E-04  6.2730E-03 -5.9622E-04  6.9545E-05  9.7011E-06
  1.8112E+01  1.8134E+00  1.8194E+00  1.4164E+00  1.1947E+00  7.8261E-01  2.6003E-04  6.3783E-03 -5.9721E-04  7.4162E-05  1.3028E-05
  3.9208E+01  2.3703E+00  2.3765E+00  1.9752E+00  1.7470E+00  1.3206E+00  2.7799E-04  6.4840E-03 -5.9837E-04  7.8585E-05  1.6162E-05
  5.9267E+01  2.9030E+00  2.9092E+00  2.5094E+00  2.2759E+00  1.8381E+00  2.9302E-04  6.5714E-03 -5.9944E-04  8.2091E-05  1.8608E-05
  8.6933E+01  3.6421E+00  3.6484E+00  3.2503E+00  3.0107E+00  2.5596E+00  3.1142E-04  6.6770E-03 -6.0086E-04  8.6155E-05  2.1399E-05
  1.1455E+02  4.3846E+00  4.3910E+00  3.9944E+00  3.7496E+00  3.2873E+00  3.2787E-04  6.7701E-03 -6.0222E-04  8.9596E-05  2.3724E-05
  1.4259E+02  5.1429E+00  5.1493E+00  4.7540E+00  4.5047E+00  4.0324E+00  3.4311E-04  6.8553E-03 -6.0353E-04  9.2633E-05  2.5746E-05
  1.8213E+02  6.2199E+00  6.2264E+00  5.8328E+00  5.5778E+00  5.0933E+00  3.6269E-04  6.9632E-03 -6.0529E-04  9.6335E-05  2.8170E-05
  2.2344E+02  7.3541E+00  7.3607E+00  6.9686E+00  6.7085E+00  6.2131E+00  3.8135E-04  7.0645E-03 -6.0703E-04  9.9675E-05  3.0320E-05
