 # Mon Nov 10 17:03:46 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -11.
 # distance(t),tolerance(T) =   10.9552  10.7262975
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -7.1779E+01  1.3768E+00  1.3805E+00  5.2332E-01  0.0000E+00  0.0000E+00  4.5720E-06  3.6889E-03 -7.3294E-04
 -7.5951E+01  9.0123E-01  9.0502E-01  5.8627E-02  0.0000E+00  0.0000E+00  1.1325E-05  3.8004E-03 -7.4481E-04
 -7.8868E+01  5.6568E-01  5.6954E-01 -2.6903E-01  0.0000E+00  0.0000E+00  1.6899E-05  3.8841E-03 -7.5358E-04
 -8.2172E+01  1.4702E-01  1.5099E-01 -6.7741E-01  0.0000E+00  0.0000E+00  2.5103E-05  3.9972E-03 -7.6525E-04
 -8.2172E+01  1.4702E-01  1.5099E-01 -6.7741E-01 -8.9176E-07  0.0000E+00  2.5103E-05  3.9972E-03 -7.6525E-04
 -8.3563E+01 -1.6742E-01 -1.6338E-01 -9.8366E-01 -3.4328E-01  0.0000E+00  3.2700E-05  4.0912E-03 -7.7476E-04
 -8.4137E+01 -4.3045E-01 -4.2632E-01 -1.2391E+00 -6.1838E-01  0.0000E+00  4.0424E-05  4.1807E-03 -7.8369E-04
 -8.3877E+01 -6.2406E-01 -6.1986E-01 -1.4264E+00 -8.2188E-01  0.0000E+00  4.7403E-05  4.2572E-03 -7.9122E-04
 -8.2859E+01 -7.7898E-01 -7.7472E-01 -1.5755E+00 -9.8585E-01  0.0000E+00  5.4365E-05  4.3301E-03 -7.9832E-04
 -8.0835E+01 -9.0838E-01 -9.0405E-01 -1.6989E+00 -1.1244E+00  0.0000E+00  6.2038E-05  4.4068E-03 -8.0571E-04
 -7.8204E+01 -9.9021E-01 -9.8582E-01 -1.7757E+00 -1.2139E+00  0.0000E+00  6.8937E-05  4.4732E-03 -8.1203E-04
 -7.4785E+01 -1.0397E+00 -1.0353E+00 -1.8204E+00 -1.2705E+00  0.0000E+00  7.5805E-05  4.5369E-03 -8.1804E-04
