 # Mon Nov 10 17:54:03 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -11.
 # distance(t),tolerance(T) =   6.58278  6.43272135
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -4.7229E+01  1.3501E+00  1.3541E+00  5.0104E-01  0.0000E+00  0.0000E+00  5.6147E-06  4.0446E-03 -7.3257E-04
 -4.9758E+01  1.0374E+00  1.0415E+00  1.9916E-01  0.0000E+00  0.0000E+00  1.2772E-05  4.1622E-03 -7.4444E-04
 -5.1382E+01  8.2263E-01  8.2686E-01 -7.7178E-03  0.0000E+00  0.0000E+00  1.8667E-05  4.2504E-03 -7.5321E-04
 -5.2904E+01  5.6538E-01  5.6972E-01 -2.5474E-01  0.0000E+00  0.0000E+00  2.7331E-05  4.3694E-03 -7.6487E-04
 -5.2904E+01  5.6538E-01  5.6972E-01 -2.5474E-01 -5.1822E-07  0.0000E+00  2.7331E-05  4.3694E-03 -7.6487E-04
 -5.3029E+01  3.8439E-01  3.8881E-01 -4.2758E-01 -1.9430E-01  0.0000E+00  3.5340E-05  4.4683E-03 -7.7437E-04
 -5.2355E+01  2.4617E-01  2.5067E-01 -5.5828E-01 -3.3622E-01  0.0000E+00  4.3474E-05  4.5623E-03 -7.8330E-04
 -5.1007E+01  1.5759E-01  1.6217E-01 -6.4059E-01 -4.2778E-01  0.0000E+00  5.0816E-05  4.6427E-03 -7.9083E-04
 -4.8937E+01  1.0133E-01  1.0597E-01 -6.9105E-01 -4.8673E-01  0.0000E+00  5.8136E-05  4.7192E-03 -7.9792E-04
 -4.5793E+01  7.4556E-02  7.9272E-02 -7.1184E-01 -5.1619E-01  0.0000E+00  6.6197E-05  4.7997E-03 -8.0531E-04
 -4.2187E+01  8.0319E-02  8.5095E-02 -7.0103E-01 -5.1263E-01  0.0000E+00  7.3441E-05  4.8692E-03 -8.1163E-04
 -3.7830E+01  1.1402E-01  1.1885E-01 -6.6258E-01 -4.8094E-01  0.0000E+00  8.0649E-05  4.9360E-03 -8.1764E-04
 -3.3738E+01  1.6073E-01  1.6561E-01 -6.1219E-01 -4.3575E-01  0.0000E+00  8.6503E-05  4.9886E-03 -8.2234E-04
 -1.5984E+01  4.4794E-01  4.5297E-01 -3.1341E-01 -1.5312E-01  0.0000E+00  1.0654E-04  5.1594E-03 -8.3737E-04
 -1.5984E+01  4.4794E-01  4.5297E-01 -3.1341E-01 -1.5312E-01  2.9308E-08  1.0654E-04  5.1594E-03 -8.3737E-04
 -1.1391E+01  5.3813E-01  5.4318E-01 -2.2087E-01 -6.3824E-02  9.0498E-02  1.1102E-04  5.1954E-03 -8.4048E-04
  4.0772E+00  8.6265E-01  8.6780E-01  1.1045E-01  2.5822E-01  3.8685E-01  1.2458E-04  5.3011E-03 -8.4955E-04
  2.3529E+01  1.3029E+00  1.3082E+00  5.5757E-01  6.9612E-01  8.0032E-01  1.3929E-04  5.4108E-03 -8.5882E-04
  4.4395E+01  1.8000E+00  1.8053E+00  1.0607E+00  1.1912E+00  1.2742E+00  1.5316E-04  5.5101E-03 -8.6711E-04
  6.8766E+01  2.4020E+00  2.4074E+00  1.6686E+00  1.7913E+00  1.8539E+00  1.6768E-04  5.6101E-03 -8.7535E-04
  9.1663E+01  2.9825E+00  2.9880E+00  2.2539E+00  2.3704E+00  2.4167E+00  1.8011E-04  5.6930E-03 -8.8210E-04
  1.2292E+02  3.7927E+00  3.7983E+00  3.0697E+00  3.1789E+00  3.2062E+00  1.9567E-04  5.7935E-03 -8.9018E-04
  1.5385E+02  4.6098E+00  4.6154E+00  3.8916E+00  3.9946E+00  4.0056E+00  2.0987E-04  5.8824E-03 -8.9724E-04
