 # Mon Nov 10 17:54:32 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -9.
 # distance(t),tolerance(T) =   3.99826533  3.60769887
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -3.6861E+01  1.3076E+00  1.3124E+00  4.6024E-01  0.0000E+00  0.0000E+00  8.2015E-06  4.7605E-03 -7.4243E-04
 -3.8780E+01  1.0630E+00  1.0679E+00  2.2642E-01  0.0000E+00  0.0000E+00  1.6203E-05  4.8894E-03 -7.5445E-04
 -3.9902E+01  8.9910E-01  9.0406E-01  7.0376E-02  0.0000E+00  0.0000E+00  2.2768E-05  4.9860E-03 -7.6334E-04
 -4.0703E+01  7.1025E-01  7.1533E-01 -1.0827E-01  0.0000E+00  0.0000E+00  3.2387E-05  5.1161E-03 -7.7516E-04
 -4.0703E+01  7.1025E-01  7.1533E-01 -1.0827E-01 -3.6037E-07  0.0000E+00  3.2387E-05  5.1161E-03 -7.7516E-04
 -4.0299E+01  5.8623E-01  5.9140E-01 -2.2416E-01 -1.3118E-01  0.0000E+00  4.1246E-05  5.2240E-03 -7.8479E-04
 -3.9085E+01  5.0165E-01  5.0691E-01 -3.0123E-01 -2.1631E-01  0.0000E+00  5.0224E-05  5.3265E-03 -7.9384E-04
 -3.7253E+01  4.5849E-01  4.6383E-01 -3.3814E-01 -2.5987E-01  0.0000E+00  5.8313E-05  5.4140E-03 -8.0147E-04
 -3.4707E+01  4.4509E-01  4.5051E-01 -3.4574E-01 -2.7356E-01  0.0000E+00  6.6366E-05  5.4971E-03 -8.0865E-04
 -3.1047E+01  4.6315E-01  4.6864E-01 -3.2172E-01 -2.5576E-01  0.0000E+00  7.5224E-05  5.5846E-03 -8.1614E-04
 -2.6987E+01  5.0733E-01  5.1289E-01 -2.7250E-01 -2.1173E-01  0.0000E+00  8.3174E-05  5.6600E-03 -8.2254E-04
 -2.2187E+01  5.7766E-01  5.8328E-01 -1.9743E-01 -1.4151E-01  0.0000E+00  9.1076E-05  5.7324E-03 -8.2863E-04
 -1.7744E+01  6.5309E-01  6.5876E-01 -1.1832E-01 -6.6139E-02  0.0000E+00  9.7489E-05  5.7894E-03 -8.3340E-04
  1.1435E+00  1.0324E+00  1.0382E+00  2.7250E-01  3.1312E-01  0.0000E+00  1.1940E-04  5.9742E-03 -8.4863E-04
  1.1435E+00  1.0324E+00  1.0382E+00  2.7250E-01  3.1312E-01  3.8191E-08  1.1940E-04  5.9742E-03 -8.4863E-04
  5.9284E+00  1.1418E+00  1.1477E+00  3.8432E-01  4.2263E-01  1.1717E-01  1.2430E-04  6.0131E-03 -8.5179E-04
  2.1967E+01  1.5222E+00  1.5281E+00  7.7143E-01  8.0311E-01  4.8082E-01  1.3909E-04  6.1272E-03 -8.6098E-04
  4.1997E+01  2.0190E+00  2.0250E+00  1.2751E+00  1.3001E+00  9.6260E-01  1.5513E-04  6.2454E-03 -8.7038E-04
  6.3367E+01  2.5659E+00  2.5721E+00  1.8280E+00  1.8474E+00  1.4967E+00  1.7023E-04  6.3524E-03 -8.7877E-04
  8.8225E+01  3.2170E+00  3.2232E+00  2.4849E+00  2.4987E+00  2.1354E+00  1.8602E-04  6.4600E-03 -8.8712E-04
  1.1150E+02  3.8371E+00  3.8434E+00  3.1099E+00  3.1192E+00  2.7458E+00  1.9954E-04  6.5491E-03 -8.9396E-04
  1.4319E+02  4.6940E+00  4.7004E+00  3.9724E+00  3.9766E+00  3.5914E+00  2.1643E-04  6.6570E-03 -9.0215E-04
  1.7448E+02  5.5512E+00  5.5577E+00  4.8345E+00  4.8342E+00  4.4391E+00  2.3184E-04  6.7523E-03 -9.0931E-04
