 # Mon Nov 10 17:12:33 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -9.
 # distance(t),tolerance(T) =   8.22728322  7.17564578
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -3.5413E+01  1.3053E+00  1.3102E+00  4.5257E-01  0.0000E+00  0.0000E+00  8.9486E-06  4.8888E-03 -7.5343E-04
 -3.7533E+01  1.0606E+00  1.0656E+00  2.1874E-01  0.0000E+00  0.0000E+00  1.7130E-05  5.0196E-03 -7.6563E-04
 -3.8808E+01  8.9615E-01  9.0124E-01  6.2195E-02  0.0000E+00  0.0000E+00  2.3837E-05  5.1176E-03 -7.7465E-04
 -3.9814E+01  7.0596E-01  7.1117E-01 -1.1772E-01  0.0000E+00  0.0000E+00  3.3656E-05  5.2495E-03 -7.8664E-04
 -3.9814E+01  7.0596E-01  7.1117E-01 -1.1772E-01 -3.6352E-07  0.0000E+00  3.3656E-05  5.2495E-03 -7.8664E-04
 -3.9576E+01  5.8036E-01  5.8566E-01 -2.3514E-01 -1.3261E-01  0.0000E+00  4.2692E-05  5.3588E-03 -7.9642E-04
 -3.8516E+01  4.9393E-01  4.9933E-01 -3.1401E-01 -2.1942E-01  0.0000E+00  5.1844E-05  5.4627E-03 -8.0560E-04
 -3.6813E+01  4.4895E-01  4.5443E-01 -3.5270E-01 -2.6465E-01  0.0000E+00  6.0086E-05  5.5513E-03 -8.1334E-04
 -3.4387E+01  4.3364E-01  4.3919E-01 -3.6218E-01 -2.8014E-01  0.0000E+00  6.8289E-05  5.6355E-03 -8.2064E-04
 -3.0850E+01  4.4948E-01  4.5511E-01 -3.4034E-01 -2.6443E-01  0.0000E+00  7.7309E-05  5.7241E-03 -8.2824E-04
 -2.6895E+01  4.9160E-01  4.9730E-01 -2.9314E-01 -2.2237E-01  0.0000E+00  8.5402E-05  5.8006E-03 -8.3473E-04
 -2.2195E+01  5.5983E-01  5.6558E-01 -2.2015E-01 -1.5417E-01  0.0000E+00  9.3444E-05  5.8738E-03 -8.4091E-04
 -1.7829E+01  6.3351E-01  6.3932E-01 -1.4277E-01 -8.0474E-02  0.0000E+00  9.9970E-05  5.9316E-03 -8.4575E-04
  8.1067E-01  1.0066E+00  1.0126E+00  2.4194E-01  2.9280E-01  0.0000E+00  1.2226E-04  6.1187E-03 -8.6121E-04
  8.1067E-01  1.0066E+00  1.0126E+00  2.4194E-01  2.9280E-01  3.7668E-08  1.2226E-04  6.1187E-03 -8.6121E-04
  5.5461E+00  1.1147E+00  1.1207E+00  3.5237E-01  4.0093E-01  1.1559E-01  1.2724E-04  6.1580E-03 -8.6441E-04
  2.1439E+01  1.4907E+00  1.4968E+00  7.3520E-01  7.7719E-01  4.7498E-01  1.4228E-04  6.2735E-03 -8.7373E-04
  4.1316E+01  1.9827E+00  1.9889E+00  1.2341E+00  1.2695E+00  9.5199E-01  1.5857E-04  6.3931E-03 -8.8327E-04
  6.2546E+01  2.5251E+00  2.5314E+00  1.7825E+00  1.8123E+00  1.4815E+00  1.7392E-04  6.5013E-03 -8.9179E-04
  8.7257E+01  3.1712E+00  3.1776E+00  2.4345E+00  2.4588E+00  2.1152E+00  1.8996E-04  6.6101E-03 -9.0027E-04
  1.1041E+02  3.7870E+00  3.7935E+00  3.0552E+00  3.0750E+00  2.7213E+00  2.0369E-04  6.7002E-03 -9.0721E-04
  1.4194E+02  4.6384E+00  4.6450E+00  3.9123E+00  3.9269E+00  3.5614E+00  2.2085E-04  6.8093E-03 -9.1552E-04
  1.7308E+02  5.4904E+00  5.4971E+00  4.7692E+00  4.7794E+00  4.4039E+00  2.3649E-04  6.9057E-03 -9.2279E-04
  2.0442E+02  6.3573E+00  6.3640E+00  5.6404E+00  5.6467E+00  5.2623E+00  2.5122E-04  6.9940E-03 -9.2937E-04
  2.4826E+02  7.5834E+00  7.5902E+00  6.8720E+00  6.8735E+00  6.4783E+00  2.7046E-04  7.1059E-03 -9.3764E-04
  2.9373E+02  8.8690E+00  8.8759E+00  8.1626E+00  8.1597E+00  7.7548E+00  2.8910E-04  7.2111E-03 -9.4532E-04
  3.4022E+02  1.0197E+01  1.0204E+01  9.4952E+00  9.4883E+00  9.0746E+00  3.0705E-04  7.3097E-03 -9.5244E-04
  3.9057E+02  1.1648E+01  1.1655E+01  1.0951E+01  1.0940E+01  1.0518E+01  3.2548E-04  7.4083E-03 -9.5948E-04
  4.4366E+02  1.3193E+01  1.3200E+01  1.2500E+01  1.2485E+01  1.2055E+01  3.4398E-04  7.5048E-03 -9.6631E-04
  4.9763E+02  1.4777E+01  1.4784E+01  1.4088E+01  1.4070E+01  1.3633E+01  3.6194E-04  7.5963E-03 -9.7272E-04
  5.5165E+02  1.6375E+01  1.6382E+01  1.5689E+01  1.5669E+01  1.5225E+01  3.7923E-04  7.6827E-03 -9.7870E-04
  6.0938E+02  1.8096E+01  1.8104E+01  1.7415E+01  1.7391E+01  1.6940E+01  3.9702E-04  7.7696E-03 -9.8467E-04
  6.6935E+02  1.9899E+01  1.9906E+01  1.9221E+01  1.9194E+01  1.8737E+01  4.1488E-04  7.8552E-03 -9.9050E-04
  7.2941E+02  2.1717E+01  2.1725E+01  2.1042E+01  2.1013E+01  2.0550E+01  4.3222E-04  7.9367E-03 -9.9600E-04
  7.8906E+02  2.3536E+01  2.3544E+01  2.2864E+01  2.2832E+01  2.2365E+01  4.4895E-04  8.0140E-03 -1.0012E-03
  8.5202E+02  2.5470E+01  2.5477E+01  2.4801E+01  2.4766E+01  2.4294E+01  4.6614E-04  8.0922E-03 -1.0064E-03
  9.1697E+02  2.7478E+01  2.7486E+01  2.6813E+01  2.6776E+01  2.6298E+01  4.8344E-04  8.1696E-03 -1.0115E-03
  9.8158E+02  2.9490E+01  2.9498E+01  2.8828E+01  2.8789E+01  2.8306E+01  5.0025E-04  8.2435E-03 -1.0163E-03
  1.0453E+03  3.1488E+01  3.1496E+01  3.0828E+01  3.0787E+01  3.0300E+01  5.1647E-04  8.3139E-03 -1.0208E-03
  1.1121E+03  3.3596E+01  3.3603E+01  3.2938E+01  3.2895E+01  3.2404E+01  5.3316E-04  8.3853E-03 -1.0254E-03
  1.1806E+03  3.5769E+01  3.5777E+01  3.5115E+01  3.5069E+01  3.4574E+01  5.4994E-04  8.4562E-03 -1.0299E-03
  1.2484E+03  3.7937E+01  3.7945E+01  3.7284E+01  3.7237E+01  3.6738E+01  5.6626E-04  8.5241E-03 -1.0342E-03
  1.3150E+03  4.0077E+01  4.0085E+01  3.9427E+01  3.9378E+01  3.8876E+01  5.8203E-04  8.5890E-03 -1.0383E-03
  1.3845E+03  4.2323E+01  4.2331E+01  4.1675E+01  4.1625E+01  4.1118E+01  5.9824E-04  8.6549E-03 -1.0424E-03
  1.4557E+03  4.4639E+01  4.4647E+01  4.3994E+01  4.3941E+01  4.3431E+01  6.1459E-04  8.7205E-03 -1.0465E-03
  1.5256E+03  4.6927E+01  4.6935E+01  4.6284E+01  4.6230E+01  4.5717E+01  6.3045E-04  8.7835E-03 -1.0504E-03
  1.5944E+03  4.9188E+01  4.9196E+01  4.8547E+01  4.8491E+01  4.7975E+01  6.4582E-04  8.8438E-03 -1.0541E-03
  1.6658E+03  5.1549E+01  5.1557E+01  5.0910E+01  5.0853E+01  5.0334E+01  6.6161E-04  8.9053E-03 -1.0578E-03
 -2.6225E+01  1.1236E+00  1.1295E+00  3.8945E-01  0.0000E+00  0.0000E+00  2.6838E-05  5.9758E-03 -8.6559E-04
 -2.7367E+01  9.5729E-01  9.6338E-01  2.3258E-01  0.0000E+00  0.0000E+00  4.3126E-05  6.1401E-03 -8.7949E-04
 -2.7878E+01  8.5088E-01  8.5708E-01  1.3298E-01  0.0000E+00  0.0000E+00  5.6325E-05  6.2634E-03 -8.8975E-04
 -2.7870E+01  7.3681E-01  7.4315E-01  2.7798E-02  0.0000E+00  0.0000E+00  7.5444E-05  6.4295E-03 -9.0337E-04
 -2.7870E+01  7.3681E-01  7.4315E-01  2.7798E-02 -1.9662E-07  0.0000E+00  7.5445E-05  6.4295E-03 -9.0337E-04
