 # Mon Nov 10 17:34:22 2008
 # MSTW 2008 NLO PDF grid for eigenvector   20.
 # distance(t),tolerance(T) =   22.0078902  8.71854801
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  1.2371E+03  3.9032E+01  3.9040E+01  3.8381E+01  3.8110E+01  3.6943E+01  6.0622E-04  8.8619E-03 -6.3340E-03
  1.3055E+03  4.1248E+01  4.1256E+01  4.0600E+01  4.0328E+01  3.9163E+01  6.2343E-04  8.9336E-03 -6.3562E-03
  1.3726E+03  4.3434E+01  4.3443E+01  4.2789E+01  4.2518E+01  4.1355E+01  6.4004E-04  9.0020E-03 -6.3772E-03
  1.4426E+03  4.5727E+01  4.5735E+01  4.5083E+01  4.4812E+01  4.3651E+01  6.5710E-04  9.0715E-03 -6.3982E-03
  1.5143E+03  4.8088E+01  4.8097E+01  4.7447E+01  4.7176E+01  4.6017E+01  6.7429E-04  9.1407E-03 -6.4189E-03
  1.5847E+03  5.0420E+01  5.0429E+01  4.9781E+01  4.9510E+01  4.8354E+01  6.9096E-04  9.2071E-03 -6.4386E-03
  1.6539E+03  5.2723E+01  5.2732E+01  5.2086E+01  5.1815E+01  5.0660E+01  7.0710E-04  9.2706E-03 -6.4572E-03
  1.7258E+03  5.5127E+01  5.5135E+01  5.4492E+01  5.4221E+01  5.3068E+01  7.2367E-04  9.3352E-03 -6.4760E-03
 -1.1870E+01  1.1071E+00  1.1133E+00  3.7887E-01  0.0000E+00  0.0000E+00  4.7536E-05  6.2298E-03 -5.4579E-03
 -1.1898E+01  1.0396E+00  1.0460E+00  3.2067E-01  0.0000E+00  0.0000E+00  6.6073E-05  6.4063E-03 -5.5405E-03
 -1.1561E+01  1.0062E+00  1.0126E+00  2.9389E-01  0.0000E+00  0.0000E+00  8.0977E-05  6.5386E-03 -5.6012E-03
 -1.0421E+01  9.8895E-01  9.9555E-01  2.8539E-01  0.0000E+00  0.0000E+00  1.0242E-04  6.7168E-03 -5.6811E-03
 -1.0421E+01  9.8895E-01  9.9555E-01  2.8539E-01  2.6761E-08  0.0000E+00  1.0242E-04  6.7168E-03 -5.6811E-03
 -8.7229E+00  1.0034E+00  1.0102E+00  3.0683E-01  2.1815E-02  0.0000E+00  1.2170E-04  6.8646E-03 -5.7456E-03
 -6.3458E+00  1.0446E+00  1.0514E+00  3.5436E-01  6.9540E-02  0.0000E+00  1.4099E-04  7.0051E-03 -5.8057E-03
 -3.6157E+00  1.1034E+00  1.1103E+00  4.1852E-01  1.3389E-01  0.0000E+00  1.5818E-04  7.1250E-03 -5.8560E-03
 -3.2720E-01  1.1818E+00  1.1889E+00  5.0192E-01  2.1747E-01  0.0000E+00  1.7515E-04  7.2390E-03 -5.9031E-03
  3.9623E+00  1.2905E+00  1.2976E+00  6.1565E-01  3.3142E-01  0.0000E+00  1.9365E-04  7.3589E-03 -5.9519E-03
  8.4131E+00  1.4073E+00  1.4145E+00  7.3675E-01  4.5271E-01  0.0000E+00  2.1014E-04  7.4624E-03 -5.9934E-03
  1.3425E+01  1.5417E+00  1.5490E+00  8.7525E-01  5.9140E-01  0.0000E+00  2.2642E-04  7.5616E-03 -6.0326E-03
  1.7910E+01  1.6637E+00  1.6710E+00  1.0003E+00  7.1664E-01  0.0000E+00  2.3957E-04  7.6399E-03 -6.0631E-03
  3.5997E+01  2.1657E+00  2.1733E+00  1.5122E+00  1.2291E+00  0.0000E+00  2.8404E-04  7.8934E-03 -6.1598E-03
  3.5997E+01  2.1657E+00  2.1733E+00  1.5122E+00  1.2291E+00  4.9602E-08  2.8404E-04  7.8934E-03 -6.1598E-03
  4.0341E+01  2.2950E+00  2.3026E+00  1.6435E+00  1.3605E+00  1.5092E-01  2.9385E-04  7.9467E-03 -6.1795E-03
  5.4666E+01  2.7198E+00  2.7275E+00  2.0741E+00  1.7914E+00  5.8601E-01  3.2335E-04  8.1033E-03 -6.2368E-03
  7.2127E+01  3.2384E+00  3.2463E+00  2.5985E+00  2.3162E+00  1.1170E+00  3.5506E-04  8.2655E-03 -6.2948E-03
  9.0384E+01  3.7815E+00  3.7895E+00  3.1467E+00  2.8649E+00  1.6711E+00  3.8472E-04  8.4122E-03 -6.3461E-03
  1.1126E+02  4.4040E+00  4.4121E+00  3.7742E+00  3.4927E+00  2.3044E+00  4.1550E-04  8.5599E-03 -6.3966E-03
  1.3055E+02  4.9801E+00  4.9883E+00  4.3544E+00  4.0733E+00  2.8894E+00  4.4168E-04  8.6822E-03 -6.4376E-03
  1.5647E+02  5.7566E+00  5.7649E+00  5.1357E+00  4.8549E+00  3.6765E+00  4.7424E-04  8.8303E-03 -6.4863E-03
  1.8175E+02  6.5166E+00  6.5250E+00  5.8999E+00  5.6195E+00  4.4457E+00  5.0375E-04  8.9611E-03 -6.5284E-03
  2.0694E+02  7.2765E+00  7.2850E+00  6.6635E+00  6.3834E+00  5.2139E+00  5.3141E-04  9.0809E-03 -6.5663E-03
  2.4181E+02  8.3331E+00  8.3417E+00  7.7247E+00  7.4451E+00  6.2809E+00  5.6733E-04  9.2329E-03 -6.6133E-03
  2.7759E+02  9.4231E+00  9.4318E+00  8.8189E+00  8.5397E+00  7.3805E+00  6.0194E-04  9.3757E-03 -6.6565E-03
  3.1385E+02  1.0534E+01  1.0542E+01  9.9333E+00  9.6545E+00  8.4999E+00  6.3512E-04  9.5096E-03 -6.6961E-03
  3.5278E+02  1.1733E+01  1.1742E+01  1.1136E+01  1.0858E+01  9.7078E+00  6.6900E-04  9.6434E-03 -6.7350E-03
  3.9352E+02  1.2995E+01  1.3004E+01  1.2402E+01  1.2124E+01  1.0979E+01  7.0286E-04  9.7745E-03 -6.7722E-03
  4.3463E+02  1.4277E+01  1.4286E+01  1.3688E+01  1.3410E+01  1.2268E+01  7.3559E-04  9.8988E-03 -6.8068E-03
  4.7551E+02  1.5559E+01  1.5568E+01  1.4973E+01  1.4696E+01  1.3558E+01  7.6698E-04  1.0016E-02 -6.8388E-03
  5.1892E+02  1.6930E+01  1.6939E+01  1.6346E+01  1.6069E+01  1.4936E+01  7.9914E-04  1.0134E-02 -6.8704E-03
  5.6376E+02  1.8354E+01  1.8363E+01  1.7774E+01  1.7497E+01  1.6367E+01  8.3132E-04  1.0250E-02 -6.9010E-03
  6.0842E+02  1.9781E+01  1.9790E+01  1.9203E+01  1.8927E+01  1.7801E+01  8.6243E-04  1.0361E-02 -6.9295E-03
  6.5254E+02  2.1200E+01  2.1209E+01  2.0625E+01  2.0349E+01  1.9226E+01  8.9236E-04  1.0466E-02 -6.9561E-03
  6.9889E+02  2.2699E+01  2.2709E+01  2.2127E+01  2.1851E+01  2.0731E+01  9.2302E-04  1.0572E-02 -6.9825E-03
  7.4648E+02  2.4248E+01  2.4258E+01  2.3679E+01  2.3404E+01  2.2287E+01  9.5376E-04  1.0677E-02 -7.0082E-03
  7.9360E+02  2.5792E+01  2.5802E+01  2.5225E+01  2.4950E+01  2.3836E+01  9.8354E-04  1.0778E-02 -7.0324E-03
  8.3988E+02  2.7317E+01  2.7327E+01  2.6752E+01  2.6478E+01  2.5367E+01  1.0122E-03  1.0873E-02 -7.0549E-03
  8.8821E+02  2.8919E+01  2.8929E+01  2.8357E+01  2.8082E+01  2.6975E+01  1.0416E-03  1.0970E-02 -7.0775E-03
  9.3756E+02  3.0565E+01  3.0574E+01  3.0004E+01  2.9730E+01  2.8625E+01  1.0711E-03  1.1066E-02 -7.0995E-03
  9.8625E+02  3.2198E+01  3.2208E+01  3.1639E+01  3.1366E+01  3.0264E+01  1.0997E-03  1.1158E-02 -7.1202E-03
  1.0339E+03  3.3805E+01  3.3815E+01  3.3248E+01  3.2975E+01  3.1876E+01  1.1272E-03  1.1246E-02 -7.1397E-03
  1.0834E+03  3.5485E+01  3.5495E+01  3.4930E+01  3.4657E+01  3.3560E+01  1.1555E-03  1.1336E-02 -7.1592E-03
  1.1340E+03  3.7210E+01  3.7220E+01  3.6658E+01  3.6385E+01  3.5291E+01  1.1839E-03  1.1425E-02 -7.1782E-03
  1.1836E+03  3.8910E+01  3.8920E+01  3.8359E+01  3.8086E+01  3.6995E+01  1.2114E-03  1.1510E-02 -7.1963E-03
  1.2321E+03  4.0583E+01  4.0593E+01  4.0034E+01  3.9762E+01  3.8672E+01  1.2380E-03  1.1592E-02 -7.2133E-03
  1.2823E+03  4.2326E+01  4.2336E+01  4.1778E+01  4.1506E+01  4.0419E+01  1.2653E-03  1.1675E-02 -7.2304E-03
