 # Mon Nov 10 20:03:13 2008
 # MSTW 2008 NNLO PDF grid for eigenvector   14.
 # distance(t),tolerance(T) =   4.86723692  5.69076574
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.0659E+01  6.8433E-01  6.8875E-01  2.6048E-01  0.0000E+00  0.0000E+00  1.2909E-05  4.4320E-03 -6.5128E-04  0.0000E+00  0.0000E+00
 -2.3860E+01  5.9643E-01  6.0096E-01  1.7607E-01  0.0000E+00  0.0000E+00  3.8595E-05  4.5705E-03 -6.4702E-04  0.0000E+00  0.0000E+00
 -2.6159E+01  5.4189E-01  5.4649E-01  1.2403E-01  0.0000E+00  0.0000E+00  5.7512E-05  4.6725E-03 -6.4444E-04  0.0000E+00  0.0000E+00
 -2.8851E+01  4.8838E-01  4.9309E-01  7.3740E-02  0.0000E+00  0.0000E+00  8.2637E-05  4.8078E-03 -6.4170E-04  0.0000E+00  0.0000E+00
 -2.8756E+01  4.8865E-01  4.9337E-01  7.4186E-02 -2.2378E-01  0.0000E+00  8.3383E-05  4.8142E-03 -6.4216E-04  2.4242E-11  0.0000E+00
 -3.0319E+01  4.7314E-01  4.7794E-01  6.1159E-02 -2.4400E-01  0.0000E+00  1.0434E-04  4.9230E-03 -6.4010E-04  9.4658E-06  0.0000E+00
 -3.1147E+01  4.7939E-01  4.8426E-01  6.9726E-02 -2.4047E-01  0.0000E+00  1.2425E-04  5.0266E-03 -6.3868E-04  1.7512E-05  0.0000E+00
 -3.1202E+01  5.0426E-01  5.0920E-01  9.6521E-02 -2.1781E-01  0.0000E+00  1.4117E-04  5.1144E-03 -6.3779E-04  2.3976E-05  0.0000E+00
 -3.0570E+01  5.4718E-01  5.5219E-01  1.4123E-01 -1.7689E-01  0.0000E+00  1.5720E-04  5.1974E-03 -6.3721E-04  2.9798E-05  0.0000E+00
 -2.9052E+01  6.1546E-01  6.2054E-01  2.1135E-01 -1.1063E-01  0.0000E+00  1.7405E-04  5.2842E-03 -6.3686E-04  3.5604E-05  0.0000E+00
 -2.6940E+01  6.9543E-01  7.0056E-01  2.9287E-01 -3.2335E-02  0.0000E+00  1.8858E-04  5.3588E-03 -6.3675E-04  4.0368E-05  0.0000E+00
 -2.4100E+01  7.9316E-01  7.9834E-01  3.9205E-01  6.3851E-02  0.0000E+00  2.0252E-04  5.4300E-03 -6.3681E-04  4.4730E-05  0.0000E+00
 -2.1261E+01  8.8548E-01  8.9071E-01  4.8551E-01  1.5500E-01  0.0000E+00  2.1353E-04  5.4859E-03 -6.3696E-04  4.8037E-05  0.0000E+00
 -7.9352E+00  1.2903E+00  1.2957E+00  8.9392E-01  5.5630E-01  0.0000E+00  2.4934E-04  5.6661E-03 -6.3803E-04  5.8018E-05  0.0000E+00
 -6.8176E+00  1.2907E+00  1.2960E+00  8.9431E-01  5.5656E-01 -4.1900E-01  2.4983E-04  5.6690E-03 -6.3817E-04  5.8054E-05  5.7299E-13
 -3.4763E+00  1.4024E+00  1.4078E+00  1.0067E+00  6.6760E-01 -2.9522E-01  2.5737E-04  5.7060E-03 -6.3843E-04  6.0024E-05  1.7117E-06
  8.8516E+00  1.7778E+00  1.7833E+00  1.3842E+00  1.0410E+00  7.3652E-02  2.7993E-04  5.8160E-03 -6.3946E-04  6.5616E-05  5.8818E-06
  2.4823E+01  2.2505E+00  2.2561E+00  1.8591E+00  1.5119E+00  5.4158E-01  3.0355E-04  5.9297E-03 -6.4076E-04  7.1083E-05  9.9129E-06
  4.2368E+01  2.7596E+00  2.7652E+00  2.3700E+00  2.0193E+00  1.0466E+00  3.2515E-04  6.0323E-03 -6.4213E-04  7.5764E-05  1.3306E-05
  6.3233E+01  3.3571E+00  3.3629E+00  2.9693E+00  2.6154E+00  1.6403E+00  3.4713E-04  6.1353E-03 -6.4367E-04  8.0243E-05  1.6499E-05
  8.3101E+01  3.9215E+00  3.9273E+00  3.5352E+00  3.1786E+00  2.2018E+00  3.6554E-04  6.2205E-03 -6.4507E-04  8.3790E-05  1.8989E-05
  1.1054E+02  4.6971E+00  4.7029E+00  4.3125E+00  3.9528E+00  2.9740E+00  3.8809E-04  6.3234E-03 -6.4688E-04  8.7897E-05  2.1827E-05
  1.3796E+02  5.4701E+00  5.4760E+00  5.0870E+00  4.7247E+00  3.7443E+00  4.0826E-04  6.4143E-03 -6.4858E-04  9.1371E-05  2.4188E-05
  1.6583E+02  6.2550E+00  6.2610E+00  5.8733E+00  5.5086E+00  4.5269E+00  4.2696E-04  6.4974E-03 -6.5021E-04  9.4435E-05  2.6241E-05
  2.0516E+02  7.3641E+00  7.3702E+00  6.9841E+00  6.6165E+00  5.6333E+00  4.5098E-04  6.6027E-03 -6.5238E-04  9.8166E-05  2.8699E-05
  2.4629E+02  8.5269E+00  8.5331E+00  8.1485E+00  7.7784E+00  6.7937E+00  4.7388E-04  6.7015E-03 -6.5450E-04  1.0153E-04  3.0877E-05
  2.8866E+02  9.7288E+00  9.7351E+00  9.3519E+00  8.9794E+00  7.9937E+00  4.9564E-04  6.7941E-03 -6.5656E-04  1.0456E-04  3.2810E-05
  3.3480E+02  1.1044E+01  1.1050E+01  1.0668E+01  1.0294E+01  9.3071E+00  5.1770E-04  6.8866E-03 -6.5867E-04  1.0749E-04  3.4646E-05
  3.8373E+02  1.2446E+01  1.2452E+01  1.2071E+01  1.1695E+01  1.0707E+01  5.3959E-04  6.9771E-03 -6.6079E-04  1.1026E-04  3.6358E-05
  4.3370E+02  1.3886E+01  1.3892E+01  1.3513E+01  1.3134E+01  1.2146E+01  5.6062E-04  7.0629E-03 -6.6284E-04  1.1280E-04  3.7904E-05
  4.8391E+02  1.5341E+01  1.5347E+01  1.4969E+01  1.4589E+01  1.3600E+01  5.8069E-04  7.1437E-03 -6.6480E-04  1.1513E-04  3.9304E-05
  5.3777E+02  1.6912E+01  1.6918E+01  1.6541E+01  1.6159E+01  1.5169E+01  6.0116E-04  7.2251E-03 -6.6681E-04  1.1741E-04  4.0654E-05
  5.9391E+02  1.8559E+01  1.8566E+01  1.8190E+01  1.7806E+01  1.6816E+01  6.2157E-04  7.3053E-03 -6.6881E-04  1.1960E-04  4.1934E-05
  6.5029E+02  2.0224E+01  2.0231E+01  1.9856E+01  1.9471E+01  1.8480E+01  6.4123E-04  7.3816E-03 -6.7073E-04  1.2163E-04  4.3109E-05
  7.0643E+02  2.1893E+01  2.1900E+01  2.1526E+01  2.1139E+01  2.0148E+01  6.6008E-04  7.4540E-03 -6.7257E-04  1.2351E-04  4.4184E-05
  7.6583E+02  2.3671E+01  2.3677E+01  2.3304E+01  2.2916E+01  2.1925E+01  6.7934E-04  7.5271E-03 -6.7444E-04  1.2537E-04  4.5235E-05
  8.2725E+02  2.5520E+01  2.5527E+01  2.5155E+01  2.4765E+01  2.3774E+01  6.9861E-04  7.5995E-03 -6.7631E-04  1.2718E-04  4.6242E-05
  8.8848E+02  2.7376E+01  2.7383E+01  2.7012E+01  2.6621E+01  2.5630E+01  7.1723E-04  7.6687E-03 -6.7810E-04  1.2886E-04  4.7176E-05
  9.4898E+02  2.9222E+01  2.9229E+01  2.8858E+01  2.8467E+01  2.7475E+01  7.3512E-04  7.7345E-03 -6.7981E-04  1.3044E-04  4.8039E-05
  1.0125E+03  3.1172E+01  3.1179E+01  3.0810E+01  3.0417E+01  2.9425E+01  7.5343E-04  7.8013E-03 -6.8156E-04  1.3201E-04  4.8891E-05
  1.0777E+03  3.3187E+01  3.3194E+01  3.2825E+01  3.2431E+01  3.1439E+01  7.7178E-04  7.8675E-03 -6.8329E-04  1.3354E-04  4.9714E-05
  1.1425E+03  3.5199E+01  3.5206E+01  3.4838E+01  3.4443E+01  3.3451E+01  7.8955E-04  7.9311E-03 -6.8496E-04  1.3498E-04  5.0483E-05
  1.2061E+03  3.7189E+01  3.7196E+01  3.6829E+01  3.6433E+01  3.5441E+01  8.0666E-04  7.9917E-03 -6.8656E-04  1.3633E-04  5.1199E-05
  1.2726E+03  3.9280E+01  3.9287E+01  3.8920E+01  3.8523E+01  3.7531E+01  8.2418E-04  8.0533E-03 -6.8818E-04  1.3769E-04  5.1911E-05
  1.3407E+03  4.1439E+01  4.1446E+01  4.1080E+01  4.0682E+01  3.9690E+01  8.4179E-04  8.1147E-03 -6.8980E-04  1.3901E-04  5.2602E-05
  1.4078E+03  4.3575E+01  4.3582E+01  4.3216E+01  4.2818E+01  4.1826E+01  8.5884E-04  8.1736E-03 -6.9135E-04  1.4027E-04  5.3252E-05
  1.4738E+03  4.5688E+01  4.5695E+01  4.5330E+01  4.4931E+01  4.3939E+01  8.7529E-04  8.2300E-03 -6.9284E-04  1.4145E-04  5.3861E-05
  1.5424E+03  4.7897E+01  4.7905E+01  4.7541E+01  4.7140E+01  4.6149E+01  8.9216E-04  8.2874E-03 -6.9436E-04  1.4264E-04  5.4469E-05
 -1.6759E+01  6.2954E-01  6.3492E-01  2.3954E-01  0.0000E+00  0.0000E+00  3.3676E-05  5.4135E-03 -7.4824E-04  0.0000E+00  0.0000E+00
