 # Mon Nov 10 19:28:12 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -7.
 # distance(t),tolerance(T) =   5.9919  6.06391295
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.8632E+01  6.7918E-01  6.8406E-01  2.3725E-01  0.0000E+00  0.0000E+00  3.1190E-07  4.8823E-03 -4.1632E-04  0.0000E+00  0.0000E+00
 -3.2641E+01  5.2604E-01  5.3104E-01  8.7768E-02  0.0000E+00  0.0000E+00  2.2281E-05  5.0272E-03 -4.0857E-04  0.0000E+00  0.0000E+00
 -3.5593E+01  4.2276E-01  4.2785E-01 -1.2898E-02  0.0000E+00  0.0000E+00  3.8386E-05  5.1339E-03 -4.0341E-04  0.0000E+00  0.0000E+00
 -3.9212E+01  3.0352E-01  3.0872E-01 -1.2877E-01  0.0000E+00  0.0000E+00  5.9680E-05  5.2754E-03 -3.9724E-04  0.0000E+00  0.0000E+00
 -3.9248E+01  3.0406E-01  3.0926E-01 -1.2805E-01 -2.2464E-01  0.0000E+00  6.0303E-05  5.2821E-03 -3.9751E-04  2.3673E-11  0.0000E+00
 -4.1488E+01  2.3291E-01  2.3820E-01 -1.9660E-01 -3.0671E-01  0.0000E+00  7.8037E-05  5.3958E-03 -3.9272E-04  9.2480E-06  0.0000E+00
 -4.3018E+01  1.8671E-01  1.9209E-01 -2.4037E-01 -3.5896E-01  0.0000E+00  9.4823E-05  5.5041E-03 -3.8868E-04  1.7119E-05  0.0000E+00
 -4.3695E+01  1.6704E-01  1.7249E-01 -2.5802E-01 -3.8359E-01  0.0000E+00  1.0904E-04  5.5958E-03 -3.8558E-04  2.3449E-05  0.0000E+00
 -4.3671E+01  1.6775E-01  1.7328E-01 -2.5544E-01 -3.8742E-01  0.0000E+00  1.2247E-04  5.6824E-03 -3.8291E-04  2.9154E-05  0.0000E+00
 -4.2808E+01  1.9173E-01  1.9733E-01 -2.2954E-01 -3.6807E-01  0.0000E+00  1.3654E-04  5.7730E-03 -3.8037E-04  3.4851E-05  0.0000E+00
 -4.1272E+01  2.3355E-01  2.3921E-01 -1.8610E-01 -3.3010E-01  0.0000E+00  1.4865E-04  5.8509E-03 -3.7838E-04  3.9528E-05  0.0000E+00
 -3.8991E+01  2.9474E-01  3.0046E-01 -1.2338E-01 -2.7249E-01  0.0000E+00  1.6024E-04  5.9252E-03 -3.7665E-04  4.3814E-05  0.0000E+00
 -3.6596E+01  3.5831E-01  3.6408E-01 -5.8625E-02 -2.1168E-01  0.0000E+00  1.6937E-04  5.9836E-03 -3.7539E-04  4.7065E-05  0.0000E+00
 -2.4710E+01  6.7015E-01  6.7607E-01  2.5694E-01  9.1685E-02  0.0000E+00  1.9899E-04  6.1715E-03 -3.7194E-04  5.6890E-05  0.0000E+00
 -2.3638E+01  6.7082E-01  6.7675E-01  2.5768E-01  9.2194E-02 -4.2833E-01  1.9940E-04  6.1745E-03 -3.7201E-04  5.6926E-05  5.6199E-13
 -2.0544E+01  7.6273E-01  7.6869E-01  3.5032E-01  1.8246E-01 -3.3140E-01  2.0563E-04  6.2131E-03 -3.7135E-04  5.8868E-05  1.6792E-06
 -8.9777E+00  1.0806E+00  1.0867E+00  6.7041E-01  4.9558E-01 -3.0702E-02  2.2426E-04  6.3278E-03 -3.6965E-04  6.4382E-05  5.7726E-06
  6.2132E+00  1.4946E+00  1.5008E+00  1.0866E+00  9.0486E-01  3.6740E-01  2.4372E-04  6.4462E-03 -3.6816E-04  6.9779E-05  9.7333E-06
  2.3063E+01  1.9513E+00  1.9575E+00  1.5452E+00  1.3574E+00  8.1025E-01  2.6148E-04  6.5531E-03 -3.6702E-04  7.4405E-05  1.3070E-05
  4.3245E+01  2.4967E+00  2.5030E+00  2.0925E+00  1.8989E+00  1.3425E+00  2.7955E-04  6.6603E-03 -3.6605E-04  7.8836E-05  1.6213E-05
  6.2562E+01  3.0186E+00  3.0250E+00  2.6160E+00  2.4176E+00  1.8538E+00  2.9466E-04  6.7489E-03 -3.6538E-04  8.2347E-05  1.8666E-05
  8.9356E+01  3.7433E+00  3.7498E+00  3.3426E+00  3.1387E+00  2.5663E+00  3.1316E-04  6.8560E-03 -3.6471E-04  8.6417E-05  2.1463E-05
  1.1623E+02  4.4722E+00  4.4788E+00  4.0730E+00  3.8645E+00  3.2847E+00  3.2970E-04  6.9505E-03 -3.6424E-04  8.9863E-05  2.3793E-05
  1.4362E+02  5.2173E+00  5.2239E+00  4.8195E+00  4.6069E+00  4.0206E+00  3.4502E-04  7.0369E-03 -3.6390E-04  9.2904E-05  2.5820E-05
  1.8237E+02  6.2768E+00  6.2836E+00  5.8809E+00  5.6631E+00  5.0689E+00  3.6470E-04  7.1463E-03 -3.6358E-04  9.6609E-05  2.8249E-05
  2.2300E+02  7.3941E+00  7.4009E+00  6.9997E+00  6.7773E+00  6.1761E+00  3.8347E-04  7.2490E-03 -3.6339E-04  9.9953E-05  3.0403E-05
  2.6491E+02  8.5542E+00  8.5611E+00  8.1614E+00  7.9348E+00  7.3271E+00  4.0130E-04  7.3451E-03 -3.6330E-04  1.0297E-04  3.2316E-05
  3.1065E+02  9.8286E+00  9.8355E+00  9.4372E+00  9.2065E+00  8.5927E+00  4.1938E-04  7.4411E-03 -3.6327E-04  1.0588E-04  3.4134E-05
  3.5921E+02  1.1191E+01  1.1198E+01  1.0801E+01  1.0567E+01  9.9471E+00  4.3733E-04  7.5350E-03 -3.6332E-04  1.0865E-04  3.5831E-05
  4.0886E+02  1.2595E+01  1.2602E+01  1.2207E+01  1.1968E+01  1.1344E+01  4.5458E-04  7.6240E-03 -3.6342E-04  1.1118E-04  3.7365E-05
  4.5880E+02  1.4017E+01  1.4024E+01  1.3630E+01  1.3388E+01  1.2759E+01  4.7105E-04  7.7078E-03 -3.6356E-04  1.1350E-04  3.8754E-05
  5.1243E+02  1.5555E+01  1.5563E+01  1.5169E+01  1.4925E+01  1.4290E+01  4.8786E-04  7.7922E-03 -3.6374E-04  1.1578E-04  4.0095E-05
  5.6835E+02  1.7172E+01  1.7179E+01  1.6787E+01  1.6539E+01  1.5900E+01  5.0462E-04  7.8752E-03 -3.6396E-04  1.1797E-04  4.1367E-05
  6.2456E+02  1.8808E+01  1.8816E+01  1.8425E+01  1.8174E+01  1.7531E+01  5.2079E-04  7.9543E-03 -3.6419E-04  1.2000E-04  4.2535E-05
  6.8057E+02  2.0451E+01  2.0458E+01  2.0068E+01  1.9815E+01  1.9168E+01  5.3629E-04  8.0292E-03 -3.6445E-04  1.2188E-04  4.3605E-05
  7.3986E+02  2.2202E+01  2.2209E+01  2.1820E+01  2.1565E+01  2.0914E+01  5.5215E-04  8.1049E-03 -3.6473E-04  1.2374E-04  4.4652E-05
  8.0120E+02  2.4027E+01  2.4034E+01  2.3646E+01  2.3388E+01  2.2734E+01  5.6802E-04  8.1798E-03 -3.6502E-04  1.2555E-04  4.5655E-05
  8.6237E+02  2.5860E+01  2.5867E+01  2.5480E+01  2.5220E+01  2.4562E+01  5.8336E-04  8.2514E-03 -3.6533E-04  1.2724E-04  4.6585E-05
  9.2283E+02  2.7684E+01  2.7692E+01  2.7305E+01  2.7043E+01  2.6382E+01  5.9812E-04  8.3195E-03 -3.6564E-04  1.2882E-04  4.7446E-05
  9.8636E+02  2.9614E+01  2.9622E+01  2.9236E+01  2.8971E+01  2.8308E+01  6.1324E-04  8.3885E-03 -3.6596E-04  1.3039E-04  4.8296E-05
  1.0516E+03  3.1609E+01  3.1617E+01  3.1232E+01  3.0965E+01  3.0299E+01  6.2840E-04  8.4570E-03 -3.6630E-04  1.3192E-04  4.9117E-05
  1.1163E+03  3.3602E+01  3.3610E+01  3.3226E+01  3.2957E+01  3.2288E+01  6.4309E-04  8.5227E-03 -3.6664E-04  1.3337E-04  4.9885E-05
  1.1800E+03  3.5576E+01  3.5584E+01  3.5200E+01  3.4930E+01  3.4258E+01  6.5724E-04  8.5853E-03 -3.6697E-04  1.3473E-04  5.0600E-05
  1.2465E+03  3.7650E+01  3.7657E+01  3.7275E+01  3.7002E+01  3.6328E+01  6.7175E-04  8.6490E-03 -3.6732E-04  1.3609E-04  5.1311E-05
  1.3148E+03  3.9793E+01  3.9801E+01  3.9419E+01  3.9145E+01  3.8468E+01  6.8634E-04  8.7123E-03 -3.6768E-04  1.3742E-04  5.2002E-05
  1.3820E+03  4.1914E+01  4.1922E+01  4.1541E+01  4.1265E+01  4.0586E+01  7.0047E-04  8.7732E-03 -3.6803E-04  1.3868E-04  5.2653E-05
  1.4481E+03  4.4014E+01  4.4022E+01  4.3642E+01  4.3364E+01  4.2683E+01  7.1412E-04  8.8314E-03 -3.6837E-04  1.3987E-04  5.3262E-05
  1.5168E+03  4.6211E+01  4.6219E+01  4.5839E+01  4.5560E+01  4.4877E+01  7.2812E-04  8.8906E-03 -3.6873E-04  1.4107E-04  5.3870E-05
 -2.2771E+01  6.2470E-01  6.3062E-01  2.1817E-01  0.0000E+00  0.0000E+00  6.0427E-06  5.9271E-03 -4.7830E-04  0.0000E+00  0.0000E+00
 -2.5653E+01  5.3395E-01  5.4001E-01  1.3079E-01  0.0000E+00  0.0000E+00  4.0142E-05  6.1103E-03 -4.6613E-04  0.0000E+00  0.0000E+00
 -2.7634E+01  4.7759E-01  4.8376E-01  7.6849E-02  0.0000E+00  0.0000E+00  6.5233E-05  6.2453E-03 -4.5800E-04  0.0000E+00  0.0000E+00
 -2.9824E+01  4.2126E-01  4.2756E-01  2.3632E-02  0.0000E+00  0.0000E+00  9.8545E-05  6.4242E-03 -4.4827E-04  0.0000E+00  0.0000E+00
 -2.9663E+01  4.2159E-01  4.2790E-01  2.4125E-02 -2.3877E-01  0.0000E+00  9.9571E-05  6.4327E-03 -4.4857E-04  3.2079E-11  0.0000E+00
 -3.0784E+01  4.0197E-01  4.0839E-01  6.9117E-03 -2.6326E-01  0.0000E+00  1.2734E-04  6.5766E-03 -4.4108E-04  1.2503E-05  0.0000E+00
 -3.1192E+01  4.0291E-01  4.0944E-01  1.0098E-02 -2.6506E-01  0.0000E+00  1.5374E-04  6.7136E-03 -4.3472E-04  2.3080E-05  0.0000E+00
 -3.0926E+01  4.2153E-01  4.2814E-01  3.0575E-02 -2.4867E-01  0.0000E+00  1.7617E-04  6.8298E-03 -4.2982E-04  3.1541E-05  0.0000E+00
 -3.0048E+01  4.5649E-01  4.6319E-01  6.7268E-02 -2.1573E-01  0.0000E+00  1.9744E-04  6.9395E-03 -4.2556E-04  3.9131E-05  0.0000E+00
 -2.8362E+01  5.1368E-01  5.2047E-01  1.2623E-01 -1.6057E-01  0.0000E+00  2.1980E-04  7.0545E-03 -4.2148E-04  4.6675E-05  0.0000E+00
 -2.6206E+01  5.8137E-01  5.8824E-01  1.9542E-01 -9.4555E-02  0.0000E+00  2.3909E-04  7.1531E-03 -4.1828E-04  5.2841E-05  0.0000E+00
 -2.3436E+01  6.6440E-01  6.7134E-01  2.7986E-01 -1.3065E-02  0.0000E+00  2.5761E-04  7.2474E-03 -4.1546E-04  5.8469E-05  0.0000E+00
 -2.0743E+01  7.4290E-01  7.4989E-01  3.5945E-01  6.4260E-02  0.0000E+00  2.7224E-04  7.3215E-03 -4.1340E-04  6.2723E-05  0.0000E+00
 -8.5804E+00  1.0862E+00  1.0934E+00  7.0622E-01  4.0405E-01  0.0000E+00  3.1989E-04  7.5602E-03 -4.0763E-04  7.5491E-05  0.0000E+00
 -7.6039E+00  1.0866E+00  1.0938E+00  7.0664E-01  4.0434E-01 -3.5820E-01  3.2055E-04  7.5640E-03 -4.0770E-04  7.5536E-05  7.4385E-13
 -4.6189E+00  1.1809E+00  1.1881E+00  8.0161E-01  4.9795E-01 -2.5464E-01  3.3059E-04  7.6130E-03 -4.0660E-04  7.8044E-05  2.2218E-06
  6.2173E+00  1.4967E+00  1.5040E+00  1.1194E+00  8.1180E-01  5.3315E-02  3.6065E-04  7.7589E-03 -4.0369E-04  8.5137E-05  7.6192E-06
  1.9987E+01  1.8921E+00  1.8995E+00  1.5169E+00  1.2054E+00  4.4235E-01  3.9215E-04  7.9097E-03 -4.0107E-04  9.2035E-05  1.2814E-05
  3.4870E+01  2.3153E+00  2.3228E+00  1.9418E+00  1.6270E+00  8.6010E-01  4.2098E-04  8.0457E-03 -3.9901E-04  9.7910E-05  1.7169E-05
  5.2328E+01  2.8090E+00  2.8166E+00  2.4373E+00  2.1192E+00  1.3487E+00  4.5035E-04  8.1824E-03 -3.9722E-04  1.0350E-04  2.1250E-05
  6.8763E+01  3.2726E+00  3.2804E+00  2.9024E+00  2.5817E+00  1.8084E+00  4.7497E-04  8.2955E-03 -3.9592E-04  1.0791E-04  2.4420E-05
  9.1217E+01  3.9060E+00  3.9138E+00  3.5375E+00  3.2138E+00  2.4372E+00  5.0514E-04  8.4322E-03 -3.9456E-04  1.1299E-04  2.8019E-05
  1.1343E+02  4.5336E+00  4.5415E+00  4.1665E+00  3.8403E+00  3.0610E+00  5.3216E-04  8.5529E-03 -3.9353E-04  1.1727E-04  3.1002E-05
  1.3581E+02  5.1674E+00  5.1754E+00  4.8017E+00  4.4732E+00  3.6915E+00  5.5721E-04  8.6633E-03 -3.9273E-04  1.2102E-04  3.3584E-05
  1.6711E+02  6.0579E+00  6.0660E+00  5.6937E+00  5.3625E+00  4.5781E+00  5.8942E-04  8.8032E-03 -3.9188E-04  1.2557E-04  3.6665E-05
  1.9955E+02  6.9857E+00  6.9939E+00  6.6231E+00  6.2894E+00  5.5025E+00  6.2016E-04  8.9347E-03 -3.9124E-04  1.2965E-04  3.9381E-05
  2.3269E+02  7.9393E+00  7.9476E+00  7.5781E+00  7.2422E+00  6.4531E+00  6.4938E-04  9.0578E-03 -3.9076E-04  1.3331E-04  4.1781E-05
  2.6852E+02  8.9771E+00  8.9855E+00  8.6172E+00  8.2792E+00  7.4882E+00  6.7902E-04  9.1809E-03 -3.9040E-04  1.3683E-04  4.4051E-05
  3.0623E+02  1.0077E+01  1.0086E+01  9.7188E+00  9.3787E+00  8.5858E+00  7.0845E-04  9.3015E-03 -3.9014E-04  1.4014E-04  4.6158E-05
  3.4449E+02  1.1202E+01  1.1210E+01  1.0845E+01  1.0503E+01  9.7081E+00  7.3674E-04  9.4157E-03 -3.8998E-04  1.4316E-04  4.8054E-05
  3.8271E+02  1.2333E+01  1.2342E+01  1.1977E+01  1.1633E+01  1.0837E+01  7.6375E-04  9.5234E-03 -3.8990E-04  1.4592E-04  4.9762E-05
  4.2346E+02  1.3549E+01  1.3557E+01  1.3194E+01  1.2848E+01  1.2051E+01  7.9130E-04  9.6318E-03 -3.8988E-04  1.4861E-04  5.1404E-05
  4.6570E+02  1.4818E+01  1.4827E+01  1.4464E+01  1.4117E+01  1.3319E+01  8.1878E-04  9.7386E-03 -3.8992E-04  1.5118E-04  5.2953E-05
  5.0790E+02  1.6096E+01  1.6104E+01  1.5743E+01  1.5395E+01  1.4595E+01  8.4526E-04  9.8404E-03 -3.9000E-04  1.5355E-04  5.4370E-05
  5.4971E+02  1.7371E+01  1.7380E+01  1.7019E+01  1.6670E+01  1.5869E+01  8.7066E-04  9.9369E-03 -3.9012E-04  1.5575E-04  5.5661E-05
  5.9375E+02  1.8724E+01  1.8733E+01  1.8373E+01  1.8022E+01  1.7221E+01  8.9662E-04  1.0034E-02 -3.9028E-04  1.5791E-04  5.6920E-05
  6.3908E+02  2.0127E+01  2.0136E+01  1.9777E+01  1.9425E+01  1.8622E+01  9.2260E-04  1.0131E-02 -3.9048E-04  1.5999E-04  5.8120E-05
  6.8406E+02  2.1530E+01  2.1539E+01  2.1181E+01  2.0828E+01  2.0024E+01  9.4770E-04  1.0223E-02 -3.9069E-04  1.6193E-04  5.9229E-05
  7.2833E+02  2.2920E+01  2.2929E+01  2.2572E+01  2.2217E+01  2.1413E+01  9.7183E-04  1.0311E-02 -3.9092E-04  1.6374E-04  6.0251E-05
  7.7465E+02  2.4384E+01  2.4394E+01  2.4037E+01  2.3682E+01  2.2877E+01  9.9654E-04  1.0400E-02 -3.9118E-04  1.6553E-04  6.1255E-05
  8.2202E+02  2.5892E+01  2.5902E+01  2.5546E+01  2.5189E+01  2.4384E+01  1.0213E-03  1.0489E-02 -3.9145E-04  1.6727E-04  6.2222E-05
  8.6883E+02  2.7393E+01  2.7403E+01  2.7047E+01  2.6690E+01  2.5884E+01  1.0453E-03  1.0574E-02 -3.9174E-04  1.6891E-04  6.3123E-05
  9.1471E+02  2.8874E+01  2.8883E+01  2.8528E+01  2.8171E+01  2.7364E+01  1.0683E-03  1.0654E-02 -3.9203E-04  1.7044E-04  6.3958E-05
  9.6246E+02  3.0424E+01  3.0434E+01  3.0080E+01  2.9721E+01  2.8914E+01  1.0920E-03  1.0737E-02 -3.9234E-04  1.7197E-04  6.4786E-05
  1.0113E+03  3.2021E+01  3.2031E+01  3.1677E+01  3.1318E+01  3.0510E+01  1.1158E-03  1.0819E-02 -3.9267E-04  1.7346E-04  6.5587E-05
  1.0592E+03  3.3597E+01  3.3606E+01  3.3254E+01  3.2893E+01  3.2085E+01  1.1388E-03  1.0897E-02 -3.9299E-04  1.7487E-04  6.6339E-05
  1.1061E+03  3.5151E+01  3.5161E+01  3.4809E+01  3.4448E+01  3.3639E+01  1.1610E-03  1.0973E-02 -3.9331E-04  1.7619E-04  6.7039E-05
  1.1548E+03  3.6773E+01  3.6783E+01  3.6431E+01  3.6069E+01  3.5260E+01  1.1837E-03  1.1050E-02 -3.9365E-04  1.7752E-04  6.7738E-05
 -1.7827E+01  5.7408E-01  5.8129E-01  2.0043E-01  0.0000E+00  0.0000E+00  2.7010E-05  7.2441E-03 -5.5047E-04  0.0000E+00  0.0000E+00
 -1.9770E+01  5.3136E-01  5.3875E-01  1.6083E-01  0.0000E+00  0.0000E+00  8.2827E-05  7.4798E-03 -5.3200E-04  0.0000E+00  0.0000E+00
 -2.0962E+01  5.1072E-01  5.1823E-01  1.4241E-01  0.0000E+00  0.0000E+00  1.2402E-04  7.6534E-03 -5.1975E-04  0.0000E+00  0.0000E+00
