 # Mon Nov 10 20:41:57 2008
 # MSTW 2008 NNLO PDF grid for eigenvector   15.
 # distance(t),tolerance(T) =   3.63609167  7.03370675
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -4.0385E+00  7.2334E-01  7.2802E-01  2.8402E-01  0.0000E+00  0.0000E+00 -1.3328E-07  4.6806E-03 -5.5102E-04  0.0000E+00  0.0000E+00
 -5.2566E+00  7.8025E-01  7.8504E-01  3.4457E-01  0.0000E+00  0.0000E+00  2.1234E-05  4.8223E-03 -5.4568E-04  0.0000E+00  0.0000E+00
 -5.9669E+00  8.3396E-01  8.3884E-01  4.0088E-01  0.0000E+00  0.0000E+00  3.6891E-05  4.9268E-03 -5.4226E-04  0.0000E+00  0.0000E+00
 -6.4319E+00  9.2644E-01  9.3143E-01  4.9672E-01  0.0000E+00  0.0000E+00  5.7585E-05  5.0652E-03 -5.3838E-04  0.0000E+00  0.0000E+00
 -6.0215E+00  9.2614E-01  9.3113E-01  4.9659E-01 -2.2512E-01  0.0000E+00  5.8190E-05  5.0718E-03 -5.3875E-04  2.3385E-11  0.0000E+00
 -5.9661E+00  1.0341E+00  1.0392E+00  6.0713E-01 -1.0768E-01  0.0000E+00  7.5420E-05  5.1831E-03 -5.3576E-04  9.1377E-06  0.0000E+00
 -5.1393E+00  1.1566E+00  1.1618E+00  7.3207E-01  1.9890E-02  0.0000E+00  9.1721E-05  5.2892E-03 -5.3342E-04  1.6920E-05  0.0000E+00
 -3.7456E+00  1.2801E+00  1.2854E+00  8.5759E-01  1.4760E-01  0.0000E+00  1.0552E-04  5.3790E-03 -5.3174E-04  2.3180E-05  0.0000E+00
 -1.7128E+00  1.4164E+00  1.4217E+00  9.9569E-01  2.8777E-01  0.0000E+00  1.1855E-04  5.4639E-03 -5.3039E-04  2.8826E-05  0.0000E+00
  1.2994E+00  1.5825E+00  1.5879E+00  1.1637E+00  4.5790E-01  0.0000E+00  1.3220E-04  5.5527E-03 -5.2923E-04  3.4466E-05  0.0000E+00
