 # Mon Nov 10 18:58:09 2008
 # MSTW 2008 NLO PDF grid for eigenvector   19.
 # distance(t),tolerance(T) =   3.77260348  7.07912381
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -5.2883E+01  1.3148E+00  1.3199E+00  4.4693E-01  0.0000E+00  0.0000E+00  9.7039E-06  5.0488E-03 -7.4500E-04
 -5.4319E+01  1.0199E+00  1.0251E+00  1.6309E-01  0.0000E+00  0.0000E+00  1.7971E-05  5.1847E-03 -7.5707E-04
 -5.5009E+01  8.2353E-01  8.2878E-01 -2.5269E-02  0.0000E+00  0.0000E+00  2.4744E-05  5.2864E-03 -7.6599E-04
 -5.5125E+01  5.9757E-01  6.0295E-01 -2.4077E-01  0.0000E+00  0.0000E+00  3.4652E-05  5.4233E-03 -7.7785E-04
 -5.5125E+01  5.9757E-01  6.0294E-01 -2.4077E-01 -4.4344E-07  0.0000E+00  3.4652E-05  5.4233E-03 -7.7785E-04
 -5.4015E+01  4.4822E-01  4.5370E-01 -3.8178E-01 -1.6235E-01  0.0000E+00  4.3761E-05  5.5367E-03 -7.8752E-04
 -5.2077E+01  3.4429E-01  3.4986E-01 -4.7802E-01 -2.7080E-01  0.0000E+00  5.2982E-05  5.6445E-03 -7.9659E-04
 -4.9588E+01  2.8809E-01  2.9375E-01 -5.2782E-01 -3.3064E-01  0.0000E+00  6.1285E-05  5.7363E-03 -8.0426E-04
 -4.6383E+01  2.6516E-01  2.7090E-01 -5.4480E-01 -3.5683E-01  0.0000E+00  6.9545E-05  5.8236E-03 -8.1147E-04
 -4.1996E+01  2.7611E-01  2.8193E-01 -5.2774E-01 -3.4914E-01  0.0000E+00  7.8624E-05  5.9155E-03 -8.1898E-04
 -3.7282E+01  3.1646E-01  3.2235E-01 -4.8223E-01 -3.1146E-01  0.0000E+00  8.6769E-05  5.9946E-03 -8.2541E-04
 -3.1832E+01  3.8511E-01  3.9106E-01 -4.0873E-01 -2.4525E-01  0.0000E+00  9.4861E-05  6.0705E-03 -8.3152E-04
 -2.6862E+01  4.6052E-01  4.6652E-01 -3.2955E-01 -1.7168E-01  0.0000E+00  1.0143E-04  6.1303E-03 -8.3630E-04
 -6.1807E+00  8.4729E-01  8.5346E-01  6.9048E-02  2.0957E-01  0.0000E+00  1.2384E-04  6.3240E-03 -8.5159E-04
 -6.1807E+00  8.4729E-01  8.5346E-01  6.9048E-02  2.0957E-01  3.8083E-08  1.2384E-04  6.3240E-03 -8.5159E-04
 -9.9982E-01  9.5977E-01  9.6598E-01  1.8394E-01  3.2099E-01  1.1696E-01  1.2885E-04  6.3647E-03 -8.5476E-04
  1.6219E+01  1.3516E+00  1.3579E+00  5.8267E-01  7.0980E-01  4.8316E-01  1.4396E-04  6.4841E-03 -8.6398E-04
  3.7499E+01  1.8643E+00  1.8707E+00  1.1024E+00  1.2197E+00  9.7209E-01  1.6033E-04  6.6078E-03 -8.7341E-04
  6.0022E+01  2.4290E+00  2.4355E+00  1.6733E+00  1.7820E+00  1.5164E+00  1.7575E-04  6.7197E-03 -8.8184E-04
  8.6057E+01  3.1009E+00  3.1075E+00  2.3512E+00  2.4517E+00  2.1687E+00  1.9186E-04  6.8322E-03 -8.9022E-04
  1.1032E+02  3.7406E+00  3.7473E+00  2.9958E+00  3.0896E+00  2.7928E+00  2.0564E-04  6.9253E-03 -8.9709E-04
  1.4322E+02  4.6236E+00  4.6304E+00  3.8846E+00  3.9707E+00  3.6579E+00  2.2287E-04  7.0379E-03 -9.0531E-04
  1.7558E+02  5.5060E+00  5.5128E+00  4.7719E+00  4.8515E+00  4.5251E+00  2.3857E-04  7.1374E-03 -9.1249E-04
  2.0806E+02  6.4026E+00  6.4095E+00  5.6730E+00  5.7467E+00  5.4083E+00  2.5336E-04  7.2285E-03 -9.1901E-04
  2.5336E+02  7.6691E+00  7.6761E+00  6.9451E+00  7.0116E+00  6.6586E+00  2.7266E-04  7.3440E-03 -9.2719E-04
  3.0021E+02  8.9951E+00  9.0022E+00  8.2762E+00  8.3362E+00  7.9701E+00  2.9136E-04  7.4526E-03 -9.3478E-04
  3.4801E+02  1.0363E+01  1.0370E+01  9.6488E+00  9.7030E+00  9.3250E+00  3.0937E-04  7.5542E-03 -9.4182E-04
  3.9969E+02  1.1856E+01  1.1864E+01  1.1147E+01  1.1195E+01  1.0806E+01  3.2786E-04  7.6558E-03 -9.4879E-04
  4.5409E+02  1.3444E+01  1.3451E+01  1.2739E+01  1.2782E+01  1.2382E+01  3.4641E-04  7.7553E-03 -9.5555E-04
  5.0932E+02  1.5070E+01  1.5078E+01  1.4369E+01  1.4407E+01  1.3997E+01  3.6441E-04  7.8496E-03 -9.6188E-04
  5.6454E+02  1.6710E+01  1.6717E+01  1.6012E+01  1.6046E+01  1.5627E+01  3.8175E-04  7.9385E-03 -9.6780E-04
  6.2349E+02  1.8474E+01  1.8482E+01  1.7781E+01  1.7810E+01  1.7382E+01  3.9958E-04  8.0280E-03 -9.7371E-04
  6.8467E+02  2.0320E+01  2.0328E+01  1.9630E+01  1.9655E+01  1.9219E+01  4.1749E-04  8.1161E-03 -9.7947E-04
  7.4588E+02  2.2182E+01  2.2189E+01  2.1495E+01  2.1516E+01  2.1072E+01  4.3487E-04  8.2001E-03 -9.8492E-04
  8.0663E+02  2.4042E+01  2.4050E+01  2.3359E+01  2.3376E+01  2.2925E+01  4.5163E-04  8.2796E-03 -9.9003E-04
  8.7072E+02  2.6019E+01  2.6026E+01  2.5338E+01  2.5352E+01  2.4894E+01  4.6887E-04  8.3600E-03 -9.9516E-04
