 # Mon Nov 10 18:57:04 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -2.
 # distance(t),tolerance(T) =   7.19544  7.25755217
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.8046E+01  7.0993E-01  7.1509E-01  2.6599E-01  0.0000E+00  0.0000E+00  1.2971E-07  5.1638E-03 -5.8836E-04  0.0000E+00  0.0000E+00
 -3.2019E+01  5.5654E-01  5.6183E-01  1.1628E-01  0.0000E+00  0.0000E+00  2.1915E-05  5.3126E-03 -5.8345E-04  0.0000E+00  0.0000E+00
 -3.4956E+01  4.5274E-01  4.5811E-01  1.5102E-02  0.0000E+00  0.0000E+00  3.7873E-05  5.4223E-03 -5.8036E-04  0.0000E+00  0.0000E+00
 -3.8577E+01  3.3227E-01  3.3776E-01 -1.0199E-01  0.0000E+00  0.0000E+00  5.8958E-05  5.5675E-03 -5.7693E-04  0.0000E+00  0.0000E+00
 -3.8630E+01  3.3278E-01  3.3828E-01 -1.0130E-01 -2.1604E-01  0.0000E+00  5.9573E-05  5.5744E-03 -5.7734E-04  2.3656E-11  0.0000E+00
 -4.0891E+01  2.5989E-01  2.6548E-01 -1.7157E-01 -2.9967E-01  0.0000E+00  7.7122E-05  5.6911E-03 -5.7472E-04  9.2404E-06  0.0000E+00
 -4.2462E+01  2.1157E-01  2.1725E-01 -2.1745E-01 -3.5383E-01  0.0000E+00  9.3723E-05  5.8021E-03 -5.7274E-04  1.7103E-05  0.0000E+00
 -4.3190E+01  1.8967E-01  1.9543E-01 -2.3732E-01 -3.8051E-01  0.0000E+00  1.0777E-04  5.8962E-03 -5.7138E-04  2.3424E-05  0.0000E+00
 -4.3231E+01  1.8790E-01  1.9373E-01 -2.3722E-01 -3.8667E-01  0.0000E+00  1.2105E-04  5.9850E-03 -5.7034E-04  2.9121E-05  0.0000E+00
 -4.2453E+01  2.0881E-01  2.1472E-01 -2.1438E-01 -3.7022E-01  0.0000E+00  1.3495E-04  6.0779E-03 -5.6949E-04  3.4808E-05  0.0000E+00
 -4.1006E+01  2.4762E-01  2.5359E-01 -1.7394E-01 -3.3514E-01  0.0000E+00  1.4690E-04  6.1577E-03 -5.6896E-04  3.9477E-05  0.0000E+00
 -3.8825E+01  3.0555E-01  3.1158E-01 -1.1448E-01 -2.8066E-01  0.0000E+00  1.5834E-04  6.2339E-03 -5.6861E-04  4.3755E-05  0.0000E+00
 -3.6518E+01  3.6629E-01  3.7237E-01 -5.2550E-02 -2.2258E-01  0.0000E+00  1.6735E-04  6.2937E-03 -5.6844E-04  4.7000E-05  0.0000E+00
 -2.4980E+01  6.6727E-01  6.7351E-01  2.5217E-01  7.0228E-02  0.0000E+00  1.9657E-04  6.4862E-03 -5.6844E-04  5.6802E-05  0.0000E+00
 -2.3931E+01  6.6794E-01  6.7418E-01  2.5290E-01  7.0733E-02 -4.2133E-01  1.9698E-04  6.4893E-03 -5.6856E-04  5.6839E-05  5.6111E-13
 -2.0915E+01  7.5715E-01  7.6342E-01  3.4286E-01  1.5836E-01 -3.2739E-01  2.0313E-04  6.5287E-03 -5.6861E-04  5.8775E-05  1.6766E-06
 -9.6155E+00  1.0665E+00  1.0728E+00  6.5436E-01  4.6307E-01 -3.5081E-02  2.2149E-04  6.6462E-03 -5.6898E-04  6.4275E-05  5.7631E-06
  5.2598E+00  1.4704E+00  1.4769E+00  1.0605E+00  8.6246E-01  3.5312E-01  2.4067E-04  6.7674E-03 -5.6960E-04  6.9658E-05  9.7166E-06
  2.1788E+01  1.9169E+00  1.9234E+00  1.5089E+00  1.3050E+00  7.8594E-01  2.5818E-04  6.8767E-03 -5.7036E-04  7.4271E-05  1.3047E-05
  4.1611E+01  2.4510E+00  2.4577E+00  2.0450E+00  1.8353E+00  1.3070E+00  2.7598E-04  6.9864E-03 -5.7128E-04  7.8689E-05  1.6183E-05
  6.0605E+01  2.9627E+00  2.9694E+00  2.5582E+00  2.3440E+00  1.8082E+00  2.9087E-04  7.0771E-03 -5.7216E-04  8.2190E-05  1.8630E-05
  8.6973E+01  3.6740E+00  3.6808E+00  3.2714E+00  3.0518E+00  2.5074E+00  3.0909E-04  7.1866E-03 -5.7335E-04  8.6247E-05  2.1421E-05
  1.1344E+02  4.3901E+00  4.3970E+00  3.9891E+00  3.7649E+00  3.2131E+00  3.2537E-04  7.2831E-03 -5.7450E-04  8.9681E-05  2.3746E-05
  1.4043E+02  5.1226E+00  5.1295E+00  4.7230E+00  4.4947E+00  3.9364E+00  3.4046E-04  7.3714E-03 -5.7564E-04  9.2712E-05  2.5767E-05
  1.7865E+02  6.1649E+00  6.1720E+00  5.7671E+00  5.5339E+00  4.9677E+00  3.5984E-04  7.4832E-03 -5.7717E-04  9.6405E-05  2.8190E-05
  2.1874E+02  7.2648E+00  7.2719E+00  6.8687E+00  6.6309E+00  6.0575E+00  3.7831E-04  7.5881E-03 -5.7870E-04  9.9736E-05  3.0338E-05
  2.6012E+02  8.4076E+00  8.4148E+00  8.0130E+00  7.7711E+00  7.1913E+00  3.9587E-04  7.6863E-03 -5.8021E-04  1.0274E-04  3.2245E-05
  3.0529E+02  9.6635E+00  9.6708E+00  9.2704E+00  9.0245E+00  8.4386E+00  4.1366E-04  7.7843E-03 -5.8177E-04  1.0565E-04  3.4058E-05
  3.5327E+02  1.1007E+01  1.1014E+01  1.0615E+01  1.0366E+01  9.7739E+00  4.3133E-04  7.8802E-03 -5.8335E-04  1.0840E-04  3.5750E-05
  4.0236E+02  1.2392E+01  1.2399E+01  1.2002E+01  1.1748E+01  1.1151E+01  4.4831E-04  7.9710E-03 -5.8489E-04  1.1092E-04  3.7279E-05
  4.5174E+02  1.3795E+01  1.3803E+01  1.3406E+01  1.3150E+01  1.2548E+01  4.6452E-04  8.0565E-03 -5.8638E-04  1.1324E-04  3.8664E-05
  5.0478E+02  1.5314E+01  1.5321E+01  1.4926E+01  1.4666E+01  1.4060E+01  4.8106E-04  8.1426E-03 -5.8791E-04  1.1551E-04  4.0001E-05
  5.6011E+02  1.6910E+01  1.6917E+01  1.6523E+01  1.6261E+01  1.5649E+01  4.9755E-04  8.2273E-03 -5.8944E-04  1.1768E-04  4.1269E-05
  6.1574E+02  1.8526E+01  1.8534E+01  1.8140E+01  1.7875E+01  1.7260E+01  5.1346E-04  8.3079E-03 -5.9092E-04  1.1971E-04  4.2433E-05
  6.7118E+02  2.0149E+01  2.0156E+01  1.9764E+01  1.9496E+01  1.8877E+01  5.2872E-04  8.3843E-03 -5.9234E-04  1.2158E-04  4.3499E-05
  7.2989E+02  2.1879E+01  2.1887E+01  2.1495E+01  2.1225E+01  2.0602E+01  5.4432E-04  8.4615E-03 -5.9379E-04  1.2344E-04  4.4542E-05
  7.9063E+02  2.3683E+01  2.3691E+01  2.3300E+01  2.3028E+01  2.2401E+01  5.5994E-04  8.5378E-03 -5.9524E-04  1.2523E-04  4.5542E-05
  8.5122E+02  2.5495E+01  2.5503E+01  2.5113E+01  2.4838E+01  2.4209E+01  5.7504E-04  8.6108E-03 -5.9664E-04  1.2692E-04  4.6469E-05
  9.1112E+02  2.7299E+01  2.7307E+01  2.6918E+01  2.6641E+01  2.6008E+01  5.8956E-04  8.6802E-03 -5.9798E-04  1.2849E-04  4.7327E-05
  9.7407E+02  2.9207E+01  2.9215E+01  2.8828E+01  2.8548E+01  2.7912E+01  6.0444E-04  8.7505E-03 -5.9935E-04  1.3006E-04  4.8174E-05
  1.0387E+03  3.1181E+01  3.1189E+01  3.0802E+01  3.0521E+01  2.9882E+01  6.1935E-04  8.8202E-03 -6.0071E-04  1.3158E-04  4.8992E-05
  1.1029E+03  3.3153E+01  3.3161E+01  3.2775E+01  3.2492E+01  3.1850E+01  6.3381E-04  8.8871E-03 -6.0203E-04  1.3302E-04  4.9757E-05
  1.1660E+03  3.5106E+01  3.5114E+01  3.4728E+01  3.4444E+01  3.3799E+01  6.4773E-04  8.9509E-03 -6.0328E-04  1.3438E-04  5.0469E-05
