 # Mon Nov 10 17:20:22 2008
 # MSTW 2008 NLO PDF grid for eigenvector   1.
 # distance(t),tolerance(T) =   7.55875  7.8581873
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -2.8937E+01  1.3101E+00  1.3147E+00  4.6872E-01  0.0000E+00  0.0000E+00  7.5204E-06  4.6177E-03 -7.3195E-04
 -3.0645E+01  1.1032E+00  1.1079E+00  2.7259E-01  0.0000E+00  0.0000E+00  1.5352E-05  4.7444E-03 -7.4380E-04
 -3.1670E+01  9.6471E-01  9.6953E-01  1.4186E-01  0.0000E+00  0.0000E+00  2.1783E-05  4.8395E-03 -7.5257E-04
 -3.2439E+01  8.0599E-01  8.1092E-01 -6.7223E-03  0.0000E+00  0.0000E+00  3.1212E-05  4.9674E-03 -7.6422E-04
 -3.2439E+01  8.0599E-01  8.1092E-01 -6.7225E-03 -2.9345E-07  0.0000E+00  3.1212E-05  4.9674E-03 -7.6422E-04
 -3.2144E+01  7.0345E-01  7.0848E-01 -1.0119E-01 -1.0577E-01  0.0000E+00  3.9904E-05  5.0736E-03 -7.7371E-04
 -3.1103E+01  6.3602E-01  6.4113E-01 -1.6116E-01 -1.7126E-01  0.0000E+00  4.8717E-05  5.1745E-03 -7.8263E-04
 -2.9478E+01  6.0494E-01  6.1013E-01 -1.8604E-01 -2.0066E-01  0.0000E+00  5.6661E-05  5.2607E-03 -7.9015E-04
 -2.7179E+01  6.0085E-01  6.0611E-01 -1.8438E-01 -2.0316E-01  0.0000E+00  6.4571E-05  5.3425E-03 -7.9724E-04
 -2.3835E+01  6.2637E-01  6.3170E-01 -1.5294E-01 -1.7595E-01  0.0000E+00  7.3275E-05  5.4287E-03 -8.0462E-04
 -2.0093E+01  6.7509E-01  6.8049E-01 -9.9210E-02 -1.2576E-01  0.0000E+00  8.1089E-05  5.5030E-03 -8.1093E-04
 -1.5640E+01  7.4806E-01  7.5352E-01 -2.1533E-02 -5.1381E-02  0.0000E+00  8.8858E-05  5.5744E-03 -8.1694E-04
 -1.1498E+01  8.2443E-01  8.2994E-01  5.8485E-02  2.6099E-02  0.0000E+00  9.5164E-05  5.6306E-03 -8.2163E-04
  6.2466E+00  1.1998E+00  1.2054E+00  4.4529E-01  4.0505E-01  0.0000E+00  1.1672E-04  5.8127E-03 -8.3665E-04
  6.2466E+00  1.1998E+00  1.2054E+00  4.4529E-01  4.0505E-01  3.8244E-08  1.1672E-04  5.8127E-03 -8.3665E-04
  1.0757E+01  1.3071E+00  1.3128E+00  5.5490E-01  5.1309E-01  1.1722E-01  1.2154E-04  5.8511E-03 -8.3976E-04
  2.5937E+01  1.6783E+00  1.6841E+00  9.3291E-01  8.8660E-01  4.7806E-01  1.3610E-04  5.9636E-03 -8.4882E-04
  4.4994E+01  2.1616E+00  2.1675E+00  1.4229E+00  1.3722E+00  9.5249E-01  1.5188E-04  6.0802E-03 -8.5809E-04
  6.5415E+01  2.6927E+00  2.6987E+00  1.9601E+00  1.9054E+00  1.4761E+00  1.6676E-04  6.1858E-03 -8.6637E-04
  8.9254E+01  3.3245E+00  3.3306E+00  2.5977E+00  2.5393E+00  2.1008E+00  1.8231E-04  6.2920E-03 -8.7460E-04
  1.1164E+02  3.9263E+00  3.9324E+00  3.2042E+00  3.1428E+00  2.6969E+00  1.9562E-04  6.3799E-03 -8.8134E-04
  1.4221E+02  4.7579E+00  4.7642E+00  4.0414E+00  3.9765E+00  3.5222E+00  2.1227E-04  6.4865E-03 -8.8942E-04
  1.7246E+02  5.5902E+00  5.5965E+00  4.8786E+00  4.8106E+00  4.3491E+00  2.2746E-04  6.5806E-03 -8.9648E-04
  2.0296E+02  6.4372E+00  6.4436E+00  5.7299E+00  5.6593E+00  5.1914E+00  2.4176E-04  6.6668E-03 -9.0288E-04
  2.4571E+02  7.6358E+00  7.6423E+00  6.9339E+00  6.8600E+00  6.3844E+00  2.6044E-04  6.7762E-03 -9.1091E-04
  2.9013E+02  8.8932E+00  8.8998E+00  8.1962E+00  8.1194E+00  7.6369E+00  2.7855E-04  6.8791E-03 -9.1837E-04
  3.3562E+02  1.0193E+01  1.0200E+01  9.5004E+00  9.4210E+00  8.9322E+00  2.9601E-04  6.9755E-03 -9.2528E-04
  3.8495E+02  1.1614E+01  1.1621E+01  1.0926E+01  1.0844E+01  1.0349E+01  3.1392E-04  7.0719E-03 -9.3213E-04
