 # Mon Nov 10 16:54:18 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -1.
 # distance(t),tolerance(T) =   3.76623  3.75685854
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -1.2960E+00  1.3097E+00  1.3143E+00  4.6687E-01  0.0000E+00  0.0000E+00  7.5501E-06  4.6545E-03 -7.3207E-04
 -7.1696E-01  1.3031E+00  1.3078E+00  4.7103E-01  0.0000E+00  0.0000E+00  1.5390E-05  4.7818E-03 -7.4392E-04
  1.1366E-01  1.3158E+00  1.3207E+00  4.9156E-01  0.0000E+00  0.0000E+00  2.1828E-05  4.8773E-03 -7.5269E-04
  1.9923E+00  1.3630E+00  1.3680E+00  5.4888E-01  0.0000E+00  0.0000E+00  3.1267E-05  5.0058E-03 -7.6434E-04
  1.9923E+00  1.3630E+00  1.3680E+00  5.4888E-01  1.8710E-07  0.0000E+00  3.1267E-05  5.0058E-03 -7.6434E-04
  4.2978E+00  1.4342E+00  1.4393E+00  6.2819E-01  8.7215E-02  0.0000E+00  3.9967E-05  5.1124E-03 -7.7384E-04
  7.3823E+00  1.5323E+00  1.5375E+00  7.3377E-01  1.9740E-01  0.0000E+00  4.8788E-05  5.2138E-03 -7.8276E-04
  1.0843E+01  1.6430E+00  1.6482E+00  8.5067E-01  3.1813E-01  0.0000E+00  5.6740E-05  5.3003E-03 -7.9029E-04
  1.4961E+01  1.7742E+00  1.7795E+00  9.8766E-01  4.5867E-01  0.0000E+00  6.4658E-05  5.3825E-03 -7.9737E-04
  2.0296E+01  1.9429E+00  1.9483E+00  1.1622E+00  6.3690E-01  0.0000E+00  7.3369E-05  5.4690E-03 -8.0475E-04
  2.5815E+01  2.1157E+00  2.1212E+00  1.3401E+00  8.1783E-01  0.0000E+00  8.1190E-05  5.5437E-03 -8.1107E-04
  3.2023E+01  2.3084E+00  2.3139E+00  1.5375E+00  1.0181E+00  0.0000E+00  8.8966E-05  5.6153E-03 -8.1707E-04
  3.7581E+01  2.4796E+00  2.4851E+00  1.7123E+00  1.1952E+00  0.0000E+00  9.5277E-05  5.6717E-03 -8.2177E-04
  6.0053E+01  3.1653E+00  3.1710E+00  2.4095E+00  1.8994E+00  0.0000E+00  1.1685E-04  5.8546E-03 -8.3679E-04
  6.0053E+01  3.1653E+00  3.1710E+00  2.4095E+00  1.8994E+00  6.8233E-08  1.1685E-04  5.8546E-03 -8.3679E-04
  6.5439E+01  3.3389E+00  3.3447E+00  2.5855E+00  2.0768E+00  2.0737E-01  1.2167E-04  5.8931E-03 -8.3990E-04
  8.3286E+01  3.9051E+00  3.9110E+00  3.1584E+00  2.6538E+00  7.9876E-01  1.3625E-04  6.0061E-03 -8.4896E-04
  1.0519E+02  4.5907E+00  4.5966E+00  3.8508E+00  3.3503E+00  1.5122E+00  1.5204E-04  6.1232E-03 -8.5823E-04
  1.2825E+02  5.3051E+00  5.3112E+00  4.5712E+00  4.0744E+00  2.2512E+00  1.6693E-04  6.2291E-03 -8.6651E-04
  1.5481E+02  6.1218E+00  6.1279E+00  5.3937E+00  4.9005E+00  3.0920E+00  1.8249E-04  6.3357E-03 -8.7474E-04
  1.7948E+02  6.8770E+00  6.8832E+00  6.1537E+00  5.6634E+00  3.8667E+00  1.9582E-04  6.4240E-03 -8.8149E-04
  2.1285E+02  7.8949E+00  7.9012E+00  7.1772E+00  6.6903E+00  4.9076E+00  2.1248E-04  6.5309E-03 -8.8957E-04
  2.4561E+02  8.8921E+00  8.8985E+00  8.1793E+00  7.6953E+00  5.9248E+00  2.2768E-04  6.6253E-03 -8.9662E-04
  2.7842E+02  9.8905E+00  9.8969E+00  9.1820E+00  8.7006E+00  6.9410E+00  2.4199E-04  6.7119E-03 -9.0303E-04
  3.2413E+02  1.1281E+01  1.1288E+01  1.0578E+01  1.0100E+01  8.3541E+00  2.6069E-04  6.8216E-03 -9.1106E-04
  3.7134E+02  1.2720E+01  1.2727E+01  1.2022E+01  1.1547E+01  9.8130E+00  2.7882E-04  6.9249E-03 -9.1852E-04
  4.1946E+02  1.4190E+01  1.4196E+01  1.3496E+01  1.3024E+01  1.1301E+01  2.9628E-04  7.0216E-03 -9.2544E-04
  4.7143E+02  1.5781E+01  1.5788E+01  1.5092E+01  1.4623E+01  1.2911E+01  3.1421E-04  7.1184E-03 -9.3228E-04
  5.2610E+02  1.7462E+01  1.7469E+01  1.6777E+01  1.6310E+01  1.4609E+01  3.3221E-04  7.2132E-03 -9.3892E-04
  5.8156E+02  1.9174E+01  1.9180E+01  1.8493E+01  1.8028E+01  1.6337E+01  3.4970E-04  7.3030E-03 -9.4514E-04
  6.3698E+02  2.0891E+01  2.0898E+01  2.0213E+01  1.9751E+01  1.8070E+01  3.6654E-04  7.3878E-03 -9.5096E-04
  6.9612E+02  2.2732E+01  2.2739E+01  2.2058E+01  2.1598E+01  1.9925E+01  3.8386E-04  7.4732E-03 -9.5676E-04
  7.5747E+02  2.4650E+01  2.4658E+01  2.3980E+01  2.3522E+01  2.1859E+01  4.0126E-04  7.5573E-03 -9.6242E-04
  8.1884E+02  2.6579E+01  2.6586E+01  2.5912E+01  2.5456E+01  2.3801E+01  4.1816E-04  7.6375E-03 -9.6777E-04
  8.7972E+02  2.8501E+01  2.8509E+01  2.7838E+01  2.7383E+01  2.5736E+01  4.3446E-04  7.7135E-03 -9.7279E-04
  9.4393E+02  3.0539E+01  3.0546E+01  2.9878E+01  2.9426E+01  2.7786E+01  4.5123E-04  7.7903E-03 -9.7783E-04
  1.0101E+03  3.2650E+01  3.2658E+01  3.1992E+01  3.1542E+01  2.9909E+01  4.6809E-04  7.8664E-03 -9.8278E-04
  1.0759E+03  3.4760E+01  3.4767E+01  3.4105E+01  3.3656E+01  3.2030E+01  4.8448E-04  7.9392E-03 -9.8747E-04
  1.1407E+03  3.6849E+01  3.6856E+01  3.6197E+01  3.5749E+01  3.4131E+01  5.0030E-04  8.0084E-03 -9.9190E-04
  1.2087E+03  3.9049E+01  3.9057E+01  3.8400E+01  3.7954E+01  3.6342E+01  5.1658E-04  8.0786E-03 -9.9635E-04
  1.2783E+03  4.1315E+01  4.1322E+01  4.0668E+01  4.0223E+01  3.8618E+01  5.3295E-04  8.1484E-03 -1.0007E-03
  1.3472E+03  4.3569E+01  4.3577E+01  4.2925E+01  4.2482E+01  4.0883E+01  5.4888E-04  8.2152E-03 -1.0049E-03
  1.4148E+03  4.5793E+01  4.5801E+01  4.5151E+01  4.4709E+01  4.3116E+01  5.6427E-04  8.2791E-03 -1.0089E-03
  1.4853E+03  4.8123E+01  4.8130E+01  4.7483E+01  4.7043E+01  4.5455E+01  5.8009E-04  8.3440E-03 -1.0129E-03
  1.5575E+03  5.0522E+01  5.0529E+01  4.9884E+01  4.9445E+01  4.7863E+01  5.9605E-04  8.4086E-03 -1.0168E-03
  1.6284E+03  5.2889E+01  5.2897E+01  5.2254E+01  5.1816E+01  5.0240E+01  6.1154E-04  8.4706E-03 -1.0206E-03
  1.6981E+03  5.5226E+01  5.5234E+01  5.4592E+01  5.4156E+01  5.2585E+01  6.2654E-04  8.5300E-03 -1.0242E-03
  1.7704E+03  5.7664E+01  5.7672E+01  5.7033E+01  5.6598E+01  5.5031E+01  6.4196E-04  8.5905E-03 -1.0278E-03
 -1.7741E+00  1.1273E+00  1.1330E+00  4.0177E-01  0.0000E+00  0.0000E+00  2.3817E-05  5.7086E-03 -8.4105E-04
 -1.2354E+00  1.1221E+00  1.1280E+00  4.0585E-01  0.0000E+00  0.0000E+00  3.9484E-05  5.8692E-03 -8.5455E-04
 -4.5823E-01  1.1345E+00  1.1404E+00  4.2492E-01  0.0000E+00  0.0000E+00  5.2199E-05  5.9898E-03 -8.6453E-04
  1.2819E+00  1.1780E+00  1.1841E+00  4.7726E-01  0.0000E+00  0.0000E+00  7.0642E-05  6.1523E-03 -8.7776E-04
  1.2819E+00  1.1780E+00  1.1841E+00  4.7726E-01  1.6842E-07  0.0000E+00  7.0642E-05  6.1523E-03 -8.7776E-04
  3.3894E+00  1.2424E+00  1.2486E+00  5.4866E-01  7.8199E-02  0.0000E+00  8.7394E-05  6.2874E-03 -8.8852E-04
  6.1707E+00  1.3300E+00  1.3363E+00  6.4269E-01  1.7607E-01  0.0000E+00  1.0425E-04  6.4159E-03 -8.9861E-04
  9.2539E+00  1.4278E+00  1.4342E+00  7.4584E-01  2.8240E-01  0.0000E+00  1.1935E-04  6.5257E-03 -9.0712E-04
  1.2884E+01  1.5427E+00  1.5492E+00  8.6573E-01  4.0526E-01  0.0000E+00  1.3431E-04  6.6302E-03 -9.1512E-04
  1.7540E+01  1.6892E+00  1.6957E+00  1.0173E+00  5.5991E-01  0.0000E+00  1.5068E-04  6.7403E-03 -9.2344E-04
  2.2311E+01  1.8382E+00  1.8449E+00  1.1707E+00  7.1584E-01  0.0000E+00  1.6532E-04  6.8353E-03 -9.3055E-04
  2.7634E+01  2.0033E+00  2.0100E+00  1.3398E+00  8.8737E-01  0.0000E+00  1.7981E-04  6.9265E-03 -9.3730E-04
  3.2367E+01  2.1491E+00  2.1559E+00  1.4888E+00  1.0382E+00  0.0000E+00  1.9154E-04  6.9985E-03 -9.4258E-04
  5.1258E+01  2.7274E+00  2.7344E+00  2.0771E+00  1.6324E+00  0.0000E+00  2.3139E-04  7.2320E-03 -9.5942E-04
  5.1258E+01  2.7274E+00  2.7344E+00  2.0771E+00  1.6324E+00  5.7202E-08  2.3139E-04  7.2320E-03 -9.5942E-04
  5.5734E+01  2.8727E+00  2.8797E+00  2.2243E+00  1.7808E+00  1.7374E-01  2.4023E-04  7.2812E-03 -9.6291E-04
  7.0463E+01  3.3436E+00  3.3507E+00  2.7011E+00  2.2610E+00  6.6640E-01  2.6685E-04  7.4257E-03 -9.7303E-04
  8.8352E+01  3.9091E+00  3.9163E+00  3.2724E+00  2.8358E+00  1.2559E+00  2.9555E-04  7.5757E-03 -9.8338E-04
  1.0700E+02  4.4939E+00  4.5012E+00  3.8624E+00  3.4288E+00  1.8618E+00  3.2249E-04  7.7115E-03 -9.9260E-04
  1.2829E+02  5.1575E+00  5.1650E+00  4.5311E+00  4.1005E+00  2.5461E+00  3.5052E-04  7.8484E-03 -1.0017E-03
  1.4791E+02  5.7673E+00  5.7749E+00  5.1450E+00  4.7168E+00  3.1727E+00  3.7442E-04  7.9618E-03 -1.0092E-03
  1.7425E+02  6.5840E+00  6.5917E+00  5.9665E+00  5.5412E+00  4.0093E+00  4.0420E-04  8.0993E-03 -1.0182E-03
  1.9990E+02  7.3791E+00  7.3868E+00  6.7658E+00  6.3429E+00  4.8215E+00  4.3127E-04  8.2209E-03 -1.0260E-03
