 # Mon Nov 10 18:58:07 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -3.
 # distance(t),tolerance(T) =   4.62386  4.59695191
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.6105E+01  7.0679E-01  7.1141E-01  2.6774E-01  0.0000E+00  0.0000E+00  1.4033E-07  4.6242E-03 -5.8171E-04  0.0000E+00  0.0000E+00
 -2.9798E+01  5.7459E-01  5.7933E-01  1.3917E-01  0.0000E+00  0.0000E+00  2.1811E-05  4.7650E-03 -5.7681E-04  0.0000E+00  0.0000E+00
 -3.2498E+01  4.8692E-01  4.9174E-01  5.4089E-02  0.0000E+00  0.0000E+00  3.7699E-05  4.8688E-03 -5.7372E-04  0.0000E+00  0.0000E+00
 -3.5767E+01  3.8861E-01  3.9354E-01 -4.0872E-02  0.0000E+00  0.0000E+00  5.8710E-05  5.0064E-03 -5.7027E-04  0.0000E+00  0.0000E+00
 -3.5758E+01  3.8905E-01  3.9399E-01 -4.0258E-02 -2.2345E-01  0.0000E+00  5.9326E-05  5.0129E-03 -5.7068E-04  2.3481E-11  0.0000E+00
 -3.7746E+01  3.3539E-01  3.4042E-01 -9.1328E-02 -2.8579E-01  0.0000E+00  7.6827E-05  5.1236E-03 -5.6803E-04  9.1747E-06  0.0000E+00
 -3.9024E+01  3.0551E-01  3.1062E-01 -1.1880E-01 -3.2043E-01  0.0000E+00  9.3392E-05  5.2290E-03 -5.6602E-04  1.6988E-05  0.0000E+00
 -3.9487E+01  2.9951E-01  3.0469E-01 -1.2280E-01 -3.3032E-01  0.0000E+00  1.0742E-04  5.3182E-03 -5.6462E-04  2.3273E-05  0.0000E+00
 -3.9262E+01  3.1300E-01  3.1825E-01 -1.0745E-01 -3.2039E-01  0.0000E+00  1.2067E-04  5.4026E-03 -5.6354E-04  2.8941E-05  0.0000E+00
 -3.8193E+01  3.5016E-01  3.5548E-01 -6.8379E-02 -2.8683E-01  0.0000E+00  1.3456E-04  5.4909E-03 -5.6265E-04  3.4601E-05  0.0000E+00
 -3.6485E+01  4.0313E-01  4.0851E-01 -1.3802E-02 -2.3687E-01  0.0000E+00  1.4651E-04  5.5668E-03 -5.6207E-04  3.9251E-05  0.0000E+00
 -3.4047E+01  4.7478E-01  4.8022E-01  5.9367E-02 -1.6801E-01  0.0000E+00  1.5795E-04  5.6392E-03 -5.6168E-04  4.3513E-05  0.0000E+00
 -3.1534E+01  5.4642E-01  5.5191E-01  1.3219E-01 -9.8501E-02  0.0000E+00  1.6695E-04  5.6961E-03 -5.6148E-04  4.6747E-05  0.0000E+00
 -1.9312E+01  8.8331E-01  8.8895E-01  4.7277E-01  2.3182E-01  0.0000E+00  1.9618E-04  5.8794E-03 -5.6136E-04  5.6523E-05  0.0000E+00
 -1.8237E+01  8.8387E-01  8.8950E-01  4.7339E-01  2.3225E-01 -4.2097E-01  1.9658E-04  5.8823E-03 -5.6148E-04  5.6559E-05  5.5844E-13
 -1.5096E+01  9.8085E-01  9.8652E-01  5.7111E-01  3.2797E-01 -3.1680E-01  2.0273E-04  5.9198E-03 -5.6150E-04  5.8492E-05  1.6686E-06
 -3.4097E+00  1.3130E+00  1.3187E+00  9.0538E-01  6.5639E-01  1.7259E-03  2.2111E-04  6.0318E-03 -5.6180E-04  6.3982E-05  5.7372E-06
  1.1869E+01  1.7406E+00  1.7464E+00  1.3352E+00  1.0804E+00  4.1716E-01  2.4030E-04  6.1474E-03 -5.6234E-04  6.9359E-05  9.6754E-06
  2.8762E+01  2.2084E+00  2.2144E+00  1.8050E+00  1.5451E+00  8.7454E-01  2.5783E-04  6.2516E-03 -5.6302E-04  7.3969E-05  1.2995E-05
  4.8948E+01  2.7641E+00  2.7702E+00  2.3626E+00  2.0979E+00  1.4202E+00  2.7564E-04  6.3563E-03 -5.6386E-04  7.8385E-05  1.6122E-05
  6.8238E+01  3.2936E+00  3.2997E+00  2.8936E+00  2.6250E+00  1.9417E+00  2.9054E-04  6.4429E-03 -5.6468E-04  8.1886E-05  1.8563E-05
