 # Mon Nov 10 18:51:14 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -16.
 # distance(t),tolerance(T) =   0.768546231  0.891767831
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.9480E+01  7.0183E-01  7.0657E-01  2.6805E-01  0.0000E+00  0.0000E+00  3.1853E-07  4.7435E-03 -5.7980E-04  0.0000E+00  0.0000E+00
 -3.3410E+01  5.4783E-01  5.5269E-01  1.1764E-01  0.0000E+00  0.0000E+00  2.2065E-05  4.8862E-03 -5.7484E-04  0.0000E+00  0.0000E+00
 -3.6292E+01  4.4417E-01  4.4911E-01  1.6539E-02  0.0000E+00  0.0000E+00  3.8007E-05  4.9913E-03 -5.7172E-04  0.0000E+00  0.0000E+00
 -3.9805E+01  3.2471E-01  3.2976E-01 -9.9619E-02  0.0000E+00  0.0000E+00  5.9086E-05  5.1306E-03 -5.6822E-04  0.0000E+00  0.0000E+00
 -3.9820E+01  3.2525E-01  3.3030E-01 -9.8908E-02 -2.3142E-01  0.0000E+00  5.9702E-05  5.1372E-03 -5.6863E-04  2.3514E-11  0.0000E+00
 -4.1972E+01  2.5413E-01  2.5928E-01 -1.6746E-01 -3.1323E-01  0.0000E+00  7.7256E-05  5.2492E-03 -5.6594E-04  9.1868E-06  0.0000E+00
 -4.3413E+01  2.0808E-01  2.1331E-01 -2.1114E-01 -3.6513E-01  0.0000E+00  9.3871E-05  5.3559E-03 -5.6390E-04  1.7008E-05  0.0000E+00
 -4.4015E+01  1.8856E-01  1.9387E-01 -2.2868E-01 -3.8944E-01  0.0000E+00  1.0794E-04  5.4462E-03 -5.6248E-04  2.3299E-05  0.0000E+00
 -4.3923E+01  1.8944E-01  1.9482E-01 -2.2597E-01 -3.9295E-01  0.0000E+00  1.2123E-04  5.5316E-03 -5.6138E-04  2.8971E-05  0.0000E+00
 -4.2992E+01  2.1354E-01  2.1899E-01 -1.9998E-01 -3.7331E-01  0.0000E+00  1.3516E-04  5.6210E-03 -5.6047E-04  3.4635E-05  0.0000E+00
 -4.1404E+01  2.5543E-01  2.6094E-01 -1.5650E-01 -3.3514E-01  0.0000E+00  1.4714E-04  5.6977E-03 -5.5988E-04  3.9287E-05  0.0000E+00
 -3.9079E+01  3.1660E-01  3.2217E-01 -9.3830E-02 -2.7742E-01  0.0000E+00  1.5861E-04  5.7710E-03 -5.5948E-04  4.3551E-05  0.0000E+00
 -3.6655E+01  3.8009E-01  3.8570E-01 -2.9182E-02 -2.1658E-01  0.0000E+00  1.6764E-04  5.8286E-03 -5.5926E-04  4.6785E-05  0.0000E+00
 -2.4709E+01  6.9111E-01  6.9687E-01  2.8549E-01  8.6282E-02  0.0000E+00  1.9695E-04  6.0139E-03 -5.5911E-04  5.6562E-05  0.0000E+00
 -2.3638E+01  6.9178E-01  6.9755E-01  2.8622E-01  8.6797E-02 -4.2632E-01  1.9735E-04  6.0168E-03 -5.5923E-04  5.6598E-05  5.5889E-13
 -2.0539E+01  7.8336E-01  7.8916E-01  3.7853E-01  1.7679E-01 -3.2976E-01  2.0352E-04  6.0549E-03 -5.5924E-04  5.8531E-05  1.6697E-06
 -8.9793E+00  1.1000E+00  1.1059E+00  6.9728E-01  4.8881E-01 -3.0334E-02  2.2195E-04  6.1680E-03 -5.5952E-04  6.4020E-05  5.7405E-06
  6.1730E+00  1.5120E+00  1.5180E+00  1.1115E+00  8.9634E-01  3.6584E-01  2.4119E-04  6.2849E-03 -5.6004E-04  6.9394E-05  9.6803E-06
