 # Mon Nov 10 18:46:19 2008
 # MSTW 2008 NNLO PDF grid for eigenvector   3.
 # distance(t),tolerance(T) =   5.09489  5.1384346
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.6772E+01  7.0237E-01  7.0719E-01  2.7278E-01  0.0000E+00  0.0000E+00  9.9993E-08  4.8166E-03 -5.9866E-04  0.0000E+00  0.0000E+00
 -3.0561E+01  5.6313E-01  5.6806E-01  1.3709E-01  0.0000E+00  0.0000E+00  2.1761E-05  4.9603E-03 -5.9401E-04  0.0000E+00  0.0000E+00
 -3.3341E+01  4.7010E-01  4.7512E-01  4.6604E-02  0.0000E+00  0.0000E+00  3.7637E-05  5.0662E-03 -5.9111E-04  0.0000E+00  0.0000E+00
 -3.6727E+01  3.6445E-01  3.6958E-01 -5.5776E-02  0.0000E+00  0.0000E+00  5.8622E-05  5.2065E-03 -5.8791E-04  0.0000E+00  0.0000E+00
 -3.6738E+01  3.6491E-01  3.7005E-01 -5.5139E-02 -2.2123E-01  0.0000E+00  5.9236E-05  5.2132E-03 -5.8832E-04  2.3524E-11  0.0000E+00
 -3.8817E+01  3.0490E-01  3.1012E-01 -1.1262E-01 -2.9065E-01  0.0000E+00  7.6710E-05  5.3260E-03 -5.8588E-04  9.1908E-06  0.0000E+00
 -4.0192E+01  2.6893E-01  2.7424E-01 -1.4624E-01 -3.3177E-01  0.0000E+00  9.3245E-05  5.4334E-03 -5.8406E-04  1.7015E-05  0.0000E+00
 -4.0742E+01  2.5769E-01  2.6308E-01 -1.5551E-01 -3.4722E-01  0.0000E+00  1.0724E-04  5.5245E-03 -5.8282E-04  2.3309E-05  0.0000E+00
 -4.0605E+01  2.6617E-01  2.7162E-01 -1.4522E-01 -3.4261E-01  0.0000E+00  1.2047E-04  5.6104E-03 -5.8189E-04  2.8983E-05  0.0000E+00
 -3.9630E+01  2.9800E-01  3.0353E-01 -1.1152E-01 -3.1470E-01  0.0000E+00  1.3432E-04  5.7004E-03 -5.8117E-04  3.4649E-05  0.0000E+00
