 # Mon Nov 10 17:08:36 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -6.
 # distance(t),tolerance(T) =   6.11531  6.18008314
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  1.2441E+03  3.9086E+01  3.9094E+01  3.8438E+01  3.8201E+01  3.7084E+01  5.3077E-04  8.5210E-03  2.5534E-05
  1.3131E+03  4.1320E+01  4.1328E+01  4.0674E+01  4.0437E+01  3.9322E+01  5.4665E-04  8.5894E-03  2.5641E-05
  1.3808E+03  4.3524E+01  4.3532E+01  4.2881E+01  4.2644E+01  4.1530E+01  5.6198E-04  8.6546E-03  2.5742E-05
  1.4515E+03  4.5835E+01  4.5843E+01  4.5194E+01  4.4957E+01  4.3845E+01  5.7775E-04  8.7208E-03  2.5844E-05
  1.5238E+03  4.8216E+01  4.8224E+01  4.7577E+01  4.7340E+01  4.6229E+01  5.9366E-04  8.7868E-03  2.5945E-05
  1.5949E+03  5.0567E+01  5.0575E+01  4.9931E+01  4.9693E+01  4.8584E+01  6.0910E-04  8.8502E-03  2.6041E-05
  1.6647E+03  5.2889E+01  5.2897E+01  5.2255E+01  5.2017E+01  5.0909E+01  6.2405E-04  8.9108E-03  2.6132E-05
  1.7373E+03  5.5312E+01  5.5321E+01  5.4680E+01  5.4442E+01  5.3336E+01  6.3943E-04  8.9725E-03  2.6225E-05
 -1.2889E+01  1.0885E+00  1.0945E+00  3.6198E-01  0.0000E+00  0.0000E+00  2.3469E-05  6.0268E-03  2.1460E-05
 -1.3033E+01  1.0131E+00  1.0192E+00  2.9588E-01  0.0000E+00  0.0000E+00  3.9058E-05  6.1921E-03  2.1804E-05
 -1.2787E+01  9.7362E-01  9.7987E-01  2.6320E-01  0.0000E+00  0.0000E+00  5.1711E-05  6.3162E-03  2.2059E-05
 -1.1768E+01  9.4843E-01  9.5483E-01  2.4682E-01  0.0000E+00  0.0000E+00  7.0067E-05  6.4834E-03  2.2396E-05
 -1.1768E+01  9.4843E-01  9.5483E-01  2.4682E-01  8.0433E-09  0.0000E+00  7.0067E-05  6.4834E-03  2.2396E-05
 -1.0158E+01  9.5641E-01  9.6293E-01  2.6180E-01  1.4388E-02  0.0000E+00  8.6744E-05  6.6222E-03  2.2671E-05
 -7.8600E+00  9.9155E-01  9.9819E-01  3.0342E-01  5.5597E-02  0.0000E+00  1.0353E-04  6.7543E-03  2.2928E-05
 -5.1929E+00  1.0455E+00  1.0522E+00  3.6275E-01  1.1461E-01  0.0000E+00  1.1856E-04  6.8671E-03  2.3145E-05
 -1.9586E+00  1.1195E+00  1.1263E+00  4.4176E-01  1.9333E-01  0.0000E+00  1.3345E-04  6.9743E-03  2.3349E-05
  2.2815E+00  1.2237E+00  1.2306E+00  5.5111E-01  3.0243E-01  0.0000E+00  1.4976E-04  7.0873E-03  2.3562E-05
  6.6970E+00  1.3369E+00  1.3439E+00  6.6866E-01  4.1977E-01  0.0000E+00  1.6434E-04  7.1848E-03  2.3743E-05
  1.1683E+01  1.4682E+00  1.4752E+00  8.0399E-01  5.5492E-01  0.0000E+00  1.7877E-04  7.2784E-03  2.3915E-05
  1.6153E+01  1.5878E+00  1.5949E+00  9.2674E-01  6.7753E-01  0.0000E+00  1.9045E-04  7.3522E-03  2.4050E-05
  3.4234E+01  2.0833E+00  2.0906E+00  1.4322E+00  1.1827E+00  0.0000E+00  2.3015E-04  7.5915E-03  2.4480E-05
  3.4234E+01  2.0833E+00  2.0906E+00  1.4322E+00  1.1827E+00  4.8958E-08  2.3015E-04  7.5915E-03  2.4480E-05
  3.8590E+01  2.2114E+00  2.2188E+00  1.5624E+00  1.3128E+00  1.4901E-01  2.3895E-04  7.6419E-03  2.4569E-05
  5.2964E+01  2.6334E+00  2.6409E+00  1.9902E+00  1.7404E+00  5.7980E-01  2.6547E-04  7.7899E-03  2.4827E-05
  7.0508E+01  3.1501E+00  3.1577E+00  2.5128E+00  2.2628E+00  1.1073E+00  2.9407E-04  7.9435E-03  2.5091E-05
  8.8871E+01  3.6924E+00  3.7001E+00  3.0602E+00  2.8102E+00  1.6592E+00  3.2090E-04  8.0825E-03  2.5326E-05
  1.0989E+02  4.3149E+00  4.3227E+00  3.6878E+00  3.4377E+00  2.2913E+00  3.4883E-04  8.2225E-03  2.5560E-05
  1.2931E+02  4.8918E+00  4.8997E+00  4.2688E+00  4.0187E+00  2.8760E+00  3.7265E-04  8.3385E-03  2.5751E-05
  1.5542E+02  5.6702E+00  5.6782E+00  5.0521E+00  4.8019E+00  3.6637E+00  4.0232E-04  8.4790E-03  2.5979E-05
  1.8091E+02  6.4328E+00  6.4409E+00  5.8189E+00  5.5687E+00  4.4345E+00  4.2929E-04  8.6033E-03  2.6178E-05
  2.0631E+02  7.1958E+00  7.2040E+00  6.5856E+00  6.3355E+00  5.2048E+00  4.5461E-04  8.7172E-03  2.6359E-05
  2.4147E+02  8.2574E+00  8.2658E+00  7.6519E+00  7.4018E+00  6.2757E+00  4.8757E-04  8.8618E-03  2.6585E-05
  2.7757E+02  9.3533E+00  9.3618E+00  8.7521E+00  8.5020E+00  7.3801E+00  5.1939E-04  8.9978E-03  2.6794E-05
  3.1416E+02  1.0470E+01  1.0479E+01  9.8731E+00  9.6231E+00  8.5051E+00  5.4996E-04  9.1253E-03  2.6988E-05
  3.5345E+02  1.1677E+01  1.1686E+01  1.1084E+01  1.0834E+01  9.7198E+00  5.8124E-04  9.2530E-03  2.7180E-05
  3.9457E+02  1.2948E+01  1.2957E+01  1.2358E+01  1.2108E+01  1.0998E+01  6.1254E-04  9.3781E-03  2.7365E-05
  4.3606E+02  1.4239E+01  1.4248E+01  1.3653E+01  1.3403E+01  1.2296E+01  6.4285E-04  9.4967E-03  2.7538E-05
  4.7734E+02  1.5531E+01  1.5539E+01  1.4947E+01  1.4698E+01  1.3594E+01  6.7196E-04  9.6087E-03  2.7700E-05
  5.2116E+02  1.6911E+01  1.6920E+01  1.6331E+01  1.6081E+01  1.4981E+01  7.0183E-04  9.7216E-03  2.7861E-05
  5.6643E+02  1.8346E+01  1.8355E+01  1.7769E+01  1.7520E+01  1.6423E+01  7.3176E-04  9.8328E-03  2.8018E-05
  6.1152E+02  1.9785E+01  1.9794E+01  1.9210E+01  1.8961E+01  1.7867E+01  7.6074E-04  9.9388E-03  2.8166E-05
  6.5606E+02  2.1215E+01  2.1224E+01  2.0643E+01  2.0394E+01  1.9303E+01  7.8864E-04  1.0039E-02  2.8305E-05
  7.0286E+02  2.2726E+01  2.2736E+01  2.2158E+01  2.1908E+01  2.0820E+01  8.1726E-04  1.0141E-02  2.8445E-05
  7.5090E+02  2.4288E+01  2.4298E+01  2.3722E+01  2.3473E+01  2.2388E+01  8.4599E-04  1.0242E-02  2.8581E-05
  7.9848E+02  2.5845E+01  2.5854E+01  2.5281E+01  2.5032E+01  2.3950E+01  8.7385E-04  1.0338E-02  2.8710E-05
  8.4521E+02  2.7383E+01  2.7392E+01  2.6821E+01  2.6573E+01  2.5493E+01  9.0069E-04  1.0430E-02  2.8832E-05
  8.9401E+02  2.8999E+01  2.9008E+01  2.8439E+01  2.8191E+01  2.7113E+01  9.2824E-04  1.0523E-02  2.8954E-05
  9.4383E+02  3.0658E+01  3.0668E+01  3.0101E+01  2.9852E+01  2.8778E+01  9.5590E-04  1.0615E-02  2.9074E-05
  9.9299E+02  3.2305E+01  3.2315E+01  3.1750E+01  3.1502E+01  3.0430E+01  9.8276E-04  1.0704E-02  2.9189E-05
  1.0411E+03  3.3926E+01  3.3936E+01  3.3373E+01  3.3125E+01  3.2055E+01  1.0087E-03  1.0788E-02  2.9297E-05
  1.0911E+03  3.5621E+01  3.5631E+01  3.5070E+01  3.4822E+01  3.3754E+01  1.0352E-03  1.0875E-02  2.9406E-05
  1.1421E+03  3.7362E+01  3.7371E+01  3.6813E+01  3.6564E+01  3.5499E+01  1.0620E-03  1.0960E-02  2.9514E-05
  1.1922E+03  3.9076E+01  3.9086E+01  3.8529E+01  3.8281E+01  3.7218E+01  1.0879E-03  1.1043E-02  2.9616E-05
  1.2411E+03  4.0764E+01  4.0774E+01  4.0219E+01  3.9971E+01  3.8910E+01  1.1130E-03  1.1121E-02  2.9714E-05
  1.2919E+03  4.2522E+01  4.2532E+01  4.1978E+01  4.1731E+01  4.0672E+01  1.1388E-03  1.1202E-02  2.9812E-05
 -9.3186E+00  9.3420E-01  9.4154E-01  3.1066E-01  0.0000E+00  0.0000E+00  7.1533E-05  7.4172E-03  2.4697E-05
 -9.1858E+00  8.8781E-01  8.9533E-01  2.7230E-01  0.0000E+00  0.0000E+00  1.0386E-04  7.6284E-03  2.5084E-05
 -8.7408E+00  8.6870E-01  8.7635E-01  2.5901E-01  0.0000E+00  0.0000E+00  1.2972E-04  7.7871E-03  2.5370E-05
 -7.5061E+00  8.6803E-01  8.7585E-01  2.6593E-01  0.0000E+00  0.0000E+00  1.6676E-04  8.0015E-03  2.5748E-05
 -7.5061E+00  8.6803E-01  8.7586E-01  2.6593E-01  5.5882E-08  0.0000E+00  1.6676E-04  8.0015E-03  2.5748E-05
