 # Mon Nov 10 19:58:58 2008
 # MSTW 2008 NNLO PDF grid for eigenvector   16.
 # distance(t),tolerance(T) =   5.69207964  6.57261627
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -9.7245E+00  7.2587E-01  7.3038E-01  2.8561E-01  0.0000E+00  0.0000E+00 -8.2838E-07  4.5071E-03 -6.6366E-04  0.0000E+00  0.0000E+00
 -1.1831E+01  7.2080E-01  7.2542E-01  2.8419E-01  0.0000E+00  0.0000E+00  2.0439E-05  4.6460E-03 -6.6013E-04  0.0000E+00  0.0000E+00
 -1.3277E+01  7.2754E-01  7.3224E-01  2.9353E-01  0.0000E+00  0.0000E+00  3.6028E-05  4.7485E-03 -6.5803E-04  0.0000E+00  0.0000E+00
 -1.4806E+01  7.5579E-01  7.6060E-01  3.2515E-01  0.0000E+00  0.0000E+00  5.6636E-05  4.8843E-03 -6.5587E-04  0.0000E+00  0.0000E+00
 -1.4570E+01  7.5571E-01  7.6052E-01  3.2524E-01 -2.0821E-01  0.0000E+00  5.7247E-05  4.8908E-03 -6.5634E-04  2.3475E-11  0.0000E+00
 -1.5322E+01  8.0833E-01  8.1323E-01  3.8046E-01 -1.5218E-01  0.0000E+00  7.4415E-05  5.0001E-03 -6.5471E-04  9.1745E-06  0.0000E+00
 -1.5341E+01  8.7809E-01  8.8308E-01  4.5265E-01 -8.0623E-02  0.0000E+00  9.0661E-05  5.1042E-03 -6.5366E-04  1.6991E-05  0.0000E+00
 -1.4702E+01  9.5633E-01  9.6139E-01  5.3289E-01 -8.7421E-04  0.0000E+00  1.0441E-04  5.1924E-03 -6.5306E-04  2.3283E-05  0.0000E+00
 -1.3412E+01  1.0493E+00  1.0544E+00  6.2773E-01  9.3519E-02  0.0000E+00  1.1740E-04  5.2757E-03 -6.5274E-04  2.8958E-05  0.0000E+00
 -1.1205E+01  1.1696E+00  1.1748E+00  7.4991E-01  2.1527E-01  0.0000E+00  1.3101E-04  5.3630E-03 -6.5264E-04  3.4629E-05  0.0000E+00
 -8.5064E+00  1.2938E+00  1.2991E+00  8.7578E-01  3.4079E-01  0.0000E+00  1.4271E-04  5.4379E-03 -6.5273E-04  3.9288E-05  0.0000E+00
 -5.1098E+00  1.4335E+00  1.4388E+00  1.0170E+00  4.8171E-01  0.0000E+00  1.5390E-04  5.5095E-03 -6.5297E-04  4.3560E-05  0.0000E+00
 -1.8379E+00  1.5586E+00  1.5639E+00  1.1433E+00  6.0775E-01  0.0000E+00  1.6272E-04  5.5658E-03 -6.5326E-04  4.6802E-05  0.0000E+00
  1.2827E+01  2.0676E+00  2.0731E+00  1.6560E+00  1.1198E+00  0.0000E+00  1.9131E-04  5.7469E-03 -6.5473E-04  5.6608E-05  0.0000E+00
  1.3974E+01  2.0675E+00  2.0730E+00  1.6559E+00  1.1198E+00 -3.9957E-01  1.9172E-04  5.7498E-03 -6.5488E-04  5.6644E-05  5.5933E-13
  1.7526E+01  2.2010E+00  2.2066E+00  1.7902E+00  1.2539E+00 -2.4540E-01  1.9773E-04  5.7870E-03 -6.5522E-04  5.8584E-05  1.6712E-06
  3.0483E+01  2.6389E+00  2.6446E+00  2.2303E+00  1.6937E+00  1.9984E-01  2.1571E-04  5.8977E-03 -6.5646E-04  6.4094E-05  5.7471E-06
  4.7071E+01  3.1746E+00  3.1803E+00  2.7681E+00  2.2313E+00  7.4484E-01  2.3448E-04  6.0120E-03 -6.5797E-04  6.9492E-05  9.6937E-06
  6.5137E+01  3.7387E+00  3.7445E+00  3.3342E+00  2.7972E+00  1.3174E+00  2.5161E-04  6.1151E-03 -6.5951E-04  7.4122E-05  1.3021E-05
  8.6491E+01  4.3901E+00  4.3960E+00  3.9875E+00  3.4503E+00  1.9771E+00  2.6903E-04  6.2187E-03 -6.6122E-04  7.8559E-05  1.6157E-05
