 # Mon Nov 10 17:37:11 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -18.
 # distance(t),tolerance(T) =   3.79483724  4.63176944
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -1.4043E+01  1.3319E+00  1.3356E+00  4.8304E-01  0.0000E+00  0.0000E+00  2.7266E-06  3.7452E-03 -6.2833E-04
 -1.4485E+01  1.2335E+00  1.2374E+00  3.9554E-01  0.0000E+00  0.0000E+00  9.5052E-06  3.8524E-03 -6.3850E-04
 -1.4484E+01  1.1771E+00  1.1810E+00  3.4697E-01  0.0000E+00  0.0000E+00  1.5113E-05  3.9330E-03 -6.4603E-04
 -1.3787E+01  1.1303E+00  1.1343E+00  3.1038E-01  0.0000E+00  0.0000E+00  2.3387E-05  4.0418E-03 -6.5603E-04
 -1.3787E+01  1.1303E+00  1.1343E+00  3.1038E-01 -3.1474E-08  0.0000E+00  2.3387E-05  4.0418E-03 -6.5603E-04
 -1.2376E+01  1.1223E+00  1.1264E+00  3.1057E-01 -5.1148E-04  0.0000E+00  3.1071E-05  4.1323E-03 -6.6418E-04
 -1.0199E+01  1.1451E+00  1.1493E+00  3.4092E-01  2.9950E-02  0.0000E+00  3.8894E-05  4.2185E-03 -6.7183E-04
 -7.5533E+00  1.1914E+00  1.1957E+00  3.9349E-01  8.2644E-02  0.0000E+00  4.5970E-05  4.2921E-03 -6.7829E-04
 -4.2416E+00  1.2613E+00  1.2656E+00  4.6917E-01  1.5845E-01  0.0000E+00  5.3036E-05  4.3623E-03 -6.8437E-04
  2.1249E-01  1.3651E+00  1.3695E+00  5.7901E-01  2.6844E-01  0.0000E+00  6.0831E-05  4.4362E-03 -6.9071E-04
  4.9460E+00  1.4819E+00  1.4863E+00  7.0080E-01  3.9039E-01  0.0000E+00  6.7844E-05  4.5001E-03 -6.9612E-04
  1.0380E+01  1.6205E+00  1.6250E+00  8.4421E-01  5.3394E-01  0.0000E+00  7.4830E-05  4.5614E-03 -7.0128E-04
  1.5315E+01  1.7490E+00  1.7535E+00  9.7634E-01  6.6620E-01  0.0000E+00  8.0510E-05  4.6099E-03 -7.0531E-04
  3.5715E+01  2.2952E+00  2.2998E+00  1.5341E+00  1.2244E+00  0.0000E+00  9.9979E-05  4.7671E-03 -7.1820E-04
  3.5715E+01  2.2952E+00  2.2998E+00  1.5341E+00  1.2244E+00  5.4779E-08  9.9979E-05  4.7671E-03 -7.1820E-04
  4.0720E+01  2.4391E+00  2.4437E+00  1.6804E+00  1.3708E+00  1.6693E-01  1.0435E-04  4.8003E-03 -7.2087E-04
  5.7411E+01  2.9180E+00  2.9228E+00  2.1661E+00  1.8568E+00  6.5507E-01  1.1756E-04  4.8978E-03 -7.2864E-04
  7.8086E+01  3.5133E+00  3.5181E+00  2.7682E+00  2.4593E+00  1.2617E+00  1.3192E-04  4.9991E-03 -7.3659E-04
  1.0001E+02  4.1462E+00  4.1511E+00  3.4072E+00  3.0985E+00  1.9048E+00  1.4548E-04  5.0909E-03 -7.4370E-04
  1.2541E+02  4.8808E+00  4.8858E+00  4.1477E+00  3.8394E+00  2.6495E+00  1.5968E-04  5.1834E-03 -7.5076E-04
  1.4911E+02  5.5682E+00  5.5732E+00  4.8398E+00  4.5318E+00  3.3450E+00  1.7185E-04  5.2602E-03 -7.5655E-04
  1.8129E+02  6.5039E+00  6.5091E+00  5.7813E+00  5.4736E+00  4.2906E+00  1.8711E-04  5.3533E-03 -7.6348E-04
  2.1299E+02  7.4286E+00  7.4338E+00  6.7108E+00  6.4035E+00  5.2239E+00  2.0104E-04  5.4358E-03 -7.6954E-04
  2.4484E+02  8.3606E+00  8.3659E+00  7.6472E+00  7.3401E+00  6.1636E+00  2.1418E-04  5.5114E-03 -7.7503E-04
  2.8932E+02  9.6675E+00  9.6728E+00  8.9595E+00  8.6529E+00  7.4802E+00  2.3137E-04  5.6075E-03 -7.8192E-04
  3.3537E+02  1.1027E+01  1.1033E+01  1.0324E+01  1.0018E+01  8.8489E+00  2.4805E-04  5.6980E-03 -7.8832E-04
