 # Mon Nov 10 16:54:16 2008
 # MSTW 2008 NLO PDF grid for eigenvector   1.
 # distance(t),tolerance(T) =   4.53655  4.64151957
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -2.1489E+01  1.3100E+00  1.3146E+00  4.6822E-01  0.0000E+00  0.0000E+00  7.5283E-06  4.6275E-03 -7.3198E-04
 -2.2581E+01  1.1570E+00  1.1618E+00  3.2603E-01  0.0000E+00  0.0000E+00  1.5362E-05  4.7544E-03 -7.4383E-04
 -2.3107E+01  1.0593E+00  1.0641E+00  2.3603E-01  0.0000E+00  0.0000E+00  2.1795E-05  4.8495E-03 -7.5260E-04
 -2.3165E+01  9.5596E-01  9.6089E-01  1.4287E-01  0.0000E+00  0.0000E+00  3.1227E-05  4.9777E-03 -7.6425E-04
 -2.3165E+01  9.5596E-01  9.6089E-01  1.4287E-01 -1.6408E-07  0.0000E+00  3.1227E-05  4.9777E-03 -7.6425E-04
 -2.2329E+01  9.0019E-01  9.0522E-01  9.5183E-02 -5.3822E-02  0.0000E+00  3.9921E-05  5.0839E-03 -7.7375E-04
 -2.0739E+01  8.7731E-01  8.8244E-01  7.9768E-02 -7.2020E-02  0.0000E+00  4.8736E-05  5.1850E-03 -7.8266E-04
 -1.8620E+01  8.8439E-01  8.8959E-01  9.3049E-02 -6.1014E-02  0.0000E+00  5.6682E-05  5.2712E-03 -7.9019E-04
 -1.5832E+01  9.1671E-01  9.2198E-01  1.3113E-01 -2.5017E-02  0.0000E+00  6.4595E-05  5.3532E-03 -7.9727E-04
 -1.1953E+01  9.8075E-01  9.8610E-01  2.0109E-01  4.2834E-02  0.0000E+00  7.3300E-05  5.4394E-03 -8.0466E-04
 -7.7334E+00  1.0629E+00  1.0683E+00  2.8822E-01  1.2821E-01  0.0000E+00  8.1116E-05  5.5139E-03 -8.1097E-04
 -2.8087E+00  1.1681E+00  1.1735E+00  3.9811E-01  2.3646E-01  0.0000E+00  8.8887E-05  5.5853E-03 -8.1697E-04
  1.7143E+00  1.2699E+00  1.2755E+00  5.0364E-01  3.4074E-01  0.0000E+00  9.5194E-05  5.6415E-03 -8.2167E-04
  2.0729E+01  1.7288E+00  1.7345E+00  9.7394E-01  8.0720E-01  0.0000E+00  1.1675E-04  5.8239E-03 -8.3669E-04
  2.0729E+01  1.7288E+00  1.7345E+00  9.7394E-01  8.0720E-01  4.6313E-08  1.1675E-04  5.8239E-03 -8.3669E-04
  2.5475E+01  1.8539E+00  1.8596E+00  1.1014E+00  9.3390E-01  1.4147E-01  1.2157E-04  5.8622E-03 -8.3980E-04
  4.1372E+01  2.2776E+00  2.2834E+00  1.5319E+00  1.3622E+00  5.6434E-01  1.3614E-04  5.9749E-03 -8.4886E-04
  6.1193E+01  2.8153E+00  2.8212E+00  2.0763E+00  1.9045E+00  1.1031E+00  1.5192E-04  6.0917E-03 -8.5813E-04
  8.2324E+01  3.3957E+00  3.4017E+00  2.6627E+00  2.4890E+00  1.6846E+00  1.6680E-04  6.1973E-03 -8.6640E-04
  1.0689E+02  4.0772E+00  4.0833E+00  3.3501E+00  3.1746E+00  2.3674E+00  1.8236E-04  6.3036E-03 -8.7464E-04
  1.2990E+02  4.7203E+00  4.7264E+00  3.9978E+00  3.8209E+00  3.0116E+00  1.9567E-04  6.3917E-03 -8.8138E-04
  1.6122E+02  5.6020E+00  5.6083E+00  4.8852E+00  4.7067E+00  3.8949E+00  2.1233E-04  6.4983E-03 -8.8946E-04
  1.9214E+02  6.4786E+00  6.4850E+00  5.7667E+00  5.5867E+00  4.7730E+00  2.2752E-04  6.5925E-03 -8.9652E-04
  2.2326E+02  7.3663E+00  7.3727E+00  6.6587E+00  6.4775E+00  5.6620E+00  2.4182E-04  6.6788E-03 -9.0292E-04
  2.6681E+02  8.6166E+00  8.6231E+00  7.9144E+00  7.7317E+00  6.9142E+00  2.6051E-04  6.7883E-03 -9.1095E-04
  3.1197E+02  9.9228E+00  9.9293E+00  9.2255E+00  9.0414E+00  8.2222E+00  2.7862E-04  6.8913E-03 -9.1841E-04
  3.5817E+02  1.1268E+01  1.1275E+01  1.0575E+01  1.0390E+01  9.5694E+00  2.9608E-04  6.9878E-03 -9.2532E-04
  4.0821E+02  1.2735E+01  1.2742E+01  1.2047E+01  1.1861E+01  1.1038E+01  3.1400E-04  7.0843E-03 -9.3217E-04
  4.6100E+02  1.4294E+01  1.4301E+01  1.3610E+01  1.3422E+01  1.2599E+01  3.3199E-04  7.1789E-03 -9.3880E-04
  5.1468E+02  1.5890E+01  1.5897E+01  1.5210E+01  1.5021E+01  1.4197E+01  3.4947E-04  7.2685E-03 -9.4503E-04
  5.6842E+02  1.7498E+01  1.7505E+01  1.6821E+01  1.6632E+01  1.5806E+01  3.6630E-04  7.3531E-03 -9.5084E-04
  6.2588E+02  1.9229E+01  1.9236E+01  1.8556E+01  1.8366E+01  1.7539E+01  3.8361E-04  7.4383E-03 -9.5664E-04
  6.8558E+02  2.1039E+01  2.1046E+01  2.0370E+01  2.0179E+01  1.9352E+01  4.0101E-04  7.5222E-03 -9.6230E-04
  7.4539E+02  2.2865E+01  2.2872E+01  2.2199E+01  2.2007E+01  2.1179E+01  4.1789E-04  7.6022E-03 -9.6765E-04
  8.0480E+02  2.4690E+01  2.4697E+01  2.4027E+01  2.3834E+01  2.3006E+01  4.3419E-04  7.6780E-03 -9.7267E-04
  8.6753E+02  2.6629E+01  2.6636E+01  2.5969E+01  2.5775E+01  2.4946E+01  4.5094E-04  7.7547E-03 -9.7771E-04
  9.3226E+02  2.8643E+01  2.8650E+01  2.7986E+01  2.7792E+01  2.6962E+01  4.6780E-04  7.8306E-03 -9.8266E-04
