 # Mon Nov 10 18:16:28 2008
 # MSTW 2008 NLO PDF grid for eigenvector   19.
 # distance(t),tolerance(T) =   2.87309401  4.25148257
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -4.1006E+01  1.3136E+00  1.3186E+00  4.5183E-01  0.0000E+00  0.0000E+00  9.1502E-06  4.9474E-03 -7.4191E-04
 -4.2232E+01  1.0756E+00  1.0806E+00  2.2478E-01  0.0000E+00  0.0000E+00  1.7311E-05  5.0811E-03 -7.5393E-04
 -4.2789E+01  9.1924E-01  9.2439E-01  7.6406E-02  0.0000E+00  0.0000E+00  2.4000E-05  5.1813E-03 -7.6281E-04
 -4.2772E+01  7.4391E-01  7.4919E-01 -8.8536E-02  0.0000E+00  0.0000E+00  3.3790E-05  5.3160E-03 -7.7462E-04
 -4.2772E+01  7.4391E-01  7.4919E-01 -8.8537E-02 -3.2755E-07  0.0000E+00  3.3790E-05  5.3160E-03 -7.7462E-04
 -4.1668E+01  6.3397E-01  6.3934E-01 -1.9021E-01 -1.1703E-01  0.0000E+00  4.2797E-05  5.4277E-03 -7.8425E-04
 -3.9757E+01  5.6486E-01  5.7033E-01 -2.5167E-01 -1.8710E-01  0.0000E+00  5.1919E-05  5.5339E-03 -7.9329E-04
 -3.7311E+01  5.3644E-01  5.4198E-01 -2.7375E-01 -2.1623E-01  0.0000E+00  6.0134E-05  5.6244E-03 -8.0091E-04
 -3.4165E+01  5.3830E-01  5.4393E-01 -2.6598E-01 -2.1494E-01  0.0000E+00  6.8308E-05  5.7104E-03 -8.0809E-04
 -2.9858E+01  5.7369E-01  5.7939E-01 -2.2453E-01 -1.8006E-01  0.0000E+00  7.7296E-05  5.8009E-03 -8.1558E-04
 -2.5229E+01  6.3381E-01  6.3958E-01 -1.5928E-01 -1.2031E-01  0.0000E+00  8.5360E-05  5.8789E-03 -8.2198E-04
 -1.9875E+01  7.2028E-01  7.2612E-01 -6.7986E-02 -3.4139E-02  0.0000E+00  9.3373E-05  5.9537E-03 -8.2806E-04
 -1.4989E+01  8.0898E-01  8.1487E-01  2.4453E-02  5.4367E-02  0.0000E+00  9.9874E-05  6.0126E-03 -8.3283E-04
  5.3545E+00  1.2344E+00  1.2405E+00  4.6165E-01  4.7941E-01  0.0000E+00  1.2208E-04  6.2035E-03 -8.4805E-04
  5.3545E+00  1.2344E+00  1.2405E+00  4.6165E-01  4.7941E-01  4.2248E-08  1.2208E-04  6.2035E-03 -8.4805E-04
  1.0431E+01  1.3543E+00  1.3604E+00  5.8388E-01  5.9921E-01  1.2941E-01  1.2704E-04  6.2437E-03 -8.5120E-04
  2.7333E+01  1.7659E+00  1.7721E+00  1.0024E+00  1.0108E+00  5.2544E-01  1.4202E-04  6.3615E-03 -8.6039E-04
  4.8262E+01  2.2966E+00  2.3029E+00  1.5400E+00  1.5415E+00  1.0423E+00  1.5825E-04  6.4835E-03 -8.6978E-04
  7.0448E+01  2.8753E+00  2.8817E+00  2.1248E+00  2.1204E+00  1.6093E+00  1.7354E-04  6.5939E-03 -8.7817E-04
  9.6125E+01  3.5592E+00  3.5657E+00  2.8148E+00  2.8046E+00  2.2821E+00  1.8951E-04  6.7049E-03 -8.8652E-04
  1.2008E+02  4.2074E+00  4.2139E+00  3.4678E+00  3.4529E+00  2.9215E+00  2.0318E-04  6.7968E-03 -8.9336E-04
  1.5259E+02  5.0989E+00  5.1056E+00  4.3651E+00  4.3449E+00  3.8030E+00  2.2026E-04  6.9080E-03 -9.0154E-04
  1.8460E+02  5.9874E+00  5.9941E+00  5.2585E+00  5.2337E+00  4.6830E+00  2.3584E-04  7.0062E-03 -9.0870E-04
  2.1674E+02  6.8884E+00  6.8952E+00  6.1639E+00  6.1350E+00  5.5766E+00  2.5051E-04  7.0961E-03 -9.1519E-04
  2.6161E+02  8.1588E+00  8.1657E+00  7.4399E+00  7.4060E+00  6.8382E+00  2.6966E-04  7.2102E-03 -9.2333E-04
  3.0804E+02  9.4871E+00  9.4941E+00  8.7732E+00  8.7349E+00  8.1586E+00  2.8822E-04  7.3174E-03 -9.3089E-04
  3.5545E+02  1.0856E+01  1.0863E+01  1.0147E+01  1.0104E+01  9.5205E+00  3.0609E-04  7.4178E-03 -9.3790E-04
  4.0671E+02  1.2349E+01  1.2356E+01  1.1644E+01  1.1598E+01  1.1007E+01  3.2444E-04  7.5182E-03 -9.4484E-04
  4.6072E+02  1.3935E+01  1.3942E+01  1.3235E+01  1.3185E+01  1.2587E+01  3.4286E-04  7.6165E-03 -9.5157E-04
  5.1556E+02  1.5559E+01  1.5567E+01  1.4863E+01  1.4809E+01  1.4205E+01  3.6073E-04  7.7096E-03 -9.5788E-04
