 # Mon Nov 10 19:33:26 2008
 # MSTW 2008 NNLO PDF grid for eigenvector   10.
 # distance(t),tolerance(T) =   7.23107735  6.7061853
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -3.6133E+01  6.9952E-01  7.0421E-01  2.7874E-01  0.0000E+00  0.0000E+00  6.5525E-07  4.6850E-03 -5.6676E-04  0.0000E+00  0.0000E+00
 -4.0663E+01  4.9582E-01  5.0062E-01  7.8517E-02  0.0000E+00  0.0000E+00  2.2232E-05  4.8264E-03 -5.6170E-04  0.0000E+00  0.0000E+00
 -4.4021E+01  3.5531E-01  3.6019E-01 -5.9500E-02  0.0000E+00  0.0000E+00  3.8051E-05  4.9306E-03 -5.5849E-04  0.0000E+00  0.0000E+00
 -4.8197E+01  1.8657E-01  1.9157E-01 -2.2503E-01  0.0000E+00  0.0000E+00  5.8968E-05  5.0687E-03 -5.5487E-04  0.0000E+00  0.0000E+00
 -4.8295E+01  1.8732E-01  1.9232E-01 -2.2412E-01 -2.3903E-01  0.0000E+00  5.9577E-05  5.0753E-03 -5.5526E-04  2.3349E-11  0.0000E+00
 -5.0917E+01  7.4998E-02  8.0084E-02 -3.3396E-01 -3.6670E-01  0.0000E+00  7.6995E-05  5.1864E-03 -5.5248E-04  9.1232E-06  0.0000E+00
 -5.2836E+01 -9.5846E-03 -4.4128E-03 -4.1623E-01 -4.5964E-01  0.0000E+00  9.3481E-05  5.2921E-03 -5.5034E-04  1.6892E-05  0.0000E+00
 -5.3854E+01 -6.1555E-02 -5.6311E-02 -4.6628E-01 -5.1847E-01  0.0000E+00  1.0744E-04  5.3818E-03 -5.4883E-04  2.3142E-05  0.0000E+00
 -5.4162E+01 -9.1199E-02 -8.5887E-02 -4.9415E-01 -5.5442E-01  0.0000E+00  1.2063E-04  5.4664E-03 -5.4765E-04  2.8778E-05  0.0000E+00
 -5.3656E+01 -9.8877E-02 -9.3493E-02 -5.0000E-01 -5.6850E-01  0.0000E+00  1.3445E-04  5.5550E-03 -5.4665E-04  3.4407E-05  0.0000E+00
 -5.2434E+01 -8.4145E-02 -7.8700E-02 -4.8372E-01 -5.5913E-01  0.0000E+00  1.4633E-04  5.6311E-03 -5.4598E-04  3.9031E-05  0.0000E+00
 -5.0459E+01 -4.8773E-02 -4.3269E-02 -4.4690E-01 -5.2874E-01  0.0000E+00  1.5771E-04  5.7038E-03 -5.4550E-04  4.3269E-05  0.0000E+00
 -4.8309E+01 -5.4624E-03  8.8189E-05 -4.0246E-01 -4.8927E-01  0.0000E+00  1.6667E-04  5.7609E-03 -5.4522E-04  4.6485E-05  0.0000E+00
 -3.7226E+01  2.4115E-01  2.4685E-01 -1.5230E-01 -2.5450E-01  0.0000E+00  1.9574E-04  5.9448E-03 -5.4487E-04  5.6207E-05  0.0000E+00
 -3.6176E+01  2.4209E-01  2.4779E-01 -1.5131E-01 -2.5379E-01 -4.3693E-01  1.9615E-04  5.9477E-03 -5.4499E-04  5.6244E-05  5.5544E-13
 -3.3217E+01  3.2013E-01  3.2586E-01 -7.2562E-02 -1.7805E-01 -3.5904E-01  2.0226E-04  5.9854E-03 -5.4496E-04  5.8166E-05  1.6595E-06
 -2.2076E+01  5.9784E-01  6.0367E-01  2.0723E-01  9.2945E-02 -1.0664E-01  2.2053E-04  6.0977E-03 -5.4511E-04  6.3626E-05  5.7059E-06
 -7.3382E+00  9.7068E-01  9.7660E-01  5.8216E-01  4.5913E-01  2.4196E-01  2.3962E-04  6.2136E-03 -5.4551E-04  6.8974E-05  9.6226E-06
  9.0911E+00  1.3904E+00  1.3964E+00  1.0037E+00  8.7307E-01  6.4065E-01  2.5704E-04  6.3182E-03 -5.4605E-04  7.3559E-05  1.2924E-05
  2.8839E+01  1.8990E+00  1.9051E+00  1.5142E+00  1.3761E+00  1.1289E+00  2.7475E-04  6.4232E-03 -5.4677E-04  7.7952E-05  1.6034E-05
  4.7788E+01  2.3906E+00  2.3967E+00  2.0072E+00  1.8632E+00  1.6042E+00  2.8957E-04  6.5100E-03 -5.4747E-04  8.1435E-05  1.8462E-05
  7.4126E+01  3.0787E+00  3.0850E+00  2.6971E+00  2.5462E+00  2.2734E+00  3.0770E-04  6.6149E-03 -5.4845E-04  8.5474E-05  2.1233E-05
  1.0059E+02  3.7754E+00  3.7817E+00  3.3953E+00  3.2384E+00  2.9539E+00  3.2390E-04  6.7075E-03 -5.4941E-04  8.8894E-05  2.3541E-05
  1.2759E+02  4.4911E+00  4.4974E+00  4.1123E+00  3.9502E+00  3.6551E+00  3.3892E-04  6.7921E-03 -5.5037E-04  9.1914E-05  2.5549E-05
  1.6585E+02  5.5133E+00  5.5198E+00  5.1363E+00  4.9676E+00  4.6599E+00  3.5820E-04  6.8993E-03 -5.5168E-04  9.5595E-05  2.7957E-05
  2.0599E+02  6.5955E+00  6.6021E+00  6.2200E+00  6.0455E+00  5.7262E+00  3.7658E-04  7.0000E-03 -5.5301E-04  9.8917E-05  3.0093E-05
  2.4745E+02  7.7228E+00  7.7295E+00  7.3488E+00  7.1689E+00  6.8391E+00  3.9404E-04  7.0942E-03 -5.5432E-04  1.0192E-04  3.1990E-05
  2.9272E+02  8.9643E+00  8.9710E+00  8.5917E+00  8.4066E+00  8.0667E+00  4.1174E-04  7.1884E-03 -5.5568E-04  1.0481E-04  3.3794E-05
  3.4081E+02  1.0295E+01  1.0301E+01  9.9234E+00  9.7334E+00  9.3839E+00  4.2932E-04  7.2805E-03 -5.5708E-04  1.0756E-04  3.5478E-05
  3.9001E+02  1.1668E+01  1.1675E+01  1.1298E+01  1.1103E+01  1.0745E+01  4.4620E-04  7.3677E-03 -5.5844E-04  1.1008E-04  3.7002E-05
