 # Mon Nov 10 17:04:52 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -4.
 # distance(t),tolerance(T) =   4.41357  4.39699983
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -9.0992E+00  1.3054E+00  1.3100E+00  4.8653E-01  0.0000E+00  0.0000E+00  7.6864E-06  4.5916E-03 -7.1005E-04
 -9.1860E+00  1.2415E+00  1.2462E+00  4.3305E-01  0.0000E+00  0.0000E+00  1.5565E-05  4.7180E-03 -7.2155E-04
 -8.8978E+00  1.2108E+00  1.2156E+00  4.0995E-01  0.0000E+00  0.0000E+00  2.2035E-05  4.8127E-03 -7.3006E-04
 -7.7964E+00  1.1987E+00  1.2036E+00  4.0772E-01  0.0000E+00  0.0000E+00  3.1518E-05  4.9403E-03 -7.4136E-04
 -7.7963E+00  1.1987E+00  1.2036E+00  4.0772E-01  4.8555E-08  0.0000E+00  3.1518E-05  4.9403E-03 -7.4136E-04
 -6.0855E+00  1.2198E+00  1.2248E+00  4.3664E-01  3.1521E-02  0.0000E+00  4.0257E-05  5.0461E-03 -7.5057E-04
 -3.6077E+00  1.2700E+00  1.2751E+00  4.9411E-01  9.0884E-02  0.0000E+00  4.9117E-05  5.1468E-03 -7.5922E-04
 -6.9353E-01  1.3395E+00  1.3447E+00  5.6971E-01  1.6808E-01  0.0000E+00  5.7103E-05  5.2326E-03 -7.6652E-04
  2.8812E+00  1.4314E+00  1.4367E+00  6.6719E-01  2.6705E-01  0.0000E+00  6.5055E-05  5.3143E-03 -7.7339E-04
  7.6198E+00  1.5584E+00  1.5637E+00  7.9989E-01  4.0129E-01  0.0000E+00  7.3803E-05  5.4002E-03 -7.8055E-04
  1.2604E+01  1.6950E+00  1.7003E+00  9.4136E-01  5.4407E-01  0.0000E+00  8.1656E-05  5.4743E-03 -7.8668E-04
