 # Mon Nov 10 19:07:55 2008
 # MSTW 2008 NNLO PDF grid for eigenvector   11.
 # distance(t),tolerance(T) =   9.98479  9.67742652
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -3.4206E+01  7.0198E-01  7.0680E-01  2.7429E-01  0.0000E+00  0.0000E+00  9.6580E-08  4.8260E-03 -6.5609E-04  0.0000E+00  0.0000E+00
 -3.8590E+01  5.1034E-01  5.1528E-01  8.6186E-02  0.0000E+00  0.0000E+00  2.1778E-05  4.9696E-03 -6.5239E-04  0.0000E+00  0.0000E+00
 -4.1838E+01  3.7862E-01  3.8364E-01 -4.3008E-02  0.0000E+00  0.0000E+00  3.7669E-05  5.0755E-03 -6.5019E-04  0.0000E+00  0.0000E+00
 -4.5869E+01  2.2138E-01  2.2652E-01 -1.9699E-01  0.0000E+00  0.0000E+00  5.8680E-05  5.2157E-03 -6.4790E-04  0.0000E+00  0.0000E+00
 -4.5956E+01  2.2207E-01  2.2721E-01 -1.9613E-01 -2.3319E-01  0.0000E+00  5.9295E-05  5.2224E-03 -6.4837E-04  2.3511E-11  0.0000E+00
 -4.8484E+01  1.1906E-01  1.2429E-01 -2.9662E-01 -3.5043E-01  0.0000E+00  7.6792E-05  5.3351E-03 -6.4664E-04  9.1859E-06  0.0000E+00
 -5.0314E+01  4.2974E-02  4.8295E-02 -3.7035E-01 -4.3425E-01  0.0000E+00  9.3351E-05  5.4424E-03 -6.4551E-04  1.7006E-05  0.0000E+00
 -5.1260E+01 -2.0092E-03  3.3852E-03 -4.1339E-01 -4.8559E-01  0.0000E+00  1.0737E-04  5.5334E-03 -6.4485E-04  2.3297E-05  0.0000E+00
 -5.1505E+01 -2.5242E-02 -1.9779E-02 -4.3481E-01 -5.1465E-01  0.0000E+00  1.2062E-04  5.6193E-03 -6.4447E-04  2.8968E-05  0.0000E+00
 -5.0937E+01 -2.6423E-02 -2.0886E-02 -4.3413E-01 -5.2176E-01  0.0000E+00  1.3450E-04  5.7092E-03 -6.4431E-04  3.4631E-05  0.0000E+00
 -4.9667E+01 -6.2962E-03 -6.9737E-04 -4.1243E-01 -5.0659E-01  0.0000E+00  1.4643E-04  5.7863E-03 -6.4436E-04  3.9282E-05  0.0000E+00
 -4.7651E+01  3.4057E-02  3.9715E-02 -3.7060E-01 -4.7085E-01  0.0000E+00  1.5786E-04  5.8600E-03 -6.4456E-04  4.3544E-05  0.0000E+00
 -4.5473E+01  8.1160E-02  8.6865E-02 -3.2235E-01 -4.2729E-01  0.0000E+00  1.6686E-04  5.9179E-03 -6.4482E-04  4.6778E-05  0.0000E+00
 -3.4324E+01  3.3921E-01  3.4507E-01 -6.0699E-02 -1.8018E-01  0.0000E+00  1.9605E-04  6.1044E-03 -6.4619E-04  5.6553E-05  0.0000E+00
 -3.3278E+01  3.4008E-01  3.4594E-01 -5.9770E-02 -1.7952E-01 -4.3184E-01  1.9646E-04  6.1073E-03 -6.4633E-04  5.6589E-05  5.5878E-13
 -3.0316E+01  4.2038E-01  4.2627E-01  2.1240E-02 -1.0135E-01 -3.5058E-01  2.0260E-04  6.1456E-03 -6.4665E-04  5.8521E-05  1.6694E-06
 -1.9178E+01  7.0427E-01  7.1025E-01  3.0724E-01  1.7634E-01 -9.0020E-02  2.2096E-04  6.2594E-03 -6.4784E-04  6.4009E-05  5.7395E-06
 -4.4607E+00  1.0829E+00  1.0889E+00  6.8795E-01  5.4878E-01  2.6634E-01  2.4013E-04  6.3769E-03 -6.4930E-04  6.9382E-05  9.6785E-06
  1.1934E+01  1.5072E+00  1.5133E+00  1.1141E+00  9.6777E-01  6.7137E-01  2.5763E-04  6.4828E-03 -6.5080E-04  7.3988E-05  1.2998E-05
  3.1629E+01  2.0198E+00  2.0260E+00  1.6286E+00  1.4753E+00  1.1654E+00  2.7543E-04  6.5892E-03 -6.5246E-04  7.8401E-05  1.6125E-05
  5.0523E+01  2.5142E+00  2.5205E+00  2.1245E+00  1.9656E+00  1.6449E+00  2.9031E-04  6.6772E-03 -6.5394E-04  8.1898E-05  1.8565E-05
  7.6777E+01  3.2052E+00  3.2116E+00  2.8173E+00  2.6518E+00  2.3185E+00  3.0853E-04  6.7834E-03 -6.5586E-04  8.5953E-05  2.1349E-05
  1.0315E+02  3.9039E+00  3.9104E+00  3.5176E+00  3.3464E+00  3.0024E+00  3.2482E-04  6.8771E-03 -6.5764E-04  8.9387E-05  2.3669E-05
