 # Mon Nov 10 18:21:48 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -9.
 # distance(t),tolerance(T) =   4.05969  4.19746629
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -1.5370E+01  6.9380E-01  6.9888E-01  2.5865E-01  0.0000E+00  0.0000E+00  4.3768E-07  5.0729E-03 -5.6461E-04  0.0000E+00  0.0000E+00
 -1.8026E+01  6.4522E-01  6.5041E-01  2.1366E-01  0.0000E+00  0.0000E+00  2.2480E-05  5.2202E-03 -5.5928E-04  0.0000E+00  0.0000E+00
 -1.9901E+01  6.1963E-01  6.2491E-01  1.9064E-01  0.0000E+00  0.0000E+00  3.8636E-05  5.3287E-03 -5.5589E-04  0.0000E+00  0.0000E+00
 -2.2022E+01  6.0451E-01  6.0990E-01  1.7884E-01  0.0000E+00  0.0000E+00  5.9996E-05  5.4725E-03 -5.5207E-04  0.0000E+00  0.0000E+00
 -2.1863E+01  6.0462E-01  6.1002E-01  1.7912E-01 -2.1393E-01  0.0000E+00  6.0621E-05  5.4794E-03 -5.5246E-04  2.3697E-11  0.0000E+00
 -2.3031E+01  6.2073E-01  6.2622E-01  1.9780E-01 -1.9873E-01  0.0000E+00  7.8408E-05  5.5949E-03 -5.4952E-04  9.2564E-06  0.0000E+00
 -2.3476E+01  6.5621E-01  6.6179E-01  2.3566E-01 -1.6387E-01  0.0000E+00  9.5242E-05  5.7048E-03 -5.4724E-04  1.7133E-05  0.0000E+00
 -2.3211E+01  7.0539E-01  7.1105E-01  2.8683E-01 -1.1515E-01  0.0000E+00  1.0950E-04  5.7980E-03 -5.4563E-04  2.3465E-05  0.0000E+00
 -2.2285E+01  7.7087E-01  7.7660E-01  3.5415E-01 -5.0076E-02  0.0000E+00  1.2297E-04  5.8859E-03 -5.4435E-04  2.9172E-05  0.0000E+00
 -2.0469E+01  8.6229E-01  8.6810E-01  4.4747E-01  4.0966E-02  0.0000E+00  1.3708E-04  5.9780E-03 -5.4326E-04  3.4869E-05  0.0000E+00
 -1.8115E+01  9.6171E-01  9.6758E-01  5.4848E-01  1.4009E-01  0.0000E+00  1.4922E-04  6.0570E-03 -5.4252E-04  3.9546E-05  0.0000E+00
 -1.5055E+01  1.0776E+00  1.0835E+00  6.6589E-01  2.5574E-01  0.0000E+00  1.6085E-04  6.1324E-03 -5.4197E-04  4.3831E-05  0.0000E+00
 -1.2053E+01  1.1839E+00  1.1899E+00  7.7338E-01  3.6188E-01  0.0000E+00  1.7000E-04  6.1916E-03 -5.4165E-04  4.7082E-05  0.0000E+00
  1.7225E+00  1.6320E+00  1.6381E+00  1.2251E+00  8.0947E-01  0.0000E+00  1.9971E-04  6.3824E-03 -5.4115E-04  5.6901E-05  0.0000E+00
  2.8398E+00  1.6321E+00  1.6382E+00  1.2253E+00  8.0957E-01 -4.0500E-01  2.0012E-04  6.3854E-03 -5.4127E-04  5.6938E-05  5.6211E-13
  6.2368E+00  1.7526E+00  1.7587E+00  1.3465E+00  9.2997E-01 -2.6867E-01  2.0637E-04  6.4245E-03 -5.4121E-04  5.8878E-05  1.6794E-06
  1.8703E+01  2.1524E+00  2.1586E+00  1.7484E+00  1.3296E+00  1.3105E-01  2.2506E-04  6.5408E-03 -5.4129E-04  6.4387E-05  5.7730E-06
  3.4766E+01  2.6486E+00  2.6550E+00  2.2468E+00  1.8257E+00  6.2904E-01  2.4457E-04  6.6610E-03 -5.4161E-04  6.9779E-05  9.7332E-06
  5.2343E+01  3.1772E+00  3.1836E+00  2.7773E+00  2.3543E+00  1.1593E+00  2.6239E-04  6.7692E-03 -5.4210E-04  7.4400E-05  1.3069E-05
  7.3191E+01  3.7927E+00  3.7992E+00  3.3947E+00  2.9698E+00  1.7767E+00  2.8051E-04  6.8779E-03 -5.4276E-04  7.8825E-05  1.6211E-05
  9.3004E+01  4.3707E+00  4.3773E+00  3.9742E+00  3.5478E+00  2.3562E+00  2.9567E-04  6.9678E-03 -5.4342E-04  8.2331E-05  1.8662E-05
  1.2033E+02  5.1610E+00  5.1676E+00  4.7663E+00  4.3382E+00  3.1485E+00  3.1422E-04  7.0763E-03 -5.4435E-04  8.6395E-05  2.1458E-05
  1.4760E+02  5.9455E+00  5.9522E+00  5.5524E+00  5.1228E+00  3.9349E+00  3.3081E-04  7.1719E-03 -5.4527E-04  8.9835E-05  2.3786E-05
  1.7529E+02  6.7396E+00  6.7464E+00  6.3479E+00  5.9170E+00  4.7308E+00  3.4618E-04  7.2594E-03 -5.4620E-04  9.2870E-05  2.5810E-05
  2.1435E+02  7.8585E+00  7.8654E+00  7.4685E+00  7.0362E+00  5.8520E+00  3.6593E-04  7.3702E-03 -5.4747E-04  9.6569E-05  2.8237E-05
  2.5517E+02  9.0286E+00  9.0356E+00  8.6403E+00  8.2065E+00  7.0244E+00  3.8475E-04  7.4742E-03 -5.4876E-04  9.9906E-05  3.0389E-05
  2.9718E+02  1.0236E+01  1.0243E+01  9.8488E+00  9.4138E+00  8.2336E+00  4.0264E-04  7.5715E-03 -5.5004E-04  1.0292E-04  3.2299E-05
  3.4294E+02  1.1554E+01  1.1561E+01  1.1169E+01  1.0733E+01  9.5544E+00  4.2078E-04  7.6687E-03 -5.5138E-04  1.0582E-04  3.4115E-05
  3.9144E+02  1.2957E+01  1.2965E+01  1.2574E+01  1.2136E+01  1.0960E+01  4.3878E-04  7.7637E-03 -5.5275E-04  1.0858E-04  3.5809E-05
  4.4096E+02  1.4397E+01  1.4405E+01  1.4015E+01  1.3577E+01  1.2402E+01  4.5609E-04  7.8537E-03 -5.5409E-04  1.1111E-04  3.7340E-05
  4.9072E+02  1.5851E+01  1.5859E+01  1.5470E+01  1.5031E+01  1.3858E+01  4.7261E-04  7.9385E-03 -5.5539E-04  1.1343E-04  3.8727E-05
  5.4409E+02  1.7419E+01  1.7427E+01  1.7039E+01  1.6599E+01  1.5428E+01  4.8947E-04  8.0239E-03 -5.5673E-04  1.1570E-04  4.0066E-05
  5.9970E+02  1.9063E+01  1.9070E+01  1.8683E+01  1.8243E+01  1.7074E+01  5.0629E-04  8.1079E-03 -5.5807E-04  1.1788E-04  4.1336E-05
  6.5556E+02  2.0723E+01  2.0730E+01  2.0345E+01  1.9903E+01  1.8736E+01  5.2250E-04  8.1878E-03 -5.5938E-04  1.1990E-04  4.2501E-05
  7.1118E+02  2.2385E+01  2.2393E+01  2.2008E+01  2.1566E+01  2.0401E+01  5.3806E-04  8.2636E-03 -5.6064E-04  1.2178E-04  4.3569E-05
  7.7003E+02  2.4155E+01  2.4163E+01  2.3779E+01  2.3336E+01  2.2173E+01  5.5396E-04  8.3401E-03 -5.6193E-04  1.2364E-04  4.4614E-05
  8.3087E+02  2.5997E+01  2.6005E+01  2.5622E+01  2.5178E+01  2.4016E+01  5.6988E-04  8.4158E-03 -5.6322E-04  1.2544E-04  4.5615E-05
  8.9153E+02  2.7844E+01  2.7852E+01  2.7470E+01  2.7026E+01  2.5865E+01  5.8528E-04  8.4881E-03 -5.6446E-04  1.2712E-04  4.6543E-05
