 # Mon Nov 10 20:14:14 2008
 # MSTW 2008 NNLO PDF grid for eigenvector   15.
 # distance(t),tolerance(T) =   2.43488355  4.23399834
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -7.8833E+00  7.1718E-01  7.2187E-01  2.7944E-01  0.0000E+00  0.0000E+00 -5.5213E-08  4.6919E-03 -5.6382E-04  0.0000E+00  0.0000E+00
 -9.7212E+00  7.3152E-01  7.3633E-01  2.9740E-01  0.0000E+00  0.0000E+00  2.1409E-05  4.8337E-03 -5.5867E-04  0.0000E+00  0.0000E+00
 -1.0944E+01  7.5295E-01  7.5784E-01  3.2142E-01  0.0000E+00  0.0000E+00  3.7139E-05  4.9383E-03 -5.5539E-04  0.0000E+00  0.0000E+00
 -1.2150E+01  8.0125E-01  8.0625E-01  3.7306E-01  0.0000E+00  0.0000E+00  5.7932E-05  5.0769E-03 -5.5169E-04  0.0000E+00  0.0000E+00
 -1.1862E+01  8.0110E-01  8.0611E-01  3.7308E-01 -2.1293E-01  0.0000E+00  5.8540E-05  5.0835E-03 -5.5207E-04  2.3423E-11  0.0000E+00
 -1.2368E+01  8.7095E-01  8.7605E-01  4.4552E-01 -1.3784E-01  0.0000E+00  7.5854E-05  5.1949E-03 -5.4923E-04  9.1523E-06  0.0000E+00
 -1.2131E+01  9.5713E-01  9.6231E-01  5.3410E-01 -4.8912E-02  0.0000E+00  9.2236E-05  5.3011E-03 -5.4702E-04  1.6946E-05  0.0000E+00
 -1.1263E+01  1.0494E+00  1.0547E+00  6.2840E-01  4.5697E-02  0.0000E+00  1.0610E-04  5.3910E-03 -5.4546E-04  2.3216E-05  0.0000E+00
 -9.7470E+00  1.1558E+00  1.1612E+00  7.3666E-01  1.5426E-01  0.0000E+00  1.1920E-04  5.4760E-03 -5.4423E-04  2.8870E-05  0.0000E+00
 -7.2951E+00  1.2903E+00  1.2957E+00  8.7304E-01  2.9097E-01  0.0000E+00  1.3293E-04  5.5649E-03 -5.4318E-04  3.4518E-05  0.0000E+00
 -4.3802E+00  1.4269E+00  1.4323E+00  1.0112E+00  4.2945E-01  0.0000E+00  1.4473E-04  5.6413E-03 -5.4247E-04  3.9156E-05  0.0000E+00
 -7.7255E-01  1.5785E+00  1.5840E+00  1.1643E+00  5.8284E-01  0.0000E+00  1.5602E-04  5.7142E-03 -5.4195E-04  4.3408E-05  0.0000E+00
  2.6676E+00  1.7130E+00  1.7185E+00  1.3000E+00  7.1874E-01  0.0000E+00  1.6492E-04  5.7715E-03 -5.4164E-04  4.6634E-05  0.0000E+00
  1.7882E+01  2.2527E+00  2.2584E+00  1.8434E+00  1.2630E+00  0.0000E+00  1.9377E-04  5.9560E-03 -5.4119E-04  5.6387E-05  0.0000E+00
  1.9048E+01  2.2525E+00  2.2582E+00  1.8432E+00  1.2628E+00 -3.9808E-01  1.9417E-04  5.9589E-03 -5.4131E-04  5.6424E-05  5.5711E-13
  2.2698E+01  2.3926E+00  2.3983E+00  1.9841E+00  1.4039E+00 -2.3516E-01  2.0024E-04  5.9968E-03 -5.4126E-04  5.8352E-05  1.6647E-06
  3.5956E+01  2.8497E+00  2.8556E+00  2.4434E+00  1.8637E+00  2.3239E-01  2.1837E-04  6.1095E-03 -5.4136E-04  6.3830E-05  5.7237E-06
  5.2853E+01  3.4052E+00  3.4111E+00  3.0011E+00  2.4219E+00  8.0042E-01  2.3731E-04  6.2258E-03 -5.4170E-04  6.9194E-05  9.6527E-06
  7.1197E+01  3.9872E+00  3.9932E+00  3.5850E+00  3.0064E+00  1.3936E+00  2.5460E-04  6.3308E-03 -5.4219E-04  7.3794E-05  1.2964E-05
  9.2825E+01  4.6564E+00  4.6625E+00  4.2561E+00  3.6781E+00  2.0739E+00  2.7217E-04  6.4362E-03 -5.4286E-04  7.8200E-05  1.6084E-05
  1.1329E+02  5.2788E+00  5.2850E+00  4.8800E+00  4.3025E+00  2.7053E+00  2.8686E-04  6.5233E-03 -5.4352E-04  8.1694E-05  1.8520E-05
  1.4141E+02  6.1228E+00  6.1291E+00  5.7258E+00  5.1489E+00  3.5601E+00  3.0485E-04  6.6286E-03 -5.4445E-04  8.5745E-05  2.1299E-05
  1.6940E+02  6.9548E+00  6.9611E+00  6.5594E+00  5.9830E+00  4.4015E+00  3.2093E-04  6.7214E-03 -5.4537E-04  8.9175E-05  2.3614E-05
  1.9774E+02  7.7924E+00  7.7987E+00  7.3984E+00  6.8225E+00  5.2476E+00  3.3582E-04  6.8064E-03 -5.4630E-04  9.2204E-05  2.5628E-05
  2.3763E+02  8.9664E+00  8.9729E+00  8.5742E+00  7.9989E+00  6.4322E+00  3.5495E-04  6.9140E-03 -5.4757E-04  9.5896E-05  2.8043E-05
