 # Mon Nov 10 20:15:17 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -16.
 # distance(t),tolerance(T) =   2.80562348  3.34279358
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -3.7156E+01  6.9424E-01  6.9906E-01  2.6250E-01  0.0000E+00  0.0000E+00  9.5299E-07  4.8205E-03 -5.5335E-04  0.0000E+00  0.0000E+00
 -4.1355E+01  5.0457E-01  5.0951E-01  7.6398E-02  0.0000E+00  0.0000E+00  2.2944E-05  4.9643E-03 -5.4794E-04  0.0000E+00  0.0000E+00
 -4.4416E+01  3.7558E-01  3.8060E-01 -5.0043E-02  0.0000E+00  0.0000E+00  3.9068E-05  5.0703E-03 -5.4448E-04  0.0000E+00  0.0000E+00
 -4.8132E+01  2.2375E-01  2.2888E-01 -1.9858E-01  0.0000E+00  0.0000E+00  6.0391E-05  5.2107E-03 -5.4054E-04  0.0000E+00  0.0000E+00
 -4.8126E+01  2.2448E-01  2.2962E-01 -1.9768E-01 -2.6638E-01  0.0000E+00  6.1012E-05  5.2174E-03 -5.4092E-04  2.3554E-11  0.0000E+00
 -5.0361E+01  1.2799E-01  1.3322E-01 -2.9163E-01 -3.7660E-01  0.0000E+00  7.8769E-05  5.3303E-03 -5.3790E-04  9.2016E-06  0.0000E+00
 -5.1858E+01  5.9276E-02  6.4591E-02 -3.5798E-01 -4.5281E-01  0.0000E+00  9.5579E-05  5.4378E-03 -5.3554E-04  1.7033E-05  0.0000E+00
 -5.2491E+01  2.1503E-02  2.6891E-02 -3.9378E-01 -4.9673E-01  0.0000E+00  1.0981E-04  5.5288E-03 -5.3384E-04  2.3332E-05  0.0000E+00
 -5.2413E+01  5.9131E-03  1.1371E-02 -4.0755E-01 -5.1795E-01  0.0000E+00  1.2327E-04  5.6149E-03 -5.3249E-04  2.9009E-05  0.0000E+00
 -5.1481E+01  1.3609E-02  1.9139E-02 -3.9798E-01 -5.1598E-01  0.0000E+00  1.3737E-04  5.7049E-03 -5.3132E-04  3.4677E-05  0.0000E+00
 -4.9879E+01  4.2066E-02  4.7659E-02 -3.6794E-01 -4.9229E-01  0.0000E+00  1.4949E-04  5.7822E-03 -5.3051E-04  3.9331E-05  0.0000E+00
 -4.7529E+01  9.1010E-02  9.6662E-02 -3.1750E-01 -4.4779E-01  0.0000E+00  1.6111E-04  5.8560E-03 -5.2990E-04  4.3597E-05  0.0000E+00
 -4.5077E+01  1.4528E-01  1.5098E-01 -2.6208E-01 -3.9693E-01  0.0000E+00  1.7026E-04  5.9140E-03 -5.2951E-04  4.6832E-05  0.0000E+00
 -3.2994E+01  4.2894E-01  4.3479E-01  2.5208E-02 -1.2378E-01  0.0000E+00  1.9994E-04  6.1007E-03 -5.2884E-04  5.6609E-05  0.0000E+00
 -3.1899E+01  4.2981E-01  4.3567E-01  2.6143E-02 -1.2310E-01 -4.4178E-01  2.0035E-04  6.1037E-03 -5.2895E-04  5.6646E-05  5.5933E-13
 -2.8752E+01  5.1604E-01  5.2192E-01  1.1309E-01 -3.8913E-02 -3.5370E-01  2.0660E-04  6.1420E-03 -5.2886E-04  5.8578E-05  1.6710E-06
 -1.7028E+01  8.1809E-01  8.2407E-01  4.1727E-01  2.5721E-01 -7.4811E-02  2.2526E-04  6.2560E-03 -5.2883E-04  6.4065E-05  5.7446E-06
 -1.6869E+00  1.2166E+00  1.2227E+00  8.1796E-01  6.4989E-01  3.0180E-01  2.4476E-04  6.3736E-03 -5.2904E-04  6.9437E-05  9.6862E-06
  1.5282E+01  1.6600E+00  1.6661E+00  1.2632E+00  1.0881E+00  7.2613E-01  2.6257E-04  6.4798E-03 -5.2942E-04  7.4042E-05  1.3007E-05
  3.5563E+01  2.1926E+00  2.1989E+00  1.7977E+00  1.6159E+00  1.2404E+00  2.8067E-04  6.5863E-03 -5.2997E-04  7.8452E-05  1.6135E-05
  5.4943E+01  2.7042E+00  2.7105E+00  2.3108E+00  2.1236E+00  1.7373E+00  2.9581E-04  6.6744E-03 -5.3054E-04  8.1947E-05  1.8576E-05
  8.1789E+01  3.4167E+00  3.4231E+00  3.0251E+00  2.8315E+00  2.4328E+00  3.1435E-04  6.7808E-03 -5.3136E-04  8.5999E-05  2.1361E-05
  1.0869E+02  4.1349E+00  4.1414E+00  3.7448E+00  3.5459E+00  3.1365E+00  3.3092E-04  6.8747E-03 -5.3219E-04  8.9429E-05  2.3680E-05
  1.3606E+02  4.8702E+00  4.8767E+00  4.4815E+00  4.2778E+00  3.8590E+00  3.4627E-04  6.9606E-03 -5.3303E-04  9.2457E-05  2.5697E-05
  1.7478E+02  5.9173E+00  5.9239E+00  5.5303E+00  5.3207E+00  4.8904E+00  3.6599E-04  7.0693E-03 -5.3420E-04  9.6146E-05  2.8116E-05
  2.1533E+02  7.0226E+00  7.0293E+00  6.6372E+00  6.4223E+00  5.9815E+00  3.8479E-04  7.1714E-03 -5.3538E-04  9.9475E-05  3.0260E-05
  2.5714E+02  8.1713E+00  8.1780E+00  7.7874E+00  7.5676E+00  7.1175E+00  4.0265E-04  7.2669E-03 -5.3656E-04  1.0248E-04  3.2164E-05
  3.0273E+02  9.4338E+00  9.4407E+00  9.0514E+00  8.8269E+00  8.3677E+00  4.2076E-04  7.3623E-03 -5.3781E-04  1.0538E-04  3.3974E-05
  3.5111E+02  1.0784E+01  1.0791E+01  1.0403E+01  1.0174E+01  9.7067E+00  4.3874E-04  7.4557E-03 -5.3908E-04  1.0813E-04  3.5664E-05
  4.0056E+02  1.2176E+01  1.2183E+01  1.1797E+01  1.1564E+01  1.1088E+01  4.5601E-04  7.5441E-03 -5.4033E-04  1.1066E-04  3.7191E-05
  4.5028E+02  1.3587E+01  1.3594E+01  1.3208E+01  1.2972E+01  1.2489E+01  4.7251E-04  7.6275E-03 -5.4154E-04  1.1297E-04  3.8574E-05
  5.0365E+02  1.5113E+01  1.5120E+01  1.4736E+01  1.4495E+01  1.4005E+01  4.8934E-04  7.7114E-03 -5.4280E-04  1.1524E-04  3.9910E-05
  5.5929E+02  1.6717E+01  1.6724E+01  1.6340E+01  1.6097E+01  1.5600E+01  5.0612E-04  7.7939E-03 -5.4407E-04  1.1742E-04  4.1177E-05
  6.1521E+02  1.8341E+01  1.8348E+01  1.7965E+01  1.7718E+01  1.7216E+01  5.2230E-04  7.8725E-03 -5.4530E-04  1.1944E-04  4.2340E-05
  6.7090E+02  1.9970E+01  1.9978E+01  1.9596E+01  1.9346E+01  1.8838E+01  5.3782E-04  7.9470E-03 -5.4648E-04  1.2132E-04  4.3405E-05
  7.2985E+02  2.1709E+01  2.1716E+01  2.1335E+01  2.1082E+01  2.0568E+01  5.5369E-04  8.0223E-03 -5.4769E-04  1.2317E-04  4.4448E-05
  7.9083E+02  2.3520E+01  2.3527E+01  2.3148E+01  2.2892E+01  2.2372E+01  5.6957E-04  8.0968E-03 -5.4891E-04  1.2497E-04  4.5447E-05
  8.5163E+02  2.5339E+01  2.5347E+01  2.4968E+01  2.4709E+01  2.4185E+01  5.8493E-04  8.1680E-03 -5.5009E-04  1.2665E-04  4.6374E-05
