 # Mon Nov 10 17:23:47 2008
 # MSTW 2008 NLO PDF grid for eigenvector   10.
 # distance(t),tolerance(T) =   6.2696099  7.03018802
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -2.8661E+01  1.3358E+00  1.3403E+00  4.6507E-01  0.0000E+00  0.0000E+00  6.4369E-06  4.5141E-03 -8.0097E-04
 -2.9959E+01  1.1462E+00  1.1508E+00  2.8658E-01  0.0000E+00  0.0000E+00  1.4319E-05  4.6395E-03 -8.1394E-04
 -3.0610E+01  1.0229E+00  1.0276E+00  1.7131E-01  0.0000E+00  0.0000E+00  2.0798E-05  4.7335E-03 -8.2353E-04
 -3.0784E+01  8.8784E-01  8.9266E-01  4.6745E-02  0.0000E+00  0.0000E+00  3.0307E-05  4.8601E-03 -8.3628E-04
 -3.0784E+01  8.8784E-01  8.9266E-01  4.6744E-02 -2.3525E-07  0.0000E+00  3.0307E-05  4.8601E-03 -8.3628E-04
 -2.9949E+01  8.0792E-01  8.1284E-01 -2.4815E-02 -8.1421E-02  0.0000E+00  3.9083E-05  4.9652E-03 -8.4667E-04
 -2.8325E+01  7.6425E-01  7.6926E-01 -6.0765E-02 -1.2243E-01  0.0000E+00  4.7986E-05  5.0651E-03 -8.5643E-04
 -2.6148E+01  7.5525E-01  7.6033E-01 -6.3354E-02 -1.2917E-01  0.0000E+00  5.6016E-05  5.1504E-03 -8.6466E-04
 -2.3278E+01  7.7370E-01  7.7885E-01 -3.8949E-02 -1.0857E-01  0.0000E+00  6.4015E-05  5.2315E-03 -8.7241E-04
 -1.9283E+01  8.2462E-01  8.2984E-01  1.8104E-02 -5.5386E-02  0.0000E+00  7.2820E-05  5.3168E-03 -8.8049E-04
 -1.4939E+01  8.9664E-01  9.0193E-01  9.5302E-02  1.8582E-02  0.0000E+00  8.0726E-05  5.3905E-03 -8.8740E-04
 -9.8726E+00  9.9321E-01  9.9857E-01  1.9675E-01  1.1702E-01  0.0000E+00  8.8590E-05  5.4611E-03 -8.9397E-04
 -5.2228E+00  1.0890E+00  1.0944E+00  2.9634E-01  2.1430E-01  0.0000E+00  9.4975E-05  5.5168E-03 -8.9911E-04
  1.4299E+01  1.5326E+00  1.5382E+00  7.5178E-01  6.6260E-01  0.0000E+00  1.1681E-04  5.6973E-03 -9.1554E-04
  1.4299E+01  1.5326E+00  1.5382E+00  7.5178E-01  6.6260E-01  4.4581E-08  1.1681E-04  5.6973E-03 -9.1554E-04
  1.9179E+01  1.6554E+00  1.6609E+00  8.7694E-01  7.8635E-01  1.3634E-01  1.2169E-04  5.7353E-03 -9.1895E-04
  3.5497E+01  2.0738E+00  2.0795E+00  1.3023E+00  1.2077E+00  5.4800E-01  1.3645E-04  5.8469E-03 -9.2886E-04
  5.5803E+01  2.6087E+00  2.6145E+00  1.8442E+00  1.7455E+00  1.0780E+00  1.5245E-04  5.9626E-03 -9.3900E-04
  7.7412E+01  3.1889E+00  3.1948E+00  2.4307E+00  2.3285E+00  1.6542E+00  1.6754E-04  6.0672E-03 -9.4806E-04
  1.0250E+02  3.8724E+00  3.8783E+00  3.1202E+00  3.0146E+00  2.3339E+00  1.8332E-04  6.1726E-03 -9.5707E-04
  1.2596E+02  4.5186E+00  4.5247E+00  3.7713E+00  3.6631E+00  2.9774E+00  1.9683E-04  6.2598E-03 -9.6445E-04
  1.5786E+02  5.4062E+00  5.4123E+00  4.6647E+00  4.5533E+00  3.8618E+00  2.1373E-04  6.3655E-03 -9.7329E-04
