 # Mon Nov 10 18:22:28 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -12.
 # distance(t),tolerance(T) =   1.71807  1.6569295
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.4944E+01  7.1499E-01  7.1957E-01  2.7069E-01  0.0000E+00  0.0000E+00  8.8645E-08  4.5714E-03 -5.4021E-04  0.0000E+00  0.0000E+00
 -2.8565E+01  5.8866E-01  5.9334E-01  1.4803E-01  0.0000E+00  0.0000E+00  2.1564E-05  4.7115E-03 -5.3469E-04  0.0000E+00  0.0000E+00
 -3.1215E+01  5.0513E-01  5.0990E-01  6.7135E-02  0.0000E+00  0.0000E+00  3.7307E-05  4.8147E-03 -5.3115E-04  0.0000E+00  0.0000E+00
 -3.4425E+01  4.1210E-01  4.1697E-01 -2.2513E-02  0.0000E+00  0.0000E+00  5.8122E-05  4.9515E-03 -5.2709E-04  0.0000E+00  0.0000E+00
 -3.4417E+01  4.1250E-01  4.1738E-01 -2.1930E-02 -2.1775E-01  0.0000E+00  5.8731E-05  4.9580E-03 -5.2746E-04  2.3386E-11  0.0000E+00
 -3.6374E+01  3.6291E-01  3.6788E-01 -6.8902E-02 -2.7545E-01  0.0000E+00  7.6065E-05  5.0680E-03 -5.2432E-04  9.1384E-06  0.0000E+00
 -3.7630E+01  3.3660E-01  3.4165E-01 -9.2775E-02 -3.0618E-01  0.0000E+00  9.2470E-05  5.1729E-03 -5.2185E-04  1.6922E-05  0.0000E+00
 -3.8079E+01  3.3342E-01  3.3854E-01 -9.3928E-02 -3.1297E-01  0.0000E+00  1.0636E-04  5.2617E-03 -5.2006E-04  2.3184E-05  0.0000E+00
 -3.7847E+01  3.4939E-01  3.5458E-01 -7.6076E-02 -3.0030E-01  0.0000E+00  1.1948E-04  5.3456E-03 -5.1861E-04  2.8832E-05  0.0000E+00
 -3.6776E+01  3.8894E-01  3.9421E-01 -3.4591E-02 -2.6409E-01  0.0000E+00  1.3323E-04  5.4335E-03 -5.1733E-04  3.4474E-05  0.0000E+00
 -3.5073E+01  4.4379E-01  4.4911E-01  2.1887E-02 -2.1203E-01  0.0000E+00  1.4505E-04  5.5089E-03 -5.1643E-04  3.9108E-05  0.0000E+00
 -3.2644E+01  5.1708E-01  5.2246E-01  9.6711E-02 -1.4132E-01  0.0000E+00  1.5637E-04  5.5810E-03 -5.1572E-04  4.3356E-05  0.0000E+00
 -3.0141E+01  5.8990E-01  5.9533E-01  1.7072E-01 -7.0483E-02  0.0000E+00  1.6528E-04  5.6376E-03 -5.1527E-04  4.6580E-05  0.0000E+00
 -1.7976E+01  9.2987E-01  9.3544E-01  5.1444E-01  2.6342E-01  0.0000E+00  1.9419E-04  5.8200E-03 -5.1436E-04  5.6327E-05  0.0000E+00
 -1.6908E+01  9.3039E-01  9.3597E-01  5.1502E-01  2.6382E-01 -4.1717E-01  1.9459E-04  5.8229E-03 -5.1446E-04  5.6364E-05  5.5655E-13
 -1.3785E+01  1.0279E+00  1.0335E+00  6.1326E-01  3.6014E-01 -3.1201E-01  2.0067E-04  5.8603E-03 -5.1432E-04  5.8291E-05  1.6630E-06
 -2.1600E+00  1.3611E+00  1.3668E+00  9.4870E-01  6.9000E-01  8.6846E-03  2.1885E-04  5.9717E-03 -5.1414E-04  6.3767E-05  5.7182E-06
  1.3041E+01  1.7895E+00  1.7952E+00  1.3792E+00  1.1150E+00  4.2585E-01  2.3783E-04  6.0868E-03 -5.1419E-04  6.9129E-05  9.6440E-06
  2.9853E+01  2.2575E+00  2.2634E+00  1.8492E+00  1.5802E+00  8.8431E-01  2.5515E-04  6.1906E-03 -5.1443E-04  7.3728E-05  1.2953E-05
  4.9946E+01  2.8130E+00  2.8189E+00  2.4066E+00  2.1329E+00  1.4306E+00  2.7276E-04  6.2948E-03 -5.1483E-04  7.8135E-05  1.6071E-05
  6.9151E+01  3.3419E+00  3.3480E+00  2.9371E+00  2.6597E+00  1.9522E+00  2.8749E-04  6.3810E-03 -5.1528E-04  8.1628E-05  1.8505E-05
  9.5758E+01  4.0737E+00  4.0798E+00  3.6707E+00  3.3889E+00  2.6756E+00  3.0552E-04  6.4851E-03 -5.1596E-04  8.5679E-05  2.1283E-05
  1.2242E+02  4.8073E+00  4.8135E+00  4.4060E+00  4.1204E+00  3.4021E+00  3.2164E-04  6.5770E-03 -5.1666E-04  8.9110E-05  2.3597E-05
  1.4957E+02  5.5555E+00  5.5617E+00  5.1556E+00  4.8667E+00  4.1440E+00  3.3656E-04  6.6611E-03 -5.1738E-04  9.2140E-05  2.5611E-05
  1.8797E+02  6.6171E+00  6.6235E+00  6.2190E+00  5.9261E+00  5.1981E+00  3.5574E-04  6.7676E-03 -5.1840E-04  9.5833E-05  2.8026E-05
  2.2820E+02  7.7345E+00  7.7409E+00  7.3380E+00  7.0414E+00  6.3086E+00  3.7402E-04  6.8675E-03 -5.1944E-04  9.9166E-05  3.0167E-05
  2.6970E+02  8.8930E+00  8.8995E+00  8.4980E+00  8.1981E+00  7.4611E+00  3.9138E-04  6.9611E-03 -5.2049E-04  1.0218E-04  3.2070E-05
  3.1496E+02  1.0164E+01  1.0171E+01  9.7705E+00  9.4674E+00  8.7263E+00  4.0899E-04  7.0547E-03 -5.2161E-04  1.0508E-04  3.3880E-05
  3.6301E+02  1.1522E+01  1.1528E+01  1.1130E+01  1.0823E+01  1.0079E+01  4.2646E-04  7.1462E-03 -5.2275E-04  1.0784E-04  3.5569E-05
  4.1213E+02  1.2919E+01  1.2926E+01  1.2529E+01  1.2220E+01  1.1471E+01  4.4326E-04  7.2329E-03 -5.2388E-04  1.1037E-04  3.7096E-05
  4.6153E+02  1.4334E+01  1.4341E+01  1.3944E+01  1.3633E+01  1.2881E+01  4.5929E-04  7.3147E-03 -5.2498E-04  1.1269E-04  3.8480E-05
  5.1457E+02  1.5863E+01  1.5870E+01  1.5475E+01  1.5161E+01  1.4406E+01  4.7566E-04  7.3969E-03 -5.2613E-04  1.1497E-04  3.9817E-05
  5.6988E+02  1.7469E+01  1.7476E+01  1.7082E+01  1.6766E+01  1.6009E+01  4.9197E-04  7.4779E-03 -5.2728E-04  1.1715E-04  4.1085E-05
  6.2547E+02  1.9095E+01  1.9102E+01  1.8709E+01  1.8390E+01  1.7630E+01  5.0770E-04  7.5551E-03 -5.2840E-04  1.1918E-04  4.2249E-05
  6.8086E+02  2.0726E+01  2.0733E+01  2.0341E+01  2.0020E+01  1.9258E+01  5.2280E-04  7.6282E-03 -5.2949E-04  1.2106E-04  4.3316E-05
  7.3949E+02  2.2464E+01  2.2471E+01  2.2080E+01  2.1757E+01  2.0992E+01  5.3823E-04  7.7021E-03 -5.3060E-04  1.2292E-04  4.4361E-05
  8.0015E+02  2.4275E+01  2.4282E+01  2.3892E+01  2.3567E+01  2.2800E+01  5.5367E-04  7.7752E-03 -5.3172E-04  1.2473E-04  4.5362E-05
  8.6064E+02  2.6093E+01  2.6100E+01  2.5711E+01  2.5385E+01  2.4616E+01  5.6861E-04  7.8451E-03 -5.3280E-04  1.2642E-04  4.6291E-05
  9.2043E+02  2.7902E+01  2.7910E+01  2.7521E+01  2.7193E+01  2.6422E+01  5.8297E-04  7.9116E-03 -5.3385E-04  1.2800E-04  4.7150E-05
  9.8325E+02  2.9816E+01  2.9823E+01  2.9436E+01  2.9106E+01  2.8333E+01  5.9769E-04  7.9790E-03 -5.3491E-04  1.2957E-04  4.7998E-05
  1.0478E+03  3.1794E+01  3.1801E+01  3.1415E+01  3.1083E+01  3.0309E+01  6.1244E-04  8.0459E-03 -5.3598E-04  1.3111E-04  4.8819E-05
  1.1118E+03  3.3770E+01  3.3777E+01  3.3392E+01  3.3059E+01  3.2282E+01  6.2673E-04  8.1101E-03 -5.3701E-04  1.3256E-04  4.9586E-05
  1.1748E+03  3.5726E+01  3.5733E+01  3.5348E+01  3.5014E+01  3.4236E+01  6.4050E-04  8.1714E-03 -5.3800E-04  1.3392E-04  5.0301E-05
  1.2406E+03  3.7781E+01  3.7788E+01  3.7404E+01  3.7069E+01  3.6289E+01  6.5462E-04  8.2336E-03 -5.3901E-04  1.3528E-04  5.1012E-05
  1.3081E+03  3.9905E+01  3.9912E+01  3.9529E+01  3.9192E+01  3.8411E+01  6.6882E-04  8.2955E-03 -5.4002E-04  1.3661E-04  5.1702E-05
  1.3745E+03  4.2007E+01  4.2014E+01  4.1631E+01  4.1293E+01  4.0511E+01  6.8257E-04  8.3550E-03 -5.4100E-04  1.3788E-04  5.2353E-05
  1.4399E+03  4.4087E+01  4.4095E+01  4.3713E+01  4.3373E+01  4.2590E+01  6.9586E-04  8.4119E-03 -5.4193E-04  1.3907E-04  5.2962E-05
  1.5079E+03  4.6263E+01  4.6271E+01  4.5890E+01  4.5549E+01  4.4764E+01  7.0949E-04  8.4699E-03 -5.4289E-04  1.4027E-04  5.3571E-05
 -2.0007E+01  6.5764E-01  6.6321E-01  2.4892E-01  0.0000E+00  0.0000E+00  5.1946E-06  5.5727E-03 -6.2064E-04  0.0000E+00  0.0000E+00
 -2.2625E+01  5.8485E-01  5.9055E-01  1.7951E-01  0.0000E+00  0.0000E+00  3.8506E-05  5.7506E-03 -6.1099E-04  0.0000E+00  0.0000E+00
 -2.4408E+01  5.4158E-01  5.4738E-01  1.3867E-01  0.0000E+00  0.0000E+00  6.3013E-05  5.8817E-03 -6.0470E-04  0.0000E+00  0.0000E+00
 -2.6338E+01  5.0236E-01  5.0830E-01  1.0259E-01  0.0000E+00  0.0000E+00  9.5544E-05  6.0555E-03 -5.9736E-04  0.0000E+00  0.0000E+00
 -2.6156E+01  5.0260E-01  5.0854E-01  1.0299E-01 -2.3044E-01  0.0000E+00  9.6544E-05  6.0638E-03 -5.9777E-04  3.1762E-11  0.0000E+00
 -2.7106E+01  4.9678E-01  5.0283E-01  9.9587E-02 -2.3918E-01  0.0000E+00  1.2366E-04  6.2037E-03 -5.9215E-04  1.2382E-05  0.0000E+00
 -2.7358E+01  5.1025E-01  5.1640E-01  1.1532E-01 -2.2729E-01  0.0000E+00  1.4943E-04  6.3371E-03 -5.8755E-04  2.2863E-05  0.0000E+00
