 # Mon Nov 10 19:01:59 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -6.
 # distance(t),tolerance(T) =   5.93701  5.93363936
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.7236E+01  7.0542E-01  7.1000E-01  2.8203E-01  0.0000E+00  0.0000E+00  8.9523E-07  4.5805E-03 -7.1461E-04  0.0000E+00  0.0000E+00
 -3.1072E+01  5.6273E-01  5.6742E-01  1.4283E-01  0.0000E+00  0.0000E+00  2.3395E-05  4.7209E-03 -7.1171E-04  0.0000E+00  0.0000E+00
 -3.3890E+01  4.6716E-01  4.7193E-01  4.9765E-02  0.0000E+00  0.0000E+00  3.9911E-05  4.8244E-03 -7.1009E-04  0.0000E+00  0.0000E+00
 -3.7328E+01  3.5815E-01  3.6303E-01 -5.6014E-02  0.0000E+00  0.0000E+00  6.1776E-05  4.9615E-03 -7.0859E-04  0.0000E+00  0.0000E+00
 -3.7345E+01  3.5863E-01  3.6352E-01 -5.5366E-02 -2.2218E-01  0.0000E+00  6.2422E-05  4.9680E-03 -7.0910E-04  2.3783E-11  0.0000E+00
 -3.9459E+01  2.9588E-01  3.0086E-01 -1.1562E-01 -2.9464E-01  0.0000E+00  8.0651E-05  5.0783E-03 -7.0799E-04  9.2916E-06  0.0000E+00
 -4.0868E+01  2.5741E-01  2.6247E-01 -1.5177E-01 -3.3842E-01  0.0000E+00  9.7923E-05  5.1834E-03 -7.0746E-04  1.7201E-05  0.0000E+00
 -4.1446E+01  2.4412E-01  2.4925E-01 -1.6314E-01 -3.5607E-01  0.0000E+00  1.1256E-04  5.2724E-03 -7.0730E-04  2.3562E-05  0.0000E+00
 -4.1333E+01  2.5070E-01  2.5590E-01 -1.5477E-01 -3.5347E-01  0.0000E+00  1.2641E-04  5.3565E-03 -7.0740E-04  2.9297E-05  0.0000E+00
 -4.0383E+01  2.8062E-01  2.8588E-01 -1.2301E-01 -3.2760E-01  0.0000E+00  1.4092E-04  5.4445E-03 -7.0774E-04  3.5022E-05  0.0000E+00
 -3.8779E+01  3.2736E-01  3.3269E-01 -7.4710E-02 -2.8422E-01  0.0000E+00  1.5342E-04  5.5201E-03 -7.0822E-04  3.9724E-05  0.0000E+00
