A,er,x,y,z,pt,W,Q2
0.044,0.016,0.005,0.75,0.36,0.55,14.9,1.2
0.049,0.011,0.008,0.58,0.36,0.54,13,1.4
0.045,0.009,0.015,0.4,0.37,0.53,10.6,1.7
0.09,0.015,0.025,0.28,0.37,0.51,8.8,2.1
0.127,0.02,0.035,0.23,0.37,0.5,8,2.4
0.121,0.02,0.049,0.23,0.37,0.5,7.8,3.3
0.2,0.022,0.077,0.23,0.37,0.5,7.7,5.2
0.225,0.03,0.122,0.22,0.37,0.5,7.5,8.1
0.332,0.042,0.172,0.22,0.37,0.5,7.2,11.4
0.556,0.044,0.239,0.23,0.37,0.5,7,16.4
0.696,0.056,0.378,0.26,0.37,0.55,6.8,30
